gene	beta_subtype	pvalue_naive	fdr_naive	pvalue_LMM	fdr_LMM	status
SMC3	0.1646438363810435	0.0009178898965246871	0.001983911880096586	0.009070966989307816	0.01340536993493766	same
STMN2	1.0557862641623672	2.5936325208014307e-12	1.4355899561631537e-11	2.0001404391031264e-18	8.70888435023132e-18	same
FCF1	0.02258114402552599	0.015321840318949962	0.023841037840689774	0.613208447530758	0.6584199508204273	lost_with_LMM
CTSA	0.457073872894074	3.6126895898654423e-08	1.3984604863995262e-07	3.685843241869121e-16	1.3996873070389068e-15	same
CD82	0.7154015887202929	2.92838560420506e-13	1.7712009702853184e-12	5.738769063528274e-24	3.464045712391312e-23	same
CCL20	1.0887557544181812	1.2928268062745022e-13	8.046639873077815e-13	6.472067629759957e-19	2.932961161522639e-18	same
STK24	0.45602973796236423	1.949378124401335e-07	7.083969079349368e-07	4.640702147098439e-08	1.073408360932561e-07	same
TBX2	-0.8067899174785057	1.008924979920129e-06	3.393245448161869e-06	2.573829949170705e-11	7.312016901053138e-11	same
IGBP1	0.2459339348337034	6.0800098830494624e-05	0.00016300294592625904	6.51690417268583e-07	1.3777810090244884e-06	same
KCNK5	0.020709746686446207	0.026627837376147837	0.038535220515409314	0.7655687561364455	0.7971906519990756	lost_with_LMM
LIMD2	0.8444694364093593	1.4912831793705644e-12	8.457182491704523e-12	6.983806061539994e-12	2.0520487937923586e-11	same
PSEN1	0.07259655616252417	0.004278583659807574	0.00786278741647587	0.0150806211779312	0.021761358121112843	same
UNC93B1	0.5421916868222714	1.0593754720111271e-09	4.612665335316954e-09	2.144906628628794e-19	9.991801065040965e-19	same
TNXB	0.5394384543687578	5.812009712005415e-07	2.013398283604647e-06	8.35661024833834e-06	1.624745997732665e-05	same
HCFC1R1	0.4174776057816872	5.284880539041316e-07	1.8435629787353427e-06	3.8207549010489423e-08	8.871721906460392e-08	same
CDS2	-0.025373037336331804	0.03293517935936467	0.046397632754570095	0.4598650287319389	0.5113399133416667	lost_with_LMM
CAB39	0.13961006640989274	0.001520344840763414	0.0031112104517668775	0.01720611711097704	0.024662375218791745	same
SDCBP	-0.013413204682842262	0.038369370086778105	0.05316771836505049	0.8185147409223942	0.8449911296514736	same
ZZEF1	-0.03544808582081042	0.049037115661140586	0.06605808126781398	0.4863399397696454	0.5385824360682673	same
APRT	-0.2061474688023805	0.48693895975614565	0.527976130776855	0.0003200484803023525	0.0005455371823335554	gained_with_LMM
