classifier	cancer	theta	se	lower	upper	m_value
LogReg_l2	THCA	0.493998	0.0031458	0.487832	0.500164	1
LogReg_l2	SKCM	0	0.0391797	-0.0767922	0.0767922	0.0994461
LogReg_l2	LGG	0	0.00900689	-0.0176535	0.0176535	0.0248974
LogReg_l2	LUAD	0	0.0165733	-0.0324836	0.0324836	0.0448413
LogReg_l2	COAD	0	0.0127248	-0.0249406	0.0249406	0.0348061
RandomForest	THCA	0.3235	0.0226747	0.279057	0.367942	1
RandomForest	SKCM	0	0.0427386	-0.0837676	0.0837676	0.218868
RandomForest	LGG	0	0.00866754	-0.0169884	0.0169884	0.0557205
RandomForest	LUAD	0	0.0288332	-0.056513	0.056513	0.161822
RandomForest	COAD	0	0.0172814	-0.0338716	0.0338716	0.104801
XGBoost	THCA	0.0132894	0.0376768	-0.0605572	0.0871361	0.501699
XGBoost	SKCM	0	0.0417717	-0.0818725	0.0818725	0.49996
XGBoost	LGG	0	0.0118753	-0.0232756	0.0232756	0.499505
XGBoost	LUAD	0	0.0387723	-0.0759938	0.0759938	0.499954
XGBoost	COAD	0	0.0169059	-0.0331355	0.0331355	0.499756
LogReg_elasticnet	THCA	0.492174	0.00361459	0.485089	0.499258	1
LogReg_elasticnet	SKCM	0	0.0397741	-0.0779572	0.0779572	0.102158
LogReg_elasticnet	LGG	0	0.00864943	-0.0169529	0.0169529	0.0242921
LogReg_elasticnet	LUAD	0	0.0155723	-0.0305218	0.0305218	0.0428726
LogReg_elasticnet	COAD	0	0.0126935	-0.0248793	0.0248793	0.0352375
GradientBoosting	THCA	0.33381	0.0218371	0.291009	0.376611	1
GradientBoosting	SKCM	0	0.0407906	-0.0799496	0.0799496	0.180773
GradientBoosting	LGG	0	0.012921	-0.0253252	0.0253252	0.0666758
GradientBoosting	LUAD	0.0401878	0.0387707	-0.0358028	0.116178	0.280549
GradientBoosting	COAD	0	0.0249298	-0.0488624	0.0488624	0.120424
