classifier	mean_effect	tau2	Q	pvalue_Q	I2	m_THCA	m_SKCM	m_LGG	m_LUAD	m_COAD
LogReg_l2	4.96424e-06	1.76959e-07	39.3961	5.76987e-08	0.898467	0.500236	0.187823	0.187823	0.499603	0.187823
RandomForest	1.29573e-06	6.44659e-08	16.8947	0.00202611	0.76324	0.500038	0.268177	0.268177	0.499855	0.268177
XGBoost	7.15093e-09	0	0.0285113	0.999899	0	0.5	0.5	0.5	0.5	0.5
LogReg_elasticnet	4.90754e-06	1.75507e-07	39.1057	6.62479e-08	0.897713	0.500232	0.188418	0.188418	0.499606	0.188418
GradientBoosting	5.80309e-05	2.15193e-07	47.0439	1.49317e-09	0.914973	0.500855	0.172978	0.172978	0.523948	0.172978
