classifier	mean_effect	tau2	Q	pvalue_Q	I2	m_THCA	m_SKCM	m_LGG	m_LUAD	m_COAD
LogReg_l2	0.0991458	0.114088	4538.84	0	0.999119	1	0.0994461	0.0248974	0.0448413	0.0348061
RandomForest	0.0653569	0.0166333	184.097	0	0.978272	1	0.218868	0.0557205	0.161822	0.104801
XGBoost	0.00074699	0	0.117419	0.998343	0	0.501699	0.49996	0.499505	0.499954	0.499756
LogReg_elasticnet	0.09879	0.110416	4471.88	0	0.999106	1	0.102158	0.0242921	0.0428726	0.0352375
GradientBoosting	0.0756112	0.0261608	186.566	0	0.97856	1	0.180773	0.0666758	0.280549	0.120424
