classifier	dial_combat	dial_combatseq	auc_post_combat	auc_post_combatseq	robustness
LogReg_l2	0.494	0.4954	0.006	0.0046	same
LogReg_elasticnet	0.4922	0.4944	0.0078	0.0056	same
RandomForest	0.3235	0.1285	0.1765	0.3715	different
GradientBoosting	0.3338	0.2734	0.1662	0.2266	same
XGBoost	0.0133	0.0	0.4867	0.6094	same
