gene	old_significant	new_padj	new_log2FC	new_significant	in_both	old_only	new_only	is_druggable_target
5S_rRNA	False	0.893024	-0.0371834	False	False	False	False	False
5_8S_rRNA	False		0.410962	False	False	False	False	False
7SK	False	0.829768	-0.138813	False	False	False	False	False
A1BG	False	0.275408	0.155037	False	False	False	False	False
A1BG-AS1	False	0.00185652	0.374	False	False	False	False	False
A1CF	False	0.0015707	-0.937259	False	False	False	False	False
A2M	False	0.155419	-0.161385	False	False	False	False	False
A2M-AS1	False	2.53215e-09	-0.68714	False	False	False	False	False
A2ML1	False	0.857117	0.0475743	False	False	False	False	False
A2ML1-AS1	False		0.0559343	False	False	False	False	False
A2ML1-AS2	False		0.166297	False	False	False	False	False
A2MP1	False	0.00875825	-0.424496	False	False	False	False	False
A3GALT2	False	0.175873	-0.303452	False	False	False	False	False
A4GALT	False	0.00692487	0.361577	False	False	False	False	False
A4GNT	False	0.0704821	-0.392504	False	False	False	False	False
AAAS	False	0.134488	-0.0727487	False	False	False	False	False
AACS	True	2.06552e-42	-0.603537	False	False	True	False	False
AACSP1	False	0.856404	-0.086174	False	False	False	False	False
AADAC	False	0.133212	-0.760182	False	False	False	False	False
AADACL2	False	0.530853	-0.425259	False	False	False	False	False
AADACL2-AS1	False	0.220226	-0.662369	False	False	False	False	False
AADACL3	False		0.293299	False	False	False	False	False
AADACL4	False	0.110693	0.762255	False	False	False	False	False
AADACP1	False	0.000186194	-1.19911	True	False	False	True	False
AADAT	False	0.0130565	-0.29264	False	False	False	False	False
AAGAB	True	2.75069e-18	-0.354651	False	False	True	False	False
AAK1	True	5.75192e-20	-0.711566	False	False	True	False	False
AAMDC	True	4.29017e-13	-0.468302	False	False	True	False	False
AAMP	False	0.000264302	-0.130873	False	False	False	False	False
AANAT	False	2.3968e-09	-0.897535	False	False	False	False	False
AAR2	False	0.606693	0.0197301	False	False	False	False	False
AARD	False	0.191176	0.248722	False	False	False	False	False
AARS1	False	1.66635e-05	-0.341126	False	False	False	False	False
AARS2	False	0.00145178	0.108855	False	False	False	False	False
AARSD1	False	0.0142395	-0.299811	False	False	False	False	False
AARSD1P1	False	0.177396	-0.163956	False	False	False	False	False
AASDH	False	0.0243029	-0.129351	False	False	False	False	False
AASDHPPT	False	0.396495	-0.0424868	False	False	False	False	False
AASS	False	2.61573e-06	-0.38145	False	False	False	False	False
AATBC	False	0.742384	0.0629974	False	False	False	False	False
AATF	False	0.348146	0.0433687	False	False	False	False	False
AATK	False	4.35763e-14	-0.89477	False	False	False	False	False
ABALON	False	0.0076694	1.161	True	False	False	True	False
ABAT	False	1.17615e-22	-0.965111	False	False	False	False	False
ABBA01000935.2	False		0.20365	False	False	False	False	False
ABCA1	False	0.00702625	0.309061	False	False	False	False	False
ABCA10	False	0.000153959	-0.571612	False	False	False	False	False
ABCA11P	False	4.40856e-06	-0.354261	False	False	False	False	False
ABCA12	False	1.04144e-19	1.70507	True	False	False	True	False
ABCA13	False	1.33161e-06	-0.927915	False	False	False	False	False
ABCA17P	False	0.274743	-0.1395	False	False	False	False	False
ABCA2	False	4.49692e-05	0.370513	False	False	False	False	False
ABCA3	False	0.00157263	-0.238619	False	False	False	False	False
ABCA4	False	1.13819e-46	1.6097	True	False	False	True	False
ABCA5	False	3.15585e-32	-0.69377	False	False	False	False	False
ABCA6	True	6.35481e-08	0.952889	False	False	True	False	False
ABCA7	False	2.57918e-09	-0.442966	False	False	False	False	False
ABCA8	False	5.97613e-11	-1.13282	True	False	False	True	False
ABCA9	False	0.0204653	0.546739	False	False	False	False	False
ABCA9-AS1	False	0.513494	-0.30056	False	False	False	False	False
ABCB1	False	1.28172e-08	-0.724121	False	False	False	False	False
ABCB10	False	0.90669	-0.0101634	False	False	False	False	False
ABCB10P1	False	0.606618	-0.345107	False	False	False	False	False
ABCB10P3	False		0.00669568	False	False	False	False	False
ABCB10P4	False		0.0139964	False	False	False	False	False
ABCB11	False	0.0715863	0.612384	False	False	False	False	False
ABCB4	False	0.862429	-0.0279849	False	False	False	False	False
ABCB5	False	0.509942	0.287874	False	False	False	False	False
ABCB6	False	4.19771e-05	-0.493741	False	False	False	False	False
ABCB7	False	0.000256414	0.166757	False	False	False	False	False
ABCB8	True	1.61446e-12	-0.364555	False	False	True	False	False
ABCB9	False	0.52219	0.0598445	False	False	False	False	False
ABCC1	False	0.00762865	-0.213805	False	False	False	False	False
ABCC10	False	0.0341768	-0.0958847	False	False	False	False	False
ABCC11	False	0.0752933	-0.560409	False	False	False	False	False
ABCC12	False	0.0136142	-1.11834	True	False	False	True	False
ABCC13	False	0.0518263	0.597673	False	False	False	False	False
ABCC2	False	0.177865	-0.164081	False	False	False	False	False
ABCC3	False	1.89232e-08	0.700235	False	False	False	False	False
ABCC4	False	4.77953e-08	-0.814948	False	False	False	False	False
ABCC5	False	0.0351148	0.178473	False	False	False	False	False
ABCC5-AS1	False	0.0023915	-0.960938	False	False	False	False	False
ABCC6	False	7.81765e-27	-0.792335	False	False	False	False	False
ABCC6P1	False	0.83545	-0.0493439	False	False	False	False	False
ABCC6P2	False	0.0211439	-0.278332	False	False	False	False	False
ABCC8	True	3.74697e-33	-3.33434	True	True	False	False	False
ABCC9	False	0.000264931	-0.538067	False	False	False	False	False
ABCD1	False	0.926683	0.00720368	False	False	False	False	False
ABCD1P2	False		0.155431	False	False	False	False	False
ABCD1P4	False		0.00771461	False	False	False	False	False
ABCD1P5	False		0.176145	False	False	False	False	False
ABCD2	False	5.64244e-05	0.801892	False	False	False	False	False
ABCD3	False	0.00012405	0.201928	False	False	False	False	False
ABCD4	False	0.0533342	-0.0930311	False	False	False	False	False
ABCE1	True	1.02442e-06	0.220109	False	False	True	False	False
ABCF1	False	0.00831125	-0.108616	False	False	False	False	False
ABCF2	False	0.477516	0.0562394	False	False	False	False	False
ABCF2P1	False	0.446556	0.296632	False	False	False	False	False
ABCF2P2	False		0.0668012	False	False	False	False	False
ABCF3	False	6.24209e-09	-0.162992	False	False	False	False	False
ABCG1	False	0.593678	-0.0753231	False	False	False	False	False
ABCG2	False	2.68261e-21	-1.36632	True	False	False	True	False
ABCG4	False	2.68977e-08	-0.744564	False	False	False	False	False
ABCG5	False	0.000218084	-0.646476	False	False	False	False	False
ABCG8	False	0.0156127	-0.554484	False	False	False	False	False
ABHD1	False	1.47667e-09	-0.729692	False	False	False	False	False
ABHD10	False	1.87354e-08	-0.251199	False	False	False	False	False
ABHD11	False	0.17428	0.0985841	False	False	False	False	False
ABHD11-AS1	False	1.0188e-21	1.84893	True	False	False	True	False
ABHD12	False	8.77339e-12	0.452616	False	False	False	False	False
