cancer	classifier_family	auc_pre	auc_post	dial	interpretation	n_used	seconds
THCA	SVC_RBF	1.0000	0.0706	0.4294	batch_entangled	80	0.0200
THCA	QSVC	0.5487	0.5989	0.0000	no_signal	80	204.2100
THCA	VQC	0.6730	0.1144	0.3856	batch_entangled	80	171.0900
SKCM	SVC_RBF	0.4210	0.5259	0.0000	no_signal	80	0.0100
SKCM	QSVC	0.4760	0.7820	0.0000	true_biology	80	182.9200
SKCM	VQC	0.5052	0.4340	0.0660	no_signal	80	177.9100
LGG	SVC_RBF	0.9981	1.0000	0.0000	true_biology	80	0.0300
LGG	QSVC	0.1837	0.1833	0.3167	batch_entangled	80	504.6000
LGG	VQC	0.9289	0.9202	0.0000	true_biology	80	502.8800
LUAD	SVC_RBF	0.7744	0.8469	0.0000	true_biology	80	0.0100
LUAD	QSVC	0.5052	0.6098	0.0000	ambiguous	80	216.2000
LUAD	VQC	0.2985	0.7137	0.0000	true_biology	80	204.1600
COAD	SVC_RBF	0.7140	0.7889	0.0000	true_biology	80	0.0100
COAD	QSVC	0.4641	0.4984	0.0016	no_signal	80	194.6800
COAD	VQC	0.5168	0.9040	0.0000	true_biology	80	160.8600
