metric	value
n_old	2773
n_new	6283
n_intersection	888
n_old_only	1885
n_new_only	5395
method	pydeseq2 (DESeq2, design=~subtype)
fdr_threshold	0.05
log2fc_threshold	1.0
n_samples	351
n_braf	293
n_ras	58
