model	threshold	n	prevalence	harm	test_pos_rate	tp_rate	fp_rate	net_benefit	net_intervention_avoided
panel_8gene	0.05	178	0.6124	0	0.8764	0.6124	0.264	0.5985	0.1236
panel_8gene	0.06	178	0.6124	0	0.8539	0.6067	0.2472	0.591	0.05243
panel_8gene	0.07	178	0.6124	0	0.8427	0.6067	0.236	0.589	0.07705
panel_8gene	0.08	178	0.6124	0	0.8315	0.6011	0.2303	0.5811	0.02809
panel_8gene	0.09	178	0.6124	0	0.8202	0.6011	0.2191	0.5795	0.05493
panel_8gene	0.1	178	0.6124	0	0.8202	0.6011	0.2191	0.5768	0.06742
panel_8gene	0.11	178	0.6124	0	0.809	0.6011	0.2079	0.5754	0.08887
panel_8gene	0.12	178	0.6124	0	0.7978	0.6011	0.1966	0.5743	0.1086
panel_8gene	0.13	178	0.6124	0	0.7921	0.6011	0.191	0.5726	0.1214
panel_8gene	0.14	178	0.6124	0	0.7865	0.6011	0.1854	0.5709	0.1332
panel_8gene	0.15	178	0.6124	0	0.7809	0.6011	0.1798	0.5694	0.1442
panel_8gene	0.16	178	0.6124	0	0.7809	0.6011	0.1798	0.5669	0.1489
panel_8gene	0.17	178	0.6124	0	0.7753	0.6011	0.1742	0.5655	0.1586
panel_8gene	0.18	178	0.6124	0	0.764	0.6011	0.1629	0.5654	0.1735
panel_8gene	0.19	178	0.6124	0	0.7528	0.5955	0.1573	0.5586	0.1585
panel_8gene	0.2	178	0.6124	0	0.7303	0.5955	0.1348	0.5618	0.1854
panel_8gene	0.21	178	0.6124	0	0.7247	0.5955	0.1292	0.5612	0.195
panel_8gene	0.22	178	0.6124	0	0.7135	0.5899	0.1236	0.555	0.1844
panel_8gene	0.23	178	0.6124	0	0.7022	0.5843	0.118	0.549	0.1756
panel_8gene	0.24	178	0.6124	0	0.6966	0.5843	0.1124	0.5488	0.1863
panel_8gene	0.25	178	0.6124	0	0.691	0.5843	0.1067	0.5487	0.1966
panel_8gene	0.26	178	0.6124	0	0.6798	0.5787	0.1011	0.5431	0.1906
panel_8gene	0.27	178	0.6124	0	0.6798	0.5787	0.1011	0.5412	0.1954
panel_8gene	0.28	178	0.6124	0	0.6742	0.5787	0.09551	0.5415	0.2055
panel_8gene	0.29	178	0.6124	0	0.6742	0.5787	0.09551	0.5396	0.2096
panel_8gene	0.3	178	0.6124	0	0.6685	0.5787	0.08989	0.5401	0.2191
panel_8gene	0.31	178	0.6124	0	0.6629	0.5787	0.08427	0.5408	0.2283
panel_8gene	0.32	178	0.6124	0	0.6629	0.5787	0.08427	0.539	0.2317
panel_8gene	0.33	178	0.6124	0	0.6629	0.5787	0.08427	0.5371	0.2349
panel_8gene	0.34	178	0.6124	0	0.6629	0.5787	0.08427	0.5352	0.2379
panel_8gene	0.35	178	0.6124	0	0.6629	0.5787	0.08427	0.5333	0.2408
panel_8gene	0.36	178	0.6124	0	0.6629	0.5787	0.08427	0.5313	0.2434
panel_8gene	0.37	178	0.6124	0	0.6629	0.5787	0.08427	0.5292	0.246
panel_8gene	0.38	178	0.6124	0	0.6629	0.5787	0.08427	0.527	0.2484
panel_8gene	0.39	178	0.6124	0	0.6573	0.573	0.08427	0.5192	0.2419
panel_8gene	0.4	178	0.6124	0	0.6573	0.573	0.08427	0.5169	0.2444
panel_8gene	0.41	178	0.6124	0	0.6573	0.573	0.08427	0.5145	0.2468
panel_8gene	0.42	178	0.6124	0	0.6461	0.5618	0.08427	0.5008	0.2335
panel_8gene	0.43	178	0.6124	0	0.6404	0.5618	0.07865	0.5025	0.242
panel_8gene	0.44	178	0.6124	0	0.6348	0.5562	0.07865	0.4944	0.2375
panel_8gene	0.45	178	0.6124	0	0.6292	0.5562	0.07303	0.4964	0.2459
panel_8gene	0.46	178	0.6124	0	0.6236	0.5562	0.06742	0.4988	0.2543
panel_8gene	0.47	178	0.6124	0	0.6236	0.5562	0.06742	0.4964	0.2569
panel_8gene	0.48	178	0.6124	0	0.618	0.5562	0.0618	0.4991	0.265
panel_8gene	0.49	178	0.6124	0	0.6124	0.5562	0.05618	0.5022	0.273
panel_8gene	0.5	178	0.6124	0	0.6124	0.5562	0.05618	0.5	0.2753
panel_8gene	0.51	178	0.6124	0	0.6067	0.5562	0.05056	0.5036	0.2831
panel_8gene	0.52	178	0.6124	0	0.6067	0.5562	0.05056	0.5014	0.2852
panel_8gene	0.53	178	0.6124	0	0.6067	0.5562	0.05056	0.4992	0.2873
panel_8gene	0.54	178	0.6124	0	0.6067	0.5562	0.05056	0.4968	0.2892
panel_8gene	0.55	178	0.6124	0	0.6011	0.5506	0.05056	0.4888	0.2865
panel_8gene	0.56	178	0.6124	0	0.5955	0.5449	0.05056	0.4806	0.2841
panel_8gene	0.57	178	0.6124	0	0.5899	0.5393	0.05056	0.4723	0.282
panel_8gene	0.58	178	0.6124	0	0.5899	0.5393	0.05056	0.4695	0.2842
panel_8gene	0.59	178	0.6124	0	0.5899	0.5393	0.05056	0.4666	0.2863
panel_8gene	0.6	178	0.6124	0	0.5899	0.5393	0.05056	0.4635	0.2884
panel_8gene	0.61	178	0.6124	0	0.5899	0.5393	0.05056	0.4602	0.2904
panel_8gene	0.62	178	0.6124	0	0.5899	0.5393	0.05056	0.4568	0.2923
panel_8gene	0.63	178	0.6124	0	0.5899	0.5393	0.05056	0.4532	0.2942
panel_8gene	0.64	178	0.6124	0	0.5899	0.5393	0.05056	0.4494	0.296
panel_8gene	0.65	178	0.6124	0	0.573	0.5281	0.04494	0.4446	0.2973
panel_8gene	0.66	178	0.6124	0	0.5674	0.5281	0.03933	0.4518	0.3049
panel_8gene	0.67	178	0.6124	0	0.5618	0.5225	0.03933	0.4426	0.304
panel_8gene	0.68	178	0.6124	0	0.5506	0.5169	0.03371	0.4452	0.309
panel_8gene	0.69	178	0.6124	0	0.5449	0.5112	0.03371	0.4362	0.3085
panel_8gene	0.7	178	0.6124	0	0.5449	0.5112	0.03371	0.4326	0.3106
panel_8gene	0.71	178	0.6124	0	0.5449	0.5112	0.03371	0.4287	0.3126
panel_8gene	0.72	178	0.6124	0	0.5449	0.5112	0.03371	0.4246	0.3146
panel_8gene	0.73	178	0.6124	0	0.5449	0.5112	0.03371	0.4201	0.3165
panel_8gene	0.74	178	0.6124	0	0.5449	0.5112	0.03371	0.4153	0.3184
panel_8gene	0.75	178	0.6124	0	0.5449	0.5112	0.03371	0.4101	0.3202
panel_8gene	0.76	178	0.6124	0	0.5281	0.4944	0.03371	0.3876	0.3167
panel_8gene	0.77	178	0.6124	0	0.5281	0.4944	0.03371	0.3815	0.3187
panel_8gene	0.78	178	0.6124	0	0.5281	0.4944	0.03371	0.3749	0.3207
