subgroup	n	n_dm1	auc	ci_lo	ci_hi
Age < 45	84	65	0.8858	0.7831	0.9673
Age 45-65	62	34	0.9821	0.9577	1
Female	132	80	0.9257	0.8693	0.9694
Male	46	29	0.8215	0.664	0.9552
Stage I/II	63	32	0.9476	0.8872	0.9906
Stage III/IV	38	28	0.9964	0.9803	1
cPTC histology	111	86	0.9688	0.9342	0.9917
FVPTC	57	18	0.8234	0.6866	0.9433
Overall (all n=513)	178	109	0.9299	0.8829	0.9708
