task	dataset	feature_set	model	n_samples	auc	pr_auc	auc_ci_lo	auc_ci_hi	balanced_accuracy	balanced_accuracy_youden	f1	f1_youden	mcc	threshold_applied_youden	status
BRAF_like_vs_RAS_like	GSE27155	TDS16	LogReg_l2	72	0.8541666666666666	0.7789649000493738	0.7504053729745486	0.9389021111985313	0.5	0.5	0.6666666666666666	0.6666666666666666	0.0	0.5141784318591892	ok
BRAF_like_vs_RAS_like	GSE126698	TDS16	LogReg_l2	12	0.75	0.8501683501683501	0.40740740740740744	1.0	0.5833333333333334	0.5833333333333334	0.6666666666666666	0.6666666666666666	0.19245008972987526	0.5141784318591892	ok
BRAF_like_vs_RAS_like	GSE213647	TDS16	LogReg_l2	0											skipped_no_eligible_samples_or_features
BRAF_like_vs_RAS_like	GSE27155	TDS16	LogReg_elasticnet	72	0.8657407407407407	0.8033056489802591	0.7650832043343653	0.9463921334083872	0.5	0.5	0.6666666666666666	0.6666666666666666	0.0	0.5239456624702475	ok
BRAF_like_vs_RAS_like	GSE126698	TDS16	LogReg_elasticnet	12	0.7777777777777778	0.8592592592592592	0.42857142857142855	1.0	0.5833333333333334	0.5833333333333334	0.6666666666666666	0.6666666666666666	0.19245008972987526	0.5239456624702475	ok
BRAF_like_vs_RAS_like	GSE213647	TDS16	LogReg_elasticnet	0											skipped_no_eligible_samples_or_features
BRAF_like_vs_RAS_like	GSE27155	TDS16	RandomForest	72	0.8206018518518519	0.743941618515361	0.7229706615691489	0.9119121156621157	0.5	0.5	0.6666666666666666	0.6666666666666666	0.0	0.744	ok
BRAF_like_vs_RAS_like	GSE126698	TDS16	RandomForest	12	0.7777777777777778	0.8592592592592592	0.44427083333333334	1.0	0.5	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.0	0.744	ok
BRAF_like_vs_RAS_like	GSE213647	TDS16	RandomForest	0											skipped_no_eligible_samples_or_features
BRAF_like_vs_RAS_like	GSE27155	TDS16	GradientBoosting	72	0.5	0.5	0.5	0.5	0.5	0.5	0.6666666666666666	0.6666666666666666	0.0	0.9945022967169738	ok
BRAF_like_vs_RAS_like	GSE126698	TDS16	GradientBoosting	12	0.75	0.707936507936508	0.42827380952380945	1.0	0.6666666666666667	0.75	0.7142857142857143	0.7272727272727273	0.3535533905932738	0.9945022967169738	ok
BRAF_like_vs_RAS_like	GSE213647	TDS16	GradientBoosting	0											skipped_no_eligible_samples_or_features
BRAF_like_vs_RAS_like	GSE27155	TDS16	XGBoost	72	0.7974537037037037	0.7420634920634921	0.7020028668441981	0.8888030888030888	0.5	0.5	0.6666666666666666	0.6666666666666666	0.0	0.9467594623565674	ok
BRAF_like_vs_RAS_like	GSE126698	TDS16	XGBoost	12	0.7777777777777778	0.8374999999999999	0.46875	1.0	0.6666666666666667	0.75	0.7142857142857143	0.7272727272727273	0.3535533905932738	0.9467594623565674	ok
BRAF_like_vs_RAS_like	GSE213647	TDS16	XGBoost	0											skipped_no_eligible_samples_or_features
