gene	combat_t_stat	abs_t
PCDHA1	-2.7485912090140503	2.7485912090140503
RELN	-2.358487490597155	2.358487490597155
MMRN1	-2.196839400964174	2.196839400964174
DPT	-2.1803383221173753	2.1803383221173753
ETV4	2.141114020590626	2.141114020590626
MYOC	-2.1084758019875918	2.1084758019875918
RYR2	-2.1052979572089354	2.1052979572089354
ADH1B	-2.1011988340123198	2.1011988340123198
PLA2R1	-2.0628819029740826	2.0628819029740826
LRP1B	-2.056929054022424	2.056929054022424
KLHDC8A	2.0383761558436895	2.0383761558436895
IPCEF1	-2.0364240010243084	2.0364240010243084
NPC2	2.023658962824775	2.023658962824775
DLG2	-2.0175870464016996	2.0175870464016996
MAPK4	-2.0004199635796143	2.0004199635796143
GALE	1.9793560248940214	1.9793560248940214
PAPSS2	-1.9735637705934779	1.9735637705934779
AOX1	-1.9731530321601598	1.9731530321601598
PLXND1	1.9681677398374078	1.9681677398374078
ENTPD1	1.9639598117096158	1.9639598117096158
GPM6A	-1.9502266891495907	1.9502266891495907
SLC5A5	-1.9491503279697273	1.9491503279697273
LRP4	1.940383148887264	1.940383148887264
CDH16	-1.9236443079564822	1.9236443079564822
TFF3	-1.9235911710400324	1.9235911710400324
GABRB2	1.917463005457858	1.917463005457858
CHRDL1	-1.9014201329064455	1.9014201329064455
TBC1D4	-1.897030465553345	1.897030465553345
RXRG	1.8954963567159107	1.8954963567159107
HMGA2	1.8950369711062762	1.8950369711062762
ZMAT3	1.8937048796127003	1.8937048796127003
OCA2	-1.8918570442068152	1.8918570442068152
LMOD1	-1.8768415659876947	1.8768415659876947
CFD	-1.874167878149433	1.874167878149433
CCL21	-1.8578511816602765	1.8578511816602765
CSGALNACT1	-1.853030251571613	1.853030251571613
TFCP2L1	-1.8499024047595922	1.8499024047595922
DPP6	-1.8466482335044208	1.8466482335044208
TMC6	1.8400821987678804	1.8400821987678804
MAFB	-1.8260967212251038	1.8260967212251038
TUSC3	1.8258194639780756	1.8258194639780756
ETV5	1.824594987724308	1.824594987724308
GDF15	1.8235000459154493	1.8235000459154493
ANK2	-1.8214881198858248	1.8214881198858248
GDF10	-1.821264429911472	1.821264429911472
ZFPM2	-1.8088790059336881	1.8088790059336881
CDH3	1.7987052902866414	1.7987052902866414
SLITRK5	-1.788969554613618	1.788969554613618
GALNT7	1.7852233639383093	1.7852233639383093
KCNK2	-1.7832623949012791	1.7832623949012791
PROX1	-1.7784611241556367	1.7784611241556367
MPZL2	1.777286411849441	1.777286411849441
SPTBN2	1.7763928483136258	1.7763928483136258
