feature	coef
IGKV3-11	1.0565741654549885
GABRB2	0.3672945475395521
IGLV2-14	0.352138491074023
IGHV3-23	0.293995453793471
IGHG4	0.2787926918645569
IGHA1	0.27717576885593304
IGHM	0.21666574309312303
IGLC3	0.2010480549503791
PCSK2	0.1938467573749151
TACSTD2	0.18414041874734294
SLC26A4-AS1	0.18355199243957562
IGHG1	0.18290356521104886
MT1G	0.18111968724893016
ZCCHC12	0.1255122784934447
SYT12	0.08416395138921702
TFF3	0.07784197481941288
CHI3L1	0.05560481334426517
CXCL14	0.05254057433244524
TPO	0.046607413584518996
IGLV2-23	0.0
KLK7	0.0
IGKV3-15	0.0
IGHV4-39	0.0
JCHAIN	0.0
IGKV4-1	0.0
DIO1	0.0
IGHG2	0.0
IGHGP	0.0
IGHG3	0.0
PKHD1L1	-0.01512863508742666
IGKC	-0.03355003232653675
SLC34A2	-0.05897580733633184
XIST	-0.08059467941778631
BMP8A	-0.09907883469542178
SFRP2	-0.12082791192041094
IGKV3-20	-0.12937156775609285
FN1	-0.15702151415194845
TMPRSS6	-0.1992575327851483
TMPRSS4	-0.214414378281316
IGFN1	-0.22271243248107034
RPS4Y1	-0.2250266195158535
IGHA2	-0.26535213869523605
ARHGAP36	-0.2733761894290229
IGLV3-21	-0.2780563801433952
IGLC2	-0.2854983918398962
DCSTAMP	-0.34905018916558195
CCL21	-0.4588598835962559
IGLV1-40	-0.7793672783695061
IGKV1-5	-0.8661141647228121
SFTPB	-1.2808764325504713
