feature	importance
SFTPB	0.2942808763817323
DCSTAMP	0.06808157501476952
SFRP2	0.0674822198349397
TACSTD2	0.04266619980747492
TMPRSS4	0.04111558222067613
CCL21	0.03830077359085283
PKHD1L1	0.037154026140243906
CHI3L1	0.03210510959803403
SLC26A4-AS1	0.031170715530302325
ZCCHC12	0.02928963808169501
ARHGAP36	0.028145257375174218
CXCL14	0.02715052432633029
FN1	0.027006658867382297
MT1G	0.021725695874246137
TMPRSS6	0.02069312792317569
TFF3	0.016497036804165387
TPO	0.015817855262646698
BMP8A	0.015026290222591368
GABRB2	0.014861669434902861
SLC34A2	0.014400501477204258
PCSK2	0.012352945789769032
SYT12	0.011724064729861622
IGFN1	0.009741101635311437
IGHV3-23	0.008497707515762025
IGKC	0.008069883682129655
IGKV4-1	0.007627097097913537
IGHG3	0.007324335113508815
IGLV2-23	0.007084831164921202
KLK7	0.005340322378369952
IGLC2	0.005160849122003989
DIO1	0.004356015502815702
IGHG4	0.003874708595818532
JCHAIN	0.003724342547481814
XIST	0.003613817281821911
IGKV3-11	0.00260708064250733
IGKV1-5	0.0024717618051883594
IGLV2-14	0.00241888322121469
IGKV3-15	0.002418065243147773
IGHG1	0.0021679961823195776
IGLV1-40	0.0014517540186436222
IGKV3-20	0.001182165887316426
IGHV4-39	0.0009173985675436562
IGHG2	0.0008458362269899832
IGLC3	0.000632372833565294
IGHM	0.000499455869456284
IGHGP	0.00047333847026854694
RPS4Y1	0.000300741397822876
IGHA2	0.00013023744870350884
IGLV3-21	1.9031083216525503e-05
IGHA1	5.251760665377326e-07
