gene_symbol	mutual_info	algorithm
DUSP6	0.2731142763773462	QUBO_SA_dwave-neal (classical simulated annealing; QAOA not installed)
KLK10	0.24711768956064573	QUBO_SA_dwave-neal (classical simulated annealing; QAOA not installed)
DIO1	0.2254778994750457	QUBO_SA_dwave-neal (classical simulated annealing; QAOA not installed)
IYD	0.11411035732357266	QUBO_SA_dwave-neal (classical simulated annealing; QAOA not installed)
CDH1	0.11130039748440357	QUBO_SA_dwave-neal (classical simulated annealing; QAOA not installed)
FOSL1	0.10344558057567044	QUBO_SA_dwave-neal (classical simulated annealing; QAOA not installed)
SPRY4	0.09830295637542852	QUBO_SA_dwave-neal (classical simulated annealing; QAOA not installed)
PIK3CA	0.0950388777997293	QUBO_SA_dwave-neal (classical simulated annealing; QAOA not installed)
DUSP4	0.08550721225786972	QUBO_SA_dwave-neal (classical simulated annealing; QAOA not installed)
MMP9	0.08301365464734456	QUBO_SA_dwave-neal (classical simulated annealing; QAOA not installed)
TSHR	0.08126227882825199	QUBO_SA_dwave-neal (classical simulated annealing; QAOA not installed)
IDO1	0.08047254630294187	QUBO_SA_dwave-neal (classical simulated annealing; QAOA not installed)
AKT1	0.07055121637795736	QUBO_SA_dwave-neal (classical simulated annealing; QAOA not installed)
NKX2-1	0.04622060171438602	QUBO_SA_dwave-neal (classical simulated annealing; QAOA not installed)
