algorithm	cv_auc	cv_pr_auc	cv_auc_ci_lo	cv_auc_ci_hi	cv_auc_mean_boot	wall_total	wall_per_fold_mean	n_folds_ok	ext_GSE27155_auc	ext_GSE126698_auc	ext_GSE27155_pr_auc	ext_GSE126698_pr_auc	ext_GSE27155_n	ext_GSE126698_n	kind	qubits	layers	feature_map	selected_genes	n_qubits	qaoa_reps	demo	note	grover_target_prob	grover_max_prob	grover_target_index	grover_max_index	ari_vs_label	classical_kmeans_ari	q_vs_c_ari	n_samples
LogReg_l2 (classical baseline)	1.0	0.9999999999999999	0.9999999999999999	1.0	1.0	0.03399848937988281	0.0067996978759765625	5.0	0.9683641975308642	0.888888888888889	0.9705254037874698	0.9107142857142856	72.0	12.0	classical																
MLP (classical baseline)	0.9813487322447896	0.9950874922800802	0.955263498501331	0.9967271909356955	0.9810272049054096	0.19796538352966309	0.039593076705932616	5.0	0.679783950617284	0.7222222222222222	0.5943628431418561	0.7842592592592592	72.0	12.0	classical																
VQC (ZZ feature map)	0.4881853179344218	0.8409978881165191	0.4100305629513848	0.5713936923505882	0.4904684041209623	87.96110963821411	17.59222192764282	5.0	0.5709876543209876	0.4444444444444444	0.6032784210077493	0.4964646464646464	72.0	12.0	quantum	4.0	2.0	zz													
VQC (PAULI feature map)	0.7815611310234967	0.9550986466459244	0.7285075929264901	0.8332246800063549	0.7816321243237557	44.638386487960815	8.927677297592163	5.0	0.4799382716049383	0.5833333333333334	0.4888211572021528	0.5494047619047618	72.0	12.0	quantum	4.0	2.0	pauli													
VQC (AMP feature map)	0.844417894597106	0.9636331449682636	0.782214661010446	0.9016828338985048	0.8453679255505671	34.23894691467285	6.84778938293457	5.0	0.683641975308642	0.8055555555555556	0.7384689394476699	0.848611111111111	72.0	12.0	quantum	4.0	2.0	amp													
QSVM (fidelity kernel)	0.7535178547723351	0.9350113364332588	0.6854244004839674	0.8182478518752396	0.7519916146770581	76.59248781204224	15.318497562408448	5.0	0.6273148148148148	0.33333333333333337	0.6773929844932577	0.4462962962962963	72.0	12.0	quantum	4.0		ZZ													
QNN (EstimatorQNN + 3 ansatz layers)	0.5943183326695871	0.8807228738488175	0.5157684209662866	0.6719046417540822	0.5948760727181174	25.625214338302612	5.125042867660523	5.0	0.7592592592592592	0.5	0.7665850737786044	0.6186868686868687	72.0	12.0	quantum	4.0	3.0														
Quantum Kitchen Sinks	0.4911389884508164	0.8353650859993738	0.4195412538827363	0.564686706131835	0.491076657031499	23.337929010391235	4.667585802078247	5.0	0.5	0.5	0.5	0.5	72.0	12.0	quantum-inspired	4.0															
QAOA feature selection -> LogReg	1.0	0.9999999999999999	0.9999999999999999	1.0	1.0	0.017383813858032227	0.0034767627716064454	5.0	0.9783950617283951	0.9444444444444444	0.9779677998424308	0.9484126984126984	72.0	12.0	quantum				KLK10;DUSP5;DUSP6;DIO1;LOX;MET;TPO;SLC5A8;DUOX2;CD274;HLA-DRA;DUOX1;DIO2;FOXE1	12.0	2.0										
dwave-neal SA feature selection -> LogReg	1.0	0.9999999999999999	0.9999999999999999	1.0	1.0	0.016858577728271484	0.003371715545654297	5.0	0.9783950617283951	0.9444444444444444	0.9779677998424308	0.9484126984126984	72.0	12.0	classical-SA				KLK10;DUSP6;DIO1;LOX;SLC5A8;HLA-DRA;MET;DUSP5;TPO;DUOX2;CD274;DUOX1;DIO2;FOXE1	0.0											
Grover-inspired AA (demo, sqrt(N) asymptotic)	1.0	0.9999999999999999	0.9999999999999999	1.0	1.0	0.03689432144165039	0.007378864288330078	5.0	0.9683641975308642	0.888888888888889	0.9705254037874698	0.9107142857142856	72.0	12.0	quantum-demo							"{""n_qubits"": 3, ""n_candidates"": 8, ""n_iterations"": 2, ""target_index"": 4, ""max_amp_index"": 4, ""target_probability"": 0.9453124999999959, ""max_probability"": 0.9453124999999959, ""wall_seconds"": 0.0031824111938476562}"	Classifier reuses classical LogReg; Grover demo is a subset search toy	0.9453124999999959	0.9453124999999959	4.0	4.0				
Quantum k-means (swap-test, k=2)						1.5878167152404785									quantum-unsupervised	4.0												-0.018389934215419148	-0.003212212226142777	0.39188439792711766	60.0
QBoost (16 weak stumps, QUBO w/ neal)	0.9762046993229789	0.9928733156614133	0.9615488274205096	0.9886136728147554	0.9759382588986848	0.16167044639587402	0.032334089279174805	5.0	0.5	0.9166666666666666	0.5	0.8749999999999999	72.0	12.0	quantum-inspired-ensemble																
