feature	importance
SFTPB	0.08159475699247229
FN1	0.05703557518306071
DCSTAMP	0.05274414886518798
TACSTD2	0.05103007904630156
GABRB2	0.05028870711216259
TMPRSS4	0.04637522227479498
SYT12	0.0444547396771373
TMPRSS6	0.04027057644231972
SFRP2	0.03887222881235621
SLC34A2	0.035037163357144796
CCL21	0.03235449056967752
KLK7	0.029069753726608794
SLC26A4-AS1	0.02242327360289705
CXCL14	0.02215453564796292
CHI3L1	0.021265756417341353
TFF3	0.021029679395520345
IGFN1	0.02012284952594804
TPO	0.019056347276993214
MT1G	0.01871178100292442
PKHD1L1	0.018028657600341894
DIO1	0.017815701869198914
ARHGAP36	0.01547801448603657
ZCCHC12	0.01513096985561247
BMP8A	0.013309575057782134
PCSK2	0.011522111098866984
IGLV3-21	0.010806495431649103
IGHA2	0.010292321291019514
IGHG4	0.009488873616351179
IGHV4-39	0.009379841086123402
IGHM	0.009217309763999074
XIST	0.009187189452791965
IGLC2	0.009119993877071882
IGKV4-1	0.008636119000710105
IGKV1-5	0.008618849000583509
RPS4Y1	0.00849628088356142
IGHG1	0.008420810793272795
IGHG3	0.008411987406513843
IGKV3-20	0.008271703843424301
IGLV1-40	0.0082275897617865
IGKV3-15	0.008028290078096384
IGKC	0.007579848371120277
JCHAIN	0.007576263967329563
IGHV3-23	0.007542921459597478
IGHA1	0.007362447267305335
IGKV3-11	0.007065218386307254
IGHG2	0.007009201824168844
IGHGP	0.006952941875551932
IGLC3	0.0067141677648709175
IGLV2-23	0.006527945551948669
IGLV2-14	0.0058886933481939845
