feature	coef
IGKV3-11	0.6866170540288075
IGHG1	0.49001486977088604
IGHA1	0.4348735131580881
IGLV2-14	0.2758573663231219
IGLC3	0.23305741885068654
IGHV3-23	0.22504238173901078
IGKV3-15	0.16085621056504673
IGHG4	0.1568516025365245
GABRB2	0.14232188653316938
TACSTD2	0.13912800568469683
IGHM	0.09715248939745703
PCSK2	0.09605549486314584
MT1G	0.0846126013048095
IGHV4-39	0.05736872806042722
DIO1	0.04332702201744097
SLC26A4-AS1	0.03434758095669154
SYT12	0.03311621166409733
CHI3L1	0.032847063063762644
TPO	0.026102551330225147
IGKV4-1	0.025085176643948458
CXCL14	0.006341257727463317
ZCCHC12	0.005820453488533257
KLK7	0.004078059449868073
JCHAIN	0.0008612881619070526
PKHD1L1	-0.0009230061352726384
TFF3	-0.002516801100337391
IGHGP	-0.010198315410941041
SFRP2	-0.022824955723771016
XIST	-0.040814284277007985
SLC34A2	-0.04203291748175692
BMP8A	-0.050146860713481886
IGHG3	-0.052864918482592435
TMPRSS6	-0.05922037436083463
FN1	-0.06550465805078438
IGHG2	-0.0672004057801421
ARHGAP36	-0.08602225055438163
IGFN1	-0.08604644504166874
RPS4Y1	-0.09401954855437288
TMPRSS4	-0.11105038144702334
IGLV2-23	-0.14867014451201843
IGKV3-20	-0.15058847915318527
DCSTAMP	-0.1664365836860288
IGLV3-21	-0.17693502033006847
CCL21	-0.18671157585071174
IGHA2	-0.25377907815674283
IGLC2	-0.27394293148751436
SFTPB	-0.4610426964667458
IGLV1-40	-0.4967040784176039
IGKC	-0.5100742731078454
IGKV1-5	-0.6107124843358612
