feature	coef
IGKV3-11	1.0968871193174459
IGHA1	0.5647477423114933
IGLV2-14	0.5245861611673612
IGHG1	0.49755290373085975
IGHV3-23	0.43901086236651027
GABRB2	0.41630673971113985
IGHG4	0.3883097580694057
IGLC3	0.3554408898064012
IGHM	0.2745942811803024
TACSTD2	0.26298948581158943
PCSK2	0.22500518099668626
MT1G	0.20092764146754957
SLC26A4-AS1	0.15789632122778316
IGKV3-15	0.15222349599076823
ZCCHC12	0.13118472467723533
IGHV4-39	0.12714388437840865
TFF3	0.11754275138743565
SYT12	0.10532997397214046
TPO	0.08202237167686129
CHI3L1	0.07103720816574803
CXCL14	0.06745580354428707
IGHGP	0.06340217035000548
DIO1	0.04318714922744556
KLK7	0.034387714742093074
JCHAIN	0.006841810334152905
IGKV4-1	-0.03273060897191642
PKHD1L1	-0.04599845634927146
XIST	-0.08519941919366639
IGHG3	-0.09951184763550854
SLC34A2	-0.107511309069211
SFRP2	-0.12138263142849891
IGHG2	-0.1300398554812382
BMP8A	-0.15020336682585075
IGLV2-23	-0.17729964062163528
FN1	-0.20691660717294394
IGFN1	-0.23267439851498528
TMPRSS6	-0.23352508035929326
RPS4Y1	-0.23683064997744627
TMPRSS4	-0.26406215250565407
ARHGAP36	-0.3059216934995091
IGKV3-20	-0.3168056047862033
IGKC	-0.3595123704533541
DCSTAMP	-0.3606606712739236
IGLV3-21	-0.365755310277864
IGHA2	-0.37213163691485535
CCL21	-0.49100583938626746
IGLC2	-0.5403468379647485
IGLV1-40	-0.8908259756342095
IGKV1-5	-0.94539052799367
SFTPB	-1.277340199546577
