model	n_samples	n_tumor	n_normal	cv_auc	bootstrap_mean_auc	bootstrap_lo_95	bootstrap_hi_95	fold_aucs
LogisticRegression	141	74	67	0.9794271883824123	0.9795967495067239	0.9527270698051948	0.9966463764993175	0.990;1.000;0.979;0.969;0.974
RandomForest	141	74	67	0.9669221460266237	0.9671632440401836	0.9361484903425878	0.9911136407849621	0.990;0.995;0.990;0.951;0.959
