held_out	feature_set	model	n_train	n_test	auc	bACC_Youden	brier	ece
GSE27155	TDS16	LogReg_l2	351	41	0.9972527472527473	0.9821428571428572	0.31707070366240414	0.31707166615103366
GSE27155	TDS16	LogReg_elasticnet	351	41	0.9972527472527473	0.9821428571428572	0.31707253224244064	0.31707278001020445
GSE27155	TDS16	RandomForest	351	41	0.8282967032967034	0.8282967032967032	0.2705259146341463	0.24329268292682926
GSE27155	TDS16	GradientBoosting	351	41	0.5	0.5	0.3169103256041128	0.3168162724202528
GSE27155	TDS16	XGBoost	351	41	0.8612637362637363	0.8846153846153846	0.3161791265010834	0.31595602849634674
GSE27155	TierA67_clean	LogReg_l2	351	41	0.9972527472527473	0.9821428571428572	0.6815649146888443	0.6822355722325045
GSE27155	TierA67_clean	LogReg_elasticnet	351	41	0.9642857142857143	0.9642857142857143	0.6829256674061344	0.6829262356636842
GSE27155	TierA67_clean	RandomForest	351	41	0.9024725274725276	0.8571428571428572	0.27008704268292677	0.3100609756097561
GSE27155	TierA67_clean	GradientBoosting	351	41	0.5920329670329669	0.7266483516483516	0.44762146548156606	0.49050788655674815
GSE27155	TierA67_clean	XGBoost	351	41	0.9491758241758241	0.9079670329670331	0.4729509651660919	0.5384864152022978
GSE27155	TierA67_clean_no_MAPK	LogReg_l2	351	41	0.9945054945054945	0.9642857142857143	0.12657266792611527	0.266469682016972
GSE27155	TierA67_clean_no_MAPK	LogReg_elasticnet	351	41	1.0	1.0	0.6798857778240026	0.681375629378021
GSE27155	TierA67_clean_no_MAPK	RandomForest	351	41	0.9326923076923077	0.9052197802197802	0.23952896341463414	0.2014634146341463
GSE27155	TierA67_clean_no_MAPK	GradientBoosting	351	41	0.8695054945054945	0.8695054945054945	0.28761037891364305	0.3792483118102455
GSE27155	TierA67_clean_no_MAPK	XGBoost	351	41	0.9945054945054945	0.9642857142857143	0.4503721296787262	0.5475874630416312
GSE27155	BRS71_original	LogReg_l2	351	41	1.0	1.0	0.21327303000877432	0.2562922675218064
GSE27155	BRS71_original	LogReg_elasticnet	351	41	1.0	1.0	0.072475856241503	0.16610011405814779
GSE27155	BRS71_original	RandomForest	351	41	1.0	1.0	0.2542990853658536	0.258780487804878
GSE27155	BRS71_original	GradientBoosting	351	41	0.9313186813186813	0.9079670329670331	0.6530415945069542	0.6664726188588437
GSE27155	BRS71_original	XGBoost	351	41	0.8365384615384615	0.9079670329670331	0.19607502222061157	0.3329556322679287
GSE27155	v3_panel_compact	LogReg_l2	351	41	0.9972527472527473	0.9821428571428572	0.31084465672226663	0.31279663878583963
GSE27155	v3_panel_compact	LogReg_elasticnet	351	41	1.0	1.0	0.31401062887106584	0.3149386595061713
GSE27155	v3_panel_compact	RandomForest	351	41	1.0	1.0	0.17404908536585365	0.4036585365853658
GSE27155	v3_panel_compact	GradientBoosting	351	41	0.5	0.5	0.6829225006210221	0.682923660072759
GSE27155	v3_panel_compact	XGBoost	351	41	0.5	0.5	0.44755178689956665	0.48063914041693623
