gene	log2FC	direction
SFTPB	5.641	up
DCSTAMP	5.348	up
SLC34A2	4.929	up
SYT12	4.884	up
TACSTD2	4.866	up
TMPRSS6	4.308	up
CHI3L1	4.180	up
TMPRSS4	4.132	up
SLC27A6	4.018	up
KLK7	3.937	up
CST6	3.871	up
CXCL14	3.808	up
B3GNT3	3.785	up
KCNN4	3.775	up
GABRB2	3.702	up
LAMB3	3.680	up
KLK10	3.504	up
CYP1B1	3.472	up
PDLIM4	3.437	up
SLC22A31	3.388	up
SYTL5	3.199	up
ALOX5	3.135	up
MUC1	3.080	up
NGEF	3.000	up
CLDN16	2.918	up
SFN	2.917	up
ST6GALNAC5	2.907	up
SLPI	2.902	up
COMP	2.853	up
MGAT3	2.835	up
IGHA1	2.833	up
IL1RL1	2.814	up
CRLF1	2.810	up
IGKC	2.809	up
STRA6	2.779	up
DTX4	2.761	up
SPOCK2	2.749	up
COL8A2	2.738	up
IGHG1	2.721	up
C3	2.715	up
NELL2	2.711	up
AHNAK2	2.711	up
TNC	2.702	up
LUM	2.698	up
MUC21	2.674	up
ALOX15B	2.655	up
LCN2	2.651	up
MYO1G	2.611	up
IGFBP6	2.605	up
ITGB8	2.595	up
