rank	gene	log2FC_tcga	fdr_tcga	pubmed_thyroid	pubmed_cancer	pubmed_braf	classification
1	DCSTAMP	5.348115176429377	1.7453535573179907e-82	5	18	2	emerging
2	KCNN4	3.7754301238933348	4.473112611693001e-59	5	63	0	emerging
3	PLEKHA6	2.3486067866558566	3.0426447457907354e-54	0	5	2	novel
4	CYP1B1	3.4717853376718275	8.992667634918927e-53	16	1008	4	emerging
5	BNC1	1.6494848118480423	4.988647791029414e-66	1	34	2	novel
6	LDLR	2.244074542393995	2.7604344873809383e-53	44	357	3	established
7	GABRB2	3.7018637710050393	2.904858218302039e-47	9	18	2	emerging
8	ST6GALNAC5	2.906954301470873	1.4946279241219938e-61	0	24	0	novel
9	B3GNT3	3.784866529999661	8.009875138029023e-52	0	44	0	novel
10	PTPRE	2.377444175523577	3.834026151789943e-45	4	17	1	novel
11	KCNQ3	2.4778669387015246	4.9526787856132535e-51	3	13	0	novel
12	CREB5	2.092335819750643	3.585280725632701e-49	4	53	3	novel
13	LY6E	2.1254931467349065	5.8376308921048586e-43	0	49	0	novel
14	TAGLN2	1.2224219445336635	2.3455053927143216e-42	5	76	0	emerging
15	PDLIM4	3.4365786075345723	3.0724976003124174e-40	4	37	2	novel
16	ITGA3	1.5192643166250441	5.0076829000185764e-42	16	170	2	emerging
17	BID	1.3493630866555177	1.7386681972449365e-41	73	2598	44	established
18	SPOCK2	2.7488710650992063	9.417486591961859e-49	0	28	1	novel
19	CST6	3.8706601133242406	1.1694615684197295e-41	3	56	1	novel
20	SYT12	4.884217566036791	1.0706214211966582e-66	6	11	0	emerging
