reference_list	source	n_reference_genes	n_our_genes	overlap_n	overlap_frac_of_reference	overlap_frac_of_ours	hypergeom_log10p	enriched	overlap_genes
Chakravarty_2011_BRS52	Chakravarty_2011_BRS52	51	2843	35	0.686	0.0123	-17.90	yes	ANGPTL4,CCND1,CEACAM6,CITED1,CLDN10,CXCL10,CXCL14,DIO1,DIO2,DUOX1,DUOX2,DUSP4,DUSP5,DUSP6,ERBB3,FN1,FOXE1,HMGA2,KRT19,LAMB3,LCN2,LGALS3,LRP4,MET,MMP7,PAX8,PLAU,SERPINA1,SLC34A2,TFF3,TG,TIMP1,TNFRSF11B,TPO,TSHR
Landa_2016_BRS	Landa_2016_BRS	41	2843	8	0.195	0.0028	-0.66	no	ALK,ERBB3,KIT,MET,MSH2,MSH6,PIK3CA,RET
TCGA_THCA_2014	TCGA_THCA_2014	50	2843	27	0.540	0.0095	-10.35	yes	ALK,CITED1,CLDN10,CRABP1,DIO1,DIO2,DUOX1,DUOX2,DUSP4,DUSP5,DUSP6,FN1,FOXE1,HMGA2,IYD,KRT19,LGALS3,LRP4,MET,PAX8,RET,SERPINA1,TACSTD2,TG,TIMP1,TMPRSS4,TSHR
Yoo_2019_Korean_PTC	Yoo_2019_Korean_PTC	32	2843	22	0.688	0.0077	-11.49	yes	CCND1,CITED1,CLDN10,DIO1,DIO2,DUSP4,DUSP5,DUSP6,ERBB3,FN1,HMGA2,KRT19,LGALS3,LRP4,MET,PAX8,RET,SERPINA1,TG,TIMP1,TPO,TSHR
Costa_2015_BRS	Costa_2015_BRS	30	2843	21	0.700	0.0074	-11.23	yes	ANGPTL4,CEACAM6,CITED1,DIO1,DIO2,DUSP4,DUSP6,ERBB3,FN1,FOXE1,HMGA2,KRT19,LGALS3,LRP4,MET,PAX8,SERPINA1,TG,TIMP1,TPO,TSHR
Pu_2021_scRNA	Pu_2021_scRNA	30	2843	16	0.533	0.0056	-6.27	yes	CD163,CD3D,CD4,CD8A,CLDN1,CLDN10,COL3A1,DIO1,DIO2,FN1,FOXE1,KRT19,PAX8,TG,TPO,TSHR
Agrawal_2014_drivers	Agrawal_2014_drivers	20	2843	6	0.300	0.0021	-1.27	marginal	ALK,CTNNB1,PAX8,PIK3CA,RET,TSHR
COSMIC_CGC_thyroid	COSMIC Cancer Gene Census — thyroid-relevant subset (Tier 1+2 manually filtered)	33	2843	8	0.242	0.0028	-1.06	marginal	ALK,APC,CTNNB1,KIT,MET,PAX8,PIK3CA,RET
OncoKB_thyroid	OncoKB curated actionable genes for thyroid tumours (therapeutic/diagnostic/prognostic)	30	2843	6	0.200	0.0021	-0.61	no	ALK,KIT,MET,PIK3CA,RET,TSHR
DisGeNET_thyroid_carcinoma	DisGeNET top GDA-scored genes for thyroid carcinoma (curated proxy subset)	64	2843	36	0.562	0.0127	-14.32	yes	ALK,BCL2,CASP3,CCND1,CITED1,CLDN10,CXCL10,DIO1,DIO2,DUOX1,DUOX2,DUSP6,ERBB3,FN1,FOXE1,HMGA2,KRT19,LGALS3,LRP4,MET,MYC,PAX8,PIK3CA,PLAU,RET,SDHD,SERPINA1,SLC34A2,TACSTD2,TFF3,TG,TIMP1,TMPRSS4,TPO,TSHR,VEGFA
