gene	prior_direction	in_our_list	our_log2FC	concordant
ANGPTL4	up	True	1.329	yes
CEACAM5	up	False		not_tested
CEACAM6	up	True	2.601	yes
CITED1	up	True	0.784	yes
CLDN10	up	True	3.162	yes
DIO1	down	True	-3.892	yes
DIO2	down	True	-1.653	yes
DUOX1	down	True	-0.760	yes
DUOX2	down	True	-1.498	yes
DUSP4	up	True	1.085	yes
DUSP5	up	True	2.248	yes
DUSP6	up	True	1.589	yes
ERBB3	up	True	2.292	yes
ETV5	up	False		not_tested
FN1	up	True	4.780	yes
FOSL1	up	False		not_tested
FOXE1	down	True	-0.556	yes
HMGA2	up	True	1.963	yes
KRT19	up	True	3.290	yes
LGALS3	up	True	2.446	yes
LRP4	up	True	1.195	yes
MET	up	True	2.037	yes
NKX2-1	down	False		not_tested
PAX8	down	True	-0.578	yes
PHLDA1	up	False		not_tested
SERPINA1	up	True	4.191	yes
SLC26A4	down	False		not_tested
SLC5A5	down	False		not_tested
SPRY2	up	False		not_tested
SPRY4	up	False		not_tested
TG	down	True	-1.485	yes
THRA	down	False		not_tested
THRB	down	False		not_tested
TIMP1	up	True	2.532	yes
TPO	down	True	-4.143	yes
TSHR	down	True	-0.302	yes
