drug	pubmed_thyroid	pubmed_cancer	trials_thyroid	trials_any_cancer	top_trial_nct	top_trial_phase	top_trial_status
cannabidiol	11	750	0	25	NCT07107607		RECRUITING
quercetin	84	4209	0	20	NCT01912820	PHASE1	COMPLETED
cannabinol	2	45	0	0			
resveratrol	116	4303	0	18	NCT04266353	NA	WITHDRAWN
luteolin	26	1217	0	1	NCT03288298	EARLY_PHASE1	UNKNOWN
etizolam	1	4	0	0			
flunitrazepam	9	10	0	0			
nitrazepam	0	4	0	1	NCT02246634	NA	RECRUITING
midazolam	23	507	2	25	NCT05468671	PHASE4	COMPLETED
triazolam	1	7	0	0			
