gene	log2FC_tcga	cohens_d_tcga	fdr_tcga	replication_rate	novelty_score
DCSTAMP	5.348115176429377	2.2448196368971005	1.7453535573179907e-82	2	367.0644511692119
KCNN4	3.7754301238933348	2.372427136717678	4.473112611693001e-59	2	276.8593532920303
PLEKHA6	2.3486067866558566	2.219831394761666	3.0426447457907354e-54	2	237.59631805138082
CYP1B1	3.4717853376718275	2.2206460551650955	8.992667634918927e-53	2	231.15198419011531
BNC1	1.6494848118480423	1.6268725805273234	4.988647791029414e-66	2	212.47612233194832
LDLR	2.244074542393995	2.0155545166045297	2.7604344873809383e-53	2	211.87115059967502
GABRB2	3.7018637710050393	2.241737615617785	2.904858218302039e-47	2	208.64692667064776
ST6GALNAC5	2.906954301470873	1.7084905074862111	1.4946279241219938e-61	2	207.83946565175495
B3GNT3	3.784866529999661	2.015275476921999	8.009875138029023e-52	2	205.9465399868826
PTPRE	2.377444175523577	2.2606259449501436	3.834026151789943e-45	2	200.81748345332278
KCNQ3	2.4778669387015246	1.9610070414334062	4.9526787856132535e-51	2	197.29754532554023
CREB5	2.092335819750643	2.0323723422313265	3.585280725632701e-49	2	196.91849444575922
LY6E	2.1254931467349065	2.1578333917468653	5.8376308921048586e-43	2	182.26684971141444
TAGLN2	1.2224219445336635	2.1808810156977305	2.3455053927143216e-42	2	181.5791220902937
PDLIM4	3.4365786075345723	2.2524857154996334	3.0724976003124174e-40	2	178.00272172371209
ITGA3	1.5192643166250441	2.144454872708791	5.0076829000185764e-42	2	177.1335301303764
BID	1.3493630866555177	2.125295207116835	1.7386681972449365e-41	2	173.25314413735148
SPOCK2	2.7488710650992063	1.7858982815063669	9.417486591961859e-49	2	171.5393338643295
CST6	3.8706601133242406	2.044567784748691	1.1694615684197295e-41	2	167.37655456534935
SYT12	4.884217566036791	2.473532549025696	1.0706214211966582e-66	1	163.17984280173076
MAMLD1	1.9466513710287532	1.94416022802433	6.653420373340058e-42	2	160.10919658541496
COL8A2	2.7380795684220463	2.12022999774396	2.84842233507053e-38	2	159.20974813075816
TMPRSS6	4.307770782896547	2.142107404174998	1.5643080147043298e-74	1	158.09968873471024
MICAL2	1.6065732684335678	1.8377740911218698	1.0419712245334753e-43	2	157.9829422571116
SFN	2.9170552976941764	1.7839527478045911	6.429954519784877e-45	2	157.6721378905096
TGFBR1	1.4430572771233416	1.814746994741174	7.165975821971461e-44	2	156.5935188367074
QSOX1	1.3535865433733045	1.844592502653252	3.683875182274397e-43	2	156.54575165710253
ARNTL	2.0606537909935003	1.9929250258752873	9.501225396401454e-40	2	155.53671911734503
SDC4	2.019274732852173	2.0935081985976574	9.95694356498454e-38	2	154.92745297404736
PDE5A	2.3570411260892197	1.9499580177791778	6.202052799088242e-40	2	152.90581967649769
DRAM1	1.3992772932621769	1.8217801241315015	2.3018516082148683e-42	2	151.71027988670784
CTSC	1.9307369920204627	1.8439554320357	1.0876220618537655e-41	2	151.0698177832839
ALOX5	3.1353205667065884	1.7391268784940628	9.175802248950286e-44	2	149.69484504007642
AHNAK2	2.711159195485767	1.7798154446044765	1.6742680029208124e-42	2	148.70776304317383
S100A10	2.2030172234072607	1.8573787626038898	9.561770103247018e-41	2	148.66259651374895
DTX4	2.760871263463547	2.102179777496604	1.2645859988133197e-35	2	146.72395682501397
SLC35F2	1.2696385777084531	1.9371378449615542	4.0281342590881e-38	2	144.87813674289688
SLC4A4	-2.6154046570208314	-1.7190193245913505	3.4301505473561344e-42	2	142.55719585860737
ANXA2	1.7378300138003793	2.1766732296192335	2.3966265603507957e-33	2	142.00790123678607
SYT1	2.057467597016866	1.4072496822107006	4.953518433463864e-51	2	141.58363318359872
AMOT	1.4889956382295848	1.8471734560286897	5.374449878718924e-39	2	141.3814223494749
C11orf80	1.0794179176692222	1.9517447677943172	1.747060142733276e-36	2	139.57977710139374
EPHB3	2.1690138156390235	1.962294401677464	3.6378678206997084e-36	2	139.0841033968392
IL1RAP	2.049684839519606	1.8466916352048282	6.433774054991703e-38	2	137.3625901965772
TBC1D2	1.5459622531793498	1.9324935648597326	5.427758786428565e-36	2	136.30023774123705
MDFIC	1.135510892741297	1.8875224561356685	8.510112375791505e-37	2	136.16611425002628
PELI1	1.6077643447763972	1.6060674490679951	5.283565261438763e-43	2	135.79966132989074
CFH	2.4332108885560926	1.8734684806852848	1.1381689157666322e-36	2	134.6791275707042
SEL1L3	1.8924387938754892	1.9121286466538092	6.269710479337334e-36	2	134.6243830439357
STAC	2.133548257339209	2.0662527451398933	2.681573158657356e-64	1	131.3550143989006
PROS1	2.309961555388184	1.8109487291954387	6.177961086769827e-37	2	131.1458458547789
TNFRSF21	1.6644876617861177	1.7399503935722953	4.911573931419978e-38	2	129.83085050342584
SOX4	1.5014583320954253	1.9240279498877666	6.74887045812294e-33	2	123.7949170963137
ICAM1	2.007226107723567	1.837269228117622	2.367114719171403e-34	2	123.5592242811723
OSMR	1.45978535048669	1.602758906616171	3.767482934449217e-39	2	123.1686520325482
STK17B	1.6916621868364703	1.833999233786649	2.819215544318954e-34	2	123.06087805143709
ALDH3B1	1.8732392382208753	1.9764944812935525	7.953244825658751e-32	2	122.93580492060828
ANXA2P2	1.2669377161679825	1.7724981831994067	2.696108590560739e-35	2	122.54791037628813
ITGB4	1.7379506395784983	1.6663146904645678	2.1501187784625606e-37	2	122.19931295812901
KLK7	3.937128004209362	1.9146224750051741	1.74435526585746e-63	1	120.1585762372599
CHI3L1	4.180202154645789	1.7304956764241592	2.213029826627104e-35	2	119.94069940081943
C1orf116	2.3602539691544844	2.0004786159566605	1.098321315937894e-30	2	119.86576032047151
MVP	1.22301829317085	1.9200538130370355	1.5831002716931535e-31	2	118.2772025900135
PALM	1.8681195131392592	1.8714970543876452	3.8077550152204516e-32	2	117.60237083911896
EMP2	1.2322337836903445	1.8453195036825514	1.5526021873184386e-32	2	117.39531403218709
PLAUR	1.9849061801311954	1.606577977587408	3.096102371110325e-37	2	117.30970419887952
FHL1	-2.0474689521419114	-1.4748944042557857	1.3755071741374575e-39	2	114.63332733756758
MTMR11	1.4402088498794807	1.8257448530355158	1.9900268106478384e-31	2	112.10490059092649
HRH1	1.3796650868793354	1.3828995977718472	3.5479153277350375e-41	2	111.87665145402399
S100A6	1.7418214077283984	1.7239410592885334	8.565767123959898e-33	2	110.56404179358003
TNC	2.7020107621176175	1.7259801019427286	2.0096902251187213e-32	2	109.41633686489662
LAMP5	2.2227590499866547	1.315830037113735	3.0012021785369156e-42	2	109.27364425654314
AHNAK	1.1368625136185475	1.7427615996577506	1.1723142602418932e-31	2	107.81056454820892
SFTPB	5.641482039922563	2.152063814140296	2.2392810586360196e-50	1	106.84973464382773
EBI3	1.3655150303456633	1.551968704610179	3.9163241880377447e-35	2	106.79755114862272
CRLF2	1.3851155779289146	1.4414011466507315	1.928158756640311e-74	1	106.25267970905023
GSN	1.3213228558813572	1.7601450433923884	2.2944103948847467e-30	2	104.33903570008127
CCL13	1.7311018611394706	1.6850577745956898	1.2837710250762446e-62	1	104.29077420273437
GBP2	1.9239475416303158	1.7422402056656223	2.6397076646680524e-30	2	103.06550929602876
ADCY7	1.3095124110656158	1.4127653540523883	4.223157015579545e-37	2	102.77687899819223
FLNA	1.2508151345158343	1.8295107028784119	1.7521438037607223e-28	2	101.56137244253308
TGM2	1.5313165543606244	1.4109362188576333	1.0899189071990402e-36	2	101.48188613352367
GGCT	1.198924773255083	1.4728908494985615	6.971077839996402e-35	2	100.61818195799333
FLII	0.6145028765164344	1.7827908659538447	8.609706764292758e-29	2	100.068092808699
RARG	0.9098447658471809	1.8352930894974033	6.17856900301242e-28	2	99.8733908122345
ZFP69B	0.613113512130411	1.3868064854639202	2.740260197150406e-36	2	98.6358019313218
SLPI	2.9019024771500517	1.4565647366510404	1.5110121411245737e-34	2	98.52417133200036
GABRB3	-2.270486521872665	-1.6323872432198383	8.048616498446655e-31	2	98.2510335012016
CDC42EP1	1.1447597017825855	1.7211314058228822	2.901091630343017e-29	2	98.23336347366346
SPATS2L	1.0088233996478753	1.942534008623542	8.015059193838989e-26	2	97.50002930516268
CTSH	1.861528247220118	1.6739400275557024	1.7581715615132747e-29	2	96.26808592357077
ANXA1	1.874886170476703	1.8645722436783723	1.6949437186618104e-26	2	96.10320351524302
EHBP1L1	1.1197999227007056	1.7737554662147172	1.179942830602877e-27	2	95.527867613738
DHRS9	1.2365762175747603	1.2721195535803471	2.8440095994319794e-38	2	95.52617692253693
ATIC	0.80105451483512	1.7027710363324564	9.454248383516782e-29	2	95.43818128441089
COL8A1	1.4601725440224858	1.754340578775134	7.792330568808182e-28	2	95.114495918347
PPARGC1A	-2.068321318628256	-1.4959490665154374	3.8441131273166385e-32	2	93.99108971793798
PLXNC1	1.8968146435098658	1.5871816872503208	4.9657099166550686e-30	2	93.02160354205112
ENDOD1	1.1839622465082948	1.5986001850786384	9.273499098479317e-30	2	92.82353939979646
STAT1	1.4737193402021607	1.581412230787168	8.609533892791045e-30	2	91.92755737063639
MGAT3	2.835012234475127	1.9539217875693382	1.0944652131316594e-47	1	91.75772644739929
LRRC2	-1.2122099601664553	-1.3471390840820316	1.1530739237825853e-34	2	91.43879734639896
STXBP5L	-2.153017933312497	-1.6269447525537595	8.227349890284631e-29	2	91.38464084625365
IGFL2	2.2235973215488305	1.5012724786581515	1.4946279241219938e-61	1	91.31559947063802
SGMS1	0.9670716701359874	1.5539573921007366	4.978406593368695e-30	2	91.07094608047497
LYN	0.8810792612079172	1.5103931370014423	1.1935160355982943e-30	2	90.39150647169609
GPR153	1.5271124423684275	1.9981682527224676	1.0479275391812116e-45	1	89.87694610699083
CD47	0.9693420686601435	1.6672664030496323	1.3514500031667828e-27	2	89.59622892823953
ELF3	2.2577673165588426	1.988788577590368	1.2621205142802052e-45	1	89.29441782415277
ZNF217	0.9465605292994388	1.5200098423096515	4.4359531225255e-30	2	89.23373748084093
MBOAT2	1.3404669850478026	1.6453849025030984	8.234643105664546e-28	2	89.12837834165398
ARF6	0.6317928368243306	1.6856821904671617	4.3488920167194485e-27	2	88.87463132992058
RUNX1	2.059466965102215	2.1452849828314275	5.872655646750685e-42	1	88.45260009458542
RUNX2	2.3845886493599555	2.1916949221735202	4.4501210775439765e-41	1	88.43845856755334
HGD	-2.7327774440834305	-1.9381123174588324	2.5859501530925896e-46	1	88.35346240962168
MSMO1	0.7348732541230101	1.6074428707514106	4.115706967859021e-28	2	88.04143207343813
CLU	2.4223521550499783	1.8411807084429375	1.2346231394163809e-24	2	88.03961121711568
CYP46A1	-0.8101916018228872	-1.6207840589265174	8.842444775522849e-28	2	87.69552852891971
SLC27A6	4.017736371739938	2.0652217534367003	5.9800597466042226e-43	1	87.20046625559446
ETNK2	1.3063960452654717	1.456496299139149	1.172603156345746e-30	2	87.1883414257288
TUBB6	0.9990869569193848	1.7268391446718356	6.635604022484611e-26	2	86.9571248157766
PKP2	1.6509300015080322	1.5382306122133846	6.983333269724268e-29	2	86.62064912971367
FSTL3	1.7255953682214966	1.9022742651792726	3.095021544811209e-46	1	86.57123931350257
GNAS	-1.1611446222800694	-1.6771325787944054	2.1706094376781744e-26	2	86.08190987204257
TIMM17B	-0.7719296083942417	-1.524697504870366	6.198161580566401e-29	2	86.01653276796205
PAPSS1	0.7231084361716356	1.6704639574955433	1.9159978442201482e-26	2	85.92066439743368
IL4R	0.9091043513494164	1.5276706993560156	1.0002730313134627e-28	2	85.54919692324638
ROR1	1.337569666955579	1.3999158363605408	2.841078436394514e-31	2	85.52510516109959
NABP1	1.2625996144202256	1.3909047174925082	2.720156660823344e-31	2	85.02713502613963
ELMO1	-1.7667985573931162	-1.5039162709579326	6.902582868048616e-29	2	84.70353723418319
ALOX15B	2.654789390528607	1.5757489631247843	1.5869771351574633e-27	2	84.45834595951034
UGCG	0.7502280878684102	1.5736691408629373	1.609860832533515e-27	2	84.3273007660116
SYTL5	3.1994505061317438	2.118864353319273	2.349798842333318e-40	1	83.96841043926861
MFGE8	1.5498151980319612	1.6265590124457716	1.5995642985250806e-26	2	83.91742703220855
GNA14	-1.8764715935830742	-1.8543920183670837	6.760768536356966e-46	1	83.76289476193001
DSC2	1.8532225432202547	1.9684896264876226	3.2301801835784324e-43	1	83.64264636699981
BEAN1	1.5787964627047804	1.7190243901834712	4.070467393839318e-49	1	83.18420173197208
CDH6	1.4984854614351377	1.2518881405517817	1.1364989906825439e-33	2	82.4854847961301
IFIT2	1.0845106029706533	1.333344675271991	1.2422977351428278e-31	2	82.41609921358726
PAM	0.9732356226138048	1.6611415974840602	2.4714592043703026e-25	2	81.7515772438591
S100A4	2.157017993525237	1.5126634161232895	9.756767203481265e-28	2	81.71617748871465
FCER1A	1.4181466003987397	1.256218955807315	3.675261580028943e-33	2	81.49019944134325
CCNA1	1.094406452262716	1.2499579969007208	2.918539220607508e-33	2	81.33435303742395
ACSF2	-0.9570565964796005	-1.5120413519672031	2.497403221843419e-27	2	80.44819440136268
APOL1	1.4888055970628251	1.6532513544118213	6.639731452509645e-25	2	79.94412481749943
CD58	0.7124837781072726	1.5046043646918357	2.7492254738445347e-27	2	79.9269600459592
BASP1	1.6463528330167838	1.718791152213905	6.555465528478855e-24	2	79.69483343423637
RND3	1.6154026876839187	1.9023019493309152	1.6290244202779737e-42	1	79.49353159528467
ITGB8	2.5952519573993573	2.1910082511040736	5.328943548826629e-37	1	79.47522860211183
FAAH	-0.8158521843784206	-1.4175720535956098	1.3612827998442549e-28	2	79.00427210596636
MPZL2	1.4043687660962378	1.6663861872940813	2.162861178997932e-24	2	78.86996277538914
TNFRSF12A	1.8113541940363724	1.623459495713886	5.267935023620348e-25	2	78.82986683479194
GRB7	1.6836352837651076	2.0538754673186506	4.36781112615021e-39	1	78.78612101079786
PDE9A	1.025454170415637	1.4879059678037536	3.483466194843747e-27	2	78.73399767199857
AHR	1.4090735568623094	1.9611739174285407	1.9047932359680424e-40	1	77.89812641210345
TMC6	1.4712881826661368	1.670730389798034	5.407676901234018e-24	2	77.74573208690747
RGS4	1.658297322138781	1.0851855118850586	1.5703677541394707e-36	2	77.70796116404388
ATP2B4	0.8214935164434793	1.5301277607356516	5.93564372874376e-26	2	77.19963437403631
NGFR	2.187273665930227	1.374713459401296	8.425420249170694e-29	2	77.18853426102724
CLDN16	2.9179302560146705	1.548775491356276	1.2171219627764734e-25	2	77.17444784475784
MDK	1.957172847591739	1.5807323287467563	5.040943527339321e-25	2	76.81565010851499
AXL	1.000124600270209	1.5456555969427968	1.6706216626019192e-25	2	76.59379425542426
C21orf91	0.6291548689756823	1.4398095019912331	2.7501503978173755e-27	2	76.48453393956947
IGFBP5	2.290150158317644	1.5470724501867823	2.1332231923597613e-25	2	76.33553652993693
TMSB10	1.2906601157603745	1.5797330818877584	9.509229215199881e-25	2	75.89623706530914
GJB3	2.532032467186249	2.031136104760754	7.080478894104836e-38	1	75.45657907662175
DST	1.4708582342645702	1.4664155539351666	2.8781231661094494e-26	2	74.90711854726779
POLR3C	0.40912860404083773	1.5889727808675678	2.6913662486696396e-24	2	74.90426332450609
PRSS23	1.8412334364484115	1.5381525190434024	4.686959614274611e-25	2	74.84375993856878
PNP	1.5597245906480302	1.2712664299016803	5.0815381864151775e-30	2	74.48096981567458
THEMIS2	1.3111116236789098	1.6334374735064863	1.8648030230500733e-23	2	74.25399972956745
SRGAP2	0.7902322657026297	1.4389647706383681	1.6397023512576485e-26	2	74.20808947935397
CD55	2.17377959936527	1.6635377118101904	3.0089172701913134e-45	1	74.0633435438059
SIGLEC6	2.2643717180120007	1.2243277982839218	4.819788119406632e-61	1	73.8477455930116
APOL2	0.8981491366822123	1.4948569010442865	6.543272023667038e-25	2	72.30385155395047
MCCC2	-0.746111193707339	-1.5982751814467318	4.7755506215685286e-23	2	71.35012568140635
INHBB	1.8937016060532486	1.5656576950664696	1.6531978333681914e-23	2	71.33661008085713
CD109	1.9722917033846294	1.6655716908133318	1.5843506516380423e-43	1	71.28671602597788
MYH10	1.2052987395442516	1.51953764452729	3.9072929258058355e-24	2	71.13905129946372
TMEM163	2.5734418665357257	1.6153064926936886	1.0802406206743753e-44	1	71.01933979047722
NECAB3	-0.8557922382638576	-1.5365777566800667	7.77862378687535e-24	2	71.01784956930864
MPPED2	-2.389263678701509	-1.714867587020908	4.3716880016847394e-42	1	70.92581017628002
C3	2.714867624735432	1.490342423680827	1.8438181792880017e-24	2	70.74441444431986
TM4SF1	1.8301551755019583	1.4430823024999377	3.467563068098359e-49	1	69.93173321300212
KCNJ2	2.01161887947138	1.459427521311495	1.2773016058912883e-24	2	69.74226582650422
MUC1	3.079512427134007	1.9443536396081327	1.5703677541394707e-36	1	69.61563505090344
DSC3	2.0950231112932065	1.375369070524338	3.145243499386949e-51	1	69.4593643012639
NGEF	3.0003175863567857	2.040813324107923	9.819017904897786e-35	1	69.40384064491396
CATSPER1	1.4930184467178114	1.6255057445196712	2.3061347695303073e-43	1	69.30687587641897
IGFBP6	2.6049575300307843	1.472018164736451	3.649716989102037e-24	2	69.00156042788623
KCNIP3	-1.6245564766795209	-1.8549099858804141	6.516694720485599e-38	1	68.97663195378843
WASF3	-1.3009045167299425	-1.8400737530817908	4.0940820118833306e-38	1	68.79638943853737
NRP2	1.5012147640402773	1.4491406832058025	1.9834148631892916e-24	2	68.69676460496343
LYST	0.8446254513545615	1.3087934189739816	6.690075738208741e-27	2	68.51420721322553
IVL	1.9231657688975332	1.2957118891926862	1.6342396009009907e-53	1	68.39633439954919
CDH11	2.5038714859753837	1.6495408286775637	3.50641974655866e-42	1	68.38193954972432
EPHA4	1.6231784458503942	1.5287309328668812	4.323020646825098e-23	2	68.37772745763839
B4GALT5	0.8647516771522294	1.3934762690344888	3.907737325522767e-25	2	68.02414555853017
SCEL	2.2594375741176203	1.465697526665115	6.766369411394142e-24	2	67.91938067524991
ARAP1	0.6112661343825421	1.4837326194617504	1.6639547141435636e-23	2	67.59547077385352
MMP15	-1.1845950607307083	-1.5935142529173114	4.892335962752164e-43	1	67.42235886691729
RAC2	1.8388040829214605	1.4614155674376	9.380663174879745e-24	2	67.30627276912821
MEX3C	0.7195917512586298	1.4423061905883403	4.808414464552245e-24	2	67.2633860381794
UNC5CL	1.6013508303336832	1.714673875123443	1.4702364582638006e-39	1	66.58526669154303
KLK10	3.5035448569239986	1.8065550500948067	1.3986936843301217e-37	1	66.57928092950947
PON2	0.7786606040345321	1.5194939860252354	1.4330592901084317e-22	2	66.38285048581442
GSTM4	-0.7367056071942306	-1.4094367923396343	3.1077192851747834e-24	2	66.26483489865485
SLC17A9	1.31064627982121	1.3827927870521761	1.303281899865998e-24	2	66.05590533920218
KATNAL2	-1.4006103591700994	-1.7475870669579623	2.2196675831349279e-38	1	65.803140219912
CDC25B	0.9958505667153803	1.4295326667146655	1.018136468030559e-23	2	65.73618482357196
PTPRU	1.7576442983941778	1.7714110995597994	8.116410605046532e-38	1	65.70276428303463
ABTB2	1.7846490083876971	1.7912399738179328	2.3432847408051635e-37	1	65.61343359248313
CYSLTR2	2.4638501330304328	1.5199709637159544	2.878775947386027e-22	2	65.48275715996358
RARRES1	1.1022000643376209	1.1723459294439589	1.5500577960830598e-28	2	65.2050648967138
SEMA4C	0.7802462534808834	1.5287143053063734	4.759204864325757e-22	2	65.1919163748445
ETHE1	1.2521809927704974	1.865475067807667	1.6819107037889082e-35	1	64.87039762879985
LUM	2.6979597306434777	1.3150421105547354	2.2677028160706287e-25	2	64.81688403332005
ALOX5AP	1.497438192683	1.3629958508155569	1.836559521798131e-24	2	64.70412537778331
ZYX	1.0633267646525635	1.9608027876311636	1.2205478471446061e-33	1	64.53677508101033
CFI	1.5183558138632725	1.5520604780042486	1.6281005650328376e-21	2	64.52945594338831
MGAT4B	0.8177802178855584	1.523656076524352	6.895904777767158e-22	2	64.48541804154408
MYO1G	2.611264294948039	1.6547961102625994	1.2082170906157287e-39	1	64.40111511567864
WWOX	-0.7142662681959333	-1.3628875423534053	2.7171813724871377e-24	2	64.23529229120155
ACACB	-0.9592006376657682	-1.3596048690212212	2.942158381486473e-24	2	63.98663243182675
GRHL3	1.6492788465093793	1.6614104938222998	4.108778095751873e-39	1	63.77538056103193
STAT4	1.137321667086406	1.2799850050919692	1.3021842385868943e-25	2	63.70569226149541
ACSL5	1.1857635862689113	1.273480324478553	1.1327668505048205e-25	2	63.53612242129753
SLC25A15	-1.5099987724666586	-1.5288861836471521	1.69628175563552e-21	2	63.511467097784866
CCL22	1.6187138257805587	1.3720942938825071	8.342452688031626e-47	1	63.22432991188894
PPP2R3A	0.6151192623293076	1.3245459517614364	1.3965076768551553e-24	2	63.19397258017064
SDC3	0.9931824087421584	1.4340274867194152	1.0075777056021466e-22	2	63.0878063556946
MCM5	0.6834074461054547	1.479666541969595	4.939484510126652e-22	2	63.05249285563597
NOD1	2.182004163669287	1.8757388994811441	2.859275402467506e-34	1	62.91930547722586
PERP	1.3596477846678958	1.697514956568394	9.059250128180176e-38	1	62.88088993904418
TMEM43	1.0423004048647035	1.9262494388718763	3.1004392649638576e-33	1	62.61962776501572
SELL	1.4109807592845147	1.3123534288153051	1.7965238776493496e-24	2	62.32515255950242
BTBD11	-1.8111511123417392	-1.6175971384560115	3.469709371166463e-39	1	62.21231182881678
RAB31	0.8379685521467328	1.3305858162623125	4.2830133515470936e-24	2	62.18692552330577
TMPRSS11E	1.4703291343993983	1.1902471238091685	6.861319286060237e-53	1	62.08756578672423
HPGDS	0.6940925801267468	1.1871317711504228	9.822921775303037e-27	2	61.74927475720383
ARHGAP19	1.099490973076278	1.1896182307392213	1.1676892742200591e-26	2	61.69996045277873
DOCK9	1.0267304083719626	1.3753064364385719	3.773020996544358e-23	2	61.67784727843667
SP110	0.6596379857145331	1.4002975736628347	1.025222013835114e-22	2	61.58279661879529
CBLN1	2.120265317591879	1.1980403345366704	2.4988148418563434e-26	2	61.34509446305699
TCF7L1	-1.2956312542579669	-1.2354948893521562	1.5214010032104164e-25	2	61.324422151893835
CTHRC1	1.9653225047591483	1.359830527930596	8.491372771879685e-46	1	61.288951767288104
FAHD2A	-0.7411500970521123	-1.4017714503986904	1.8547444771175084e-22	2	60.92579787128719
MT1F	-2.8603726225745403	-1.7627679612261782	3.1769036889499e-35	1	60.81196198902131
PPL	1.7529546980922968	1.9612703415879176	1.0974835298362255e-31	1	60.72014916757734
MUC21	2.673586243257962	1.4350735447701721	5.235817753459235e-43	1	60.67636675940139
HLF	-1.9512316091209176	-1.5285255262031154	2.739692709553041e-40	1	60.471982591341984
KCNQ1	-0.9655199807767145	-1.6702775145351922	7.462222675384604e-37	1	60.34233590283955
SP100	0.5591946064671038	1.54446563513716	3.221212864220154e-20	2	60.20938831825251
RASGRF1	2.4231226934542356	1.7159432165305415	8.629848539592798e-36	1	60.16782749873775
KLF15	-1.117097061147161	-1.3882667192555074	2.2345380409070596e-22	2	60.11420417606836
DCLK1	1.320390250903692	1.1968168813412141	7.759412619400882e-26	2	60.104553459037724
CDH3	2.2077150864584523	1.5893493735921362	1.2367005703304512e-19	2	60.101994951810774
CLCNKA	-2.3705187985020855	-1.9172293431293692	4.5421937876790456e-32	1	60.09120997252518
STK38	0.7532378875809407	1.7147174211203158	9.888703078959447e-36	1	60.02344440301604
IFIT3	1.0501991587171515	1.2406817522099407	6.699935218091406e-25	2	59.984306162866886
MT1G	-4.416242682996163	-1.7446498696508834	5.226136180603555e-35	1	59.80977153438492
MLEC	-0.8893531988133221	-1.8459696094473774	5.8432038464145865e-33	1	59.501782595668125
GNA15	1.0267606167410284	1.175638449673495	5.0355236608889037e-26	2	59.48249803640136
IGSF9	1.5314816313728103	1.8869579839835393	3.8908424459108024e-32	1	59.26926792059062
GATAD2A	0.3756432664200622	1.4027599820784677	7.831376510955133e-22	2	59.21375856553916
JAK3	2.0039113605171175	1.8642831633834864	2.012840014796638e-32	1	59.09067474458688
NOTCH2	1.096214106070894	1.418712133290213	1.502109453326988e-21	2	59.08453224913436
CDON	-1.5454910886817448	-1.2887093542152668	1.431143559067313e-23	2	58.879369500744424
LGALS1	1.4493809808259188	1.404439703532742	1.1244306176304098e-21	2	58.84340384097715
KRT15	1.8284610544030169	1.6593322726468605	3.746289440939751e-36	1	58.784166619720835
ANKRD46	-0.7569824491145498	-1.5998624703616178	2.699726319401434e-37	1	58.504859137898194
MXRA8	2.467879552313823	2.0988154775044747	1.3612827998442549e-28	1	58.48570048499254
SPTBN2	1.9777585329736183	1.7891912466033424	2.071937981688142e-33	1	58.47725262306426
GAP43	2.1770707873861737	1.3190977560787511	5.793518296302094e-45	1	58.35300343833174
SFXN3	0.814969772709623	1.852733702037191	3.201393695015144e-32	1	58.35121971092764
TMSB4X	1.2508430430231154	1.408558535523379	2.6928826027012256e-21	2	57.9474856521992
INPP4A	0.6533641724290327	1.3971611802040833	2.0150273281462467e-21	2	57.83051053270498
CD1C	1.4617807382473638	1.3091030526580394	7.788544800076485e-45	1	57.74262917674064
RAP2B	0.6236910183962561	1.2955542271238392	6.035723858167602e-23	2	57.5725399972138
LOX	1.9053470022721557	1.4313730673625544	6.332538388952328e-41	1	57.538938842833666
TM4SF4	1.8051581663767151	1.3898680781660022	5.017503210817412e-42	1	57.400873846474816
PTPRF	1.3454707439399556	2.014238141613301	3.317352567437332e-29	1	57.36390774042486
IQGAP2	-1.9463956490902241	-1.5491076999805127	1.3833641332017596e-37	1	57.09865906420464
