stratum	n	n_DM1	obs_cosine_DM1vsDM2	perm_p_two_sided	centroid_dist_L2	perm_p_distance
BRAF_cPTC	41	26	0.9865116477012634	0.498	11.993307113647461	0.6748
RAS_FVPTC	16	3	0.9524336457252502	0.1948	25.14696502685547	0.1252
