	P8	P10	P12	P16	n	modality
TCGA-THCA	1.0	1.0	1.0	1.0	513	STAR-counts RNA-seq + MAF mutations
GSE213647	1.0	0.0	0.0	1.0	632	RNA-seq, no mutation calls
K2 (PRJEB11591)	1.0	0.0	0.0	0.5	260	kallisto 8-gene mini-index only
GSE76039	0.5	0.0	0.0	0.5	37	microarray (probe-level preds only in project)
GSE33630	0.5	0.0	0.0	0.5	49	microarray (validation labels only)
MSK-IMPACT	0.0	1.0	1.0	0.0	117	targeted DNA panel (mutations only, no expression)
