tcr_link_category	n_neo_rows	mean_tcr_evidence_count	total_tcr_evidence_count	paired_tcr_evidence_count	cancer_context_evidence_count	pathogen_context_evidence_count
peptide_hla_match	1731	1.7931831311380704	3104	0	2626	32
no_tcr_match	699	0.0	0	0	0	0
near_peptide_match	170	19.95294117647059	3392	790	498	1249
exact_tcr_pmhc_match	101	31.831683168316832	3215	810	2535	93
peptide_only_match	14	1.9285714285714286	27	0	20	0
