source_dataset	n	paired_tcr	beta_only_tcr	alpha_only_tcr	any_tcr	peptide_hla	positives	prevalence	cancer_context	pathogen_context	structures
IEDB_tcell_api	500	0	0	0	0	330	500	1.0	43	377	0
IEDB_tcell_full_export	397627	0	0	0	0	291583	137415	0.3455876990244626	52112	193413	308
McPAS-TCR	40731	12717	25430	1966	40113	16304	40731	1.0	3880	31855	0
NEPdb	15912	58	15	1	74	15912	298	0.01872800402212167	15912	0	0
VDJdb	62177	30594	24128	7455	62177	62177	62177	1.0	343	52765	278
VDJdb_10x_chunk	20358	20358	0	0	20358	20358	20358	1.0	0	19863	0
VDJdb_PDB_chunk	313	310	0	3	313	313	313	1.0	1	96	313
