	P_DM1	group	g8_RAI	HLA_I	HLA_II	immune	is_PTC_HT
NG_10	0.2505313964388892	PTC	0.6478523682322893	-0.4000398147269609	-0.6148096567178175	-0.9627281528327648	0
NG_11	0.1644691621297129	PTC	0.4407687271974002	-0.8377661681735593	-0.9062715510713382	-1.0150382206862527	0
NG_12	0.1079249464706348	PTC	0.7084382331042042	-0.8994524700889167	-0.8078329449098147	-0.9369249401663252	0
NG_16	0.2492922664590445	PTC	0.7993332523237452	-1.5954571841783638	-1.245108841915858	-1.0940968367778792	0
NG_18	0.2303030986522374	PTC	0.7541177764539317	-0.8362452605178761	-0.9700068953586666	-0.829671080040809	0
NG_21	0.1658350522599649	PTC	0.4077341437090042	-0.587887839818925	-0.6376520570720088	-0.7962852194156073	0
NG_22	0.1198720453311247	PTC	0.2247628652341826	-0.8587188992875179	-0.95063450286255	-1.0017938029559246	0
NG_32	0.3040265628467194	PTC	0.985734236500534	-1.4170395945975645	-1.300911328951076	-0.9091226414455782	0
NG_35	0.048651269015138	PTC	-0.4560436081885624	0.79767497673226	-0.063194335700721	0.2788897139899463	0
TH_1	0.0074383268857508	PTC_HT	-1.299957438745321	0.8159902832279374	1.2686820193622288	1.0726312407777556	1
TH_14	0.0265378058541993	PTC_HT	-0.5628721357902021	0.7816645952710506	0.953307789938544	1.0510065779780249	1
TH_2	0.0120812652021775	PTC_HT	-0.6981355964380516	1.2263431364155122	1.196232693233902	1.1312695764395653	1
TH_20	0.0134484291121986	PTC_HT	-0.3050333226605294	1.297783726981551	1.2411419650203888	1.1368643447933175	1
TH_29	0.100013208661262	PTC_HT	-0.6878019700487816	1.2858833019060196	1.2330708013443452	1.3925338023485738	1
TH_31	0.0737875049939305	PTC_HT	0.6019216925440196	0.126192130823407	0.0581158187480791	-0.0048734531926905	1
TH_4	0.0046985886474963	PTC_HT	-0.3112883814857931	0.1693731468802543	0.4469556027831736	-0.0166303247157632	1
TH_8	0.0075207750586513	PTC_HT	-1.8024206523460264	1.1277577822853035	1.1235148145107998	1.420782603861087	1
TH_9	0.221213352221953	PTC_HT	0.5528898104039603	-0.1960558491336092	-0.0245993903816159	0.0831868120413235	1
