sample_id	HLA_class_I	HLA_class_II	IFNG_T_cell_inflamed	TLS_CXCL13_like	checkpoint_exhaustion	myeloid_suppressive	thyroid_differentiation	cohort
A3	0.27512098373566085	1.9065562011987172	1.2207385558027275	1.2630285371107817	1.6389358666412839	2.0300744708124587	-1.0562544286667106	GSE126698
A4	0.37506706612646695	-0.27810686852025357	-0.3983503207078956	-0.32455867382610615	0.18405500283223872	1.2619330996222948	-1.1576033628051838	GSE126698
A5	1.1435506320914375	1.7507847686050269	1.7436063982164762	0.21416857736070433	2.0609380227082794	1.4869815193183467	-0.22528807033932652	GSE126698
A2	2.025231004543639	1.85321913349484	3.2057444338675514	0.09479476058301864	2.325881740915602	1.7685062977614092	-2.012997407124004	GSE126698
A7	-1.0072942871619885	0.34341182118821184	-0.8921608707922999	-0.5531044622065897	-0.22791423497306285	0.4789187909072299	-1.7723387305841019	GSE126698
A1	-0.718227433693606	0.5335277772616531	-0.13086652099491775	0.15788015171124706	0.46273293952011196	0.5242098948590292	-1.543160364493103	GSE126698
A6	0.6818781832803481	1.542554250041501	1.3183913555591533	1.0239409533888937	1.6316844884796913	1.6479335146506806	-0.7669179568551542	GSE126698
A10	0.0883976892362341	-0.20063851052166196	0.38849316053024585	1.0887852436866703	-0.2814194078259066	-0.05763192498935631	-0.6243298329668071	GSE126698
A12	-1.9239411539181694	0.27293151468030674	-0.1687748394283617	0.5374151188420635	-0.2834449516620286	0.44163802296198673	-1.1937069156214026	GSE126698
A9	0.2520988550316499	0.9398344585608733	-0.3722729655802734	0.8642651227631721	0.6167805264753128	0.7398753600072743	-0.9620276753817055	GSE126698
F6	0.46171372279913275	-0.6963003639890036	-0.27742134596553486	-0.5220568394690966	-0.4786756460519261	-0.6745617222760819	1.4467296643111573	GSE126698
F5	-0.0009847996533553524	-1.5299024237282846	-1.26877875024783	-1.1067372277350453	-0.4234398610889982	-1.5469492675594645	0.6206437558496373	GSE126698
F3	0.10592972109908094	-0.38799055120768766	-0.9327286745441853	-0.4031282939942068	0.19612398776362192	-0.6188513160979601	0.4373686238727786	GSE126698
F1	-1.0215376471806423	-0.8764583762827256	-0.917867573211766	-1.4486802292469918	-1.0364090441258702	-1.3155325235442052	0.7890922487648229	GSE126698
F2	-2.467718091488441	-0.6815961723984932	-0.999775632166278	-1.0641402196113732	-1.5176124291713966	-0.6873877880001614	0.49691600896889887	GSE126698
F4	-0.42961974999080343	-0.952768417546983	-0.6336431351145023	-1.070919630268758	-0.816486918200316	-1.3030899075501952	0.6035520790162519	GSE126698
N4	-0.7808955129637031	-0.8416097156260243	-0.929178164177104	-0.24951151032748822	-1.0905273504265138	-0.4090283436268447	1.292414868129468	GSE126698
N7	-0.4723923145232499	-1.1793648552944906	-0.35674831129926876	-0.25009074286610966	-0.32715999880053864	-0.8869140226548851	0.9852890489277834	GSE126698
N2	0.03327112053607253	-0.5035340492170388	0.18501375523956176	-0.2734477899892095	-0.07982152540399169	-0.7613682747913101	1.0384730430961586	GSE126698
N8	-0.4440545187637146	-0.5572691522414388	-0.37777823635996904	-0.4870111306237254	-0.5086974356420503	-1.0087967373350895	1.1993289235635904	GSE126698
N5	-0.45314051702457603	-0.8491019011087202	-0.21415302759892826	-0.3601993000055135	-0.509320911025696	-0.7564249694470824	1.3231136380750916	GSE126698
N3	-0.4001291669004497	-1.3303383126317343	-0.5418050556799932	-0.5135796622335308	-1.1796861117891144	-0.7056390701618545	1.0196033635339738	GSE126698
P3	1.2313974505078145	0.7328978896275208	0.0352303753318939	0.48309191682363134	0.49947202901039306	0.3737656602008418	-0.29611186037242815	GSE126698
P4	-0.22638880004480694	-0.12287489648708035	-0.8408571334151088	-0.7692199846449046	-1.0856140758343702	-0.1258536944308345	0.5634476549507152	GSE126698
P5	-0.46921014688321966	-0.9570351257061612	-0.41774579719095634	-1.123975873559843	-0.9188202768884042	-0.649619501995271	0.4205802152059247	GSE126698
P1	1.0798103683280569	1.1422259861470045	0.7219290550316236	3.0474088349423494	1.155630104174884	1.022265147061791	-0.30466631832767177	GSE126698
P6	1.418565019406249	0.9806379801859315	1.533809652807374	2.0722257103067627	0.6457547878981335	0.3995113214415491	-0.08161320646897478	GSE126698
P2	1.643502323468941	-0.05369208848379056	0.3179496120885647	-0.326643356910794	-0.6529393175093675	-0.6679640351442977	-0.23953700625967034	GSE126698
