target	drug_name	drug_id	max_phase	original_indication	mechanism_of_action	pchembl_value	activity_type	source
GABRB2	adinazolam	DC:93			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	alfaxalone	DC:133			nan	5.699	EC50	drugcentral
GABRB2	alfaxalone	DC:133			nan	6.52	IC50	drugcentral
GABRB2	alfaxalone	DC:133			nan	5.7	EC50	drugcentral
GABRB2	alpidem	DC:134			nan	7.59	IC50	drugcentral
GABRB2	alprazolam	DC:136			POSITIVE ALLOSTERIC MODULATOR	7.432	EC50	drugcentral
GABRB2	amoxapine	DC:191			nan		nan	drugcentral
GABRB2	baclofen	DC:282			nan	7.52	IC50	drugcentral
GABRB2	bromazepam	DC:399			nan		nan	drugcentral
GABRB2	secbutabarbital	DC:439			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	carbamazepine	DC:489			nan		nan	drugcentral
GABRB2	chlordiazepoxide	DC:594			POSITIVE ALLOSTERIC MODULATOR	6.252	Ki	drugcentral
GABRB2	chlordiazepoxide	DC:594			nan	6.7	IC50	drugcentral
GABRB2	ciprofloxacin	DC:659			nan	6.39	IC50	drugcentral
GABRB2	clobazam	DC:682			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	clonazepam	DC:703			POSITIVE ALLOSTERIC MODULATOR	8.071	Ki	drugcentral
GABRB2	clonazepam	DC:703			nan	8.77	IC50	drugcentral
GABRB2	clonazepam	DC:703			nan	9.07	Ki	drugcentral
GABRB2	clorazepate	DC:711			POSITIVE ALLOSTERIC MODULATOR	7.47	EC50	drugcentral
GABRB2	delorazepam	DC:800			nan	8.745	IC50	drugcentral
GABRB2	delorazepam	DC:800			nan	8.55	IC50	drugcentral
GABRB2	desalkylflurazepam	DC:809			nan	8.699	IC50	drugcentral
GABRB2	desflurane	DC:811			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	nordazepam	DC:816			nan	6.284	IC50	drugcentral
GABRB2	diazepam	DC:852			POSITIVE ALLOSTERIC MODULATOR	7.203	Ki	drugcentral
GABRB2	diazepam	DC:852			POSITIVE ALLOSTERIC MODULATOR	7.143	EC50	drugcentral
GABRB2	diazepam	DC:852			POSITIVE ALLOSTERIC MODULATOR	6.705	Ki	drugcentral
GABRB2	diazepam	DC:852			nan	8.54	Ki	drugcentral
GABRB2	diazepam	DC:852			nan	7.86	Ki	drugcentral
GABRB2	diazepam	DC:852			nan	8.68	Ki	drugcentral
GABRB2	diazepam	DC:852			nan	7.92	Ki	drugcentral
GABRB2	diazepam	DC:852			nan	7.7	Ki	drugcentral
GABRB2	diazepam	DC:852			POSITIVE ALLOSTERIC MODULATOR	7.939	Ki	drugcentral
GABRB2	diazepam	DC:852			POSITIVE ALLOSTERIC MODULATOR	6.665	Ki	drugcentral
GABRB2	diazepam	DC:852			POSITIVE ALLOSTERIC MODULATOR	8.004	Ki	drugcentral
GABRB2	eltanolone	DC:997			nan	7.301	IC50	drugcentral
GABRB2	eltanolone	DC:997			nan	7.36	IC50	drugcentral
CYP1B1	erythromycin	DC:1048			nan	4.4	IC50	drugcentral
GABRB2	estazolam	DC:1056			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
CYP1B1	estradiol	DC:1057			nan	5.72	Ki	drugcentral
GABRB2	eszopiclone	DC:1068			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	eszopiclone	DC:1068			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	eszopiclone	DC:1068			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	eszopiclone	DC:1068			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	eszopiclone	DC:1068			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	eszopiclone	DC:1068			POSITIVE ALLOSTERIC MODULATOR		nan	drugcentral
GABRB2	ethanol	DC:1076			nan		nan	drugcentral
GABRB2	etizolam	DC:1102			nan	8.1	EC50	drugcentral
GABRB2	etomidate	DC:1109			POSITIVE MODULATOR	5.456	EC50	drugcentral
GABRB2	etomidate	DC:1109			nan	5.46	EC50	drugcentral
GABRB2	flumazenil	DC:1195			nan	9.1	Ki	drugcentral
GABRB2	flumazenil	DC:1195			nan	9.22	Ki	drugcentral
GABRB2	flumazenil	DC:1195			nan	7.82	Ki	drugcentral
GABRB2	flumazenil	DC:1195			nan	9.3	Ki	drugcentral
GABRB2	flumazenil	DC:1195			nan	9.05	Ki	drugcentral
GABRB2	flunitrazepam	DC:1202			nan	8.699	Ki	drugcentral
GABRB2	flunitrazepam	DC:1202			nan	7.457	Ki	drugcentral
GABRB2	flunitrazepam	DC:1202			nan	8.82	IC50	drugcentral
GABRB2	flunitrazepam	DC:1202			nan	8.824	Ki	drugcentral
