target	drug_name	drug_id	max_phase	original_indication	repurposing_score	rationale	source
GABRB2	cannabidiol	CHEMBL190461	4.0		0.72	phase 4; potency=0.40 mech_fit=0.50 offpatent=0.20	chembl
CYP1B1	quercetin	DC:3514	3.0		0.64	phase 3; nan; potency=0.70 mech_fit=0.50 offpatent=0.30	chembl,drugcentral
CYP1B1	cannabinol	CHEMBL74415	3.0		0.58	phase 3; potency=0.40 mech_fit=0.50 offpatent=0.30	chembl
CYP1B1	resveratrol	CHEMBL165	3.0		0.58	phase 3; potency=0.40 mech_fit=0.50 offpatent=0.30	chembl
CYP1B1	luteolin	CHEMBL151	2.0		0.565	phase 2; potency=0.70 mech_fit=0.50 offpatent=0.30	chembl
GABRB2	etizolam	DC:1102	1.0		0.55	phase 1; nan; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	flunitrazepam	DC:1202	1.0		0.55	phase 1; nan; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	nitrazepam	DC:1945	1.0		0.55	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	midazolam	DC:1802	1.0		0.55	phase 1; POSITIVE ALLOSTERIC MODULATOR | nan; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	triazolam	DC:2729	1.0		0.55	phase 1; POSITIVE ALLOSTERIC MODULATOR | nan; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral
TACSTD2	sacituzumab govitecan	DC:5391	1.0		0.55	phase 1; ANTIBODY BINDING; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	flumazenil	DC:1195	1.0		0.55	phase 1; nan; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	diazepam	DC:852	1.0		0.55	phase 1; POSITIVE ALLOSTERIC MODULATOR | nan; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	desalkylflurazepam	DC:809	1.0		0.55	phase 1; nan; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	delorazepam	DC:800	1.0		0.55	phase 1; nan; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	clonazepam	DC:703	1.0		0.55	phase 1; POSITIVE ALLOSTERIC MODULATOR | nan; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral
GABRB2	flurazepam	DC:1218	1.0		0.55	phase 1; POSITIVE ALLOSTERIC MODULATOR; potency=1.00 mech_fit=0.50 offpatent=0.30	drugcentral
CYP1B1	baicalein	CHEMBL8260	2.0		0.505	phase 2; potency=0.40 mech_fit=0.50 offpatent=0.30	chembl
CYP1B1	flavone	CHEMBL275638	2.0		0.505	phase 2; potency=0.40 mech_fit=0.50 offpatent=0.30	chembl
CYP1B1	pterostilbene	CHEMBL83527	2.0		0.505	phase 2; potency=0.40 mech_fit=0.50 offpatent=0.30	chembl
GABRB2	norfloxacin	DC:1967	1.0		0.49	phase 1; nan; potency=0.70 mech_fit=0.50 offpatent=0.30	drugcentral
