target	drug_id	drug_name	max_phase	first_approval	indication_class	withdrawn_flag	oral	parenteral	pchembl_value	mechanism_of_action	original_indication	chembl_target_id	usan_stem	source
CYP1B1	CHEMBL150	kaempferol	1.0			False	False	False	7.37			CHEMBL4878		chembl
CYP1B1	CHEMBL151	luteolin	2.0			False	False	False	7.25			CHEMBL4878		chembl
CYP1B1	CHEMBL165	resveratrol	3.0			False	False	False	6.12			CHEMBL4878		chembl
CYP1B1	CHEMBL275638	flavone	2.0			False	False	False	6.22			CHEMBL4878		chembl
CYP1B1	CHEMBL295124	berberine	4.0			True	False	False	7.36			CHEMBL4878		chembl
CYP1B1	CHEMBL50	quercetin	3.0			False	False	False	7.64			CHEMBL4878		chembl
CYP1B1	CHEMBL8260	baicalein	2.0			False	False	False	6.58			CHEMBL4878		chembl
CYP1B1	CHEMBL74415	cannabinol	3.0			False	False	False	6.83			CHEMBL4878		chembl
CYP1B1	CHEMBL83527	pterostilbene	2.0			False	False	False	6.05			CHEMBL4878		chembl
GABRB2	CHEMBL190461	cannabidiol	4.0	2018.0		False	True	False	6.89			CHEMBL1920		chembl
