disease	total_assocs	mhc_assocs	asian_mhc	unique_pubmed
Rheumatoid_arthritis	3181	1304	83	56
Psoriasis	1919	481	309	37
Inflammatory_bowel_disease	1607	179	2	26
SLE	1561	152	107	46
Type1_diabetes	1334	142	11	39
Ulcerative_colitis	1321	86	15	38
Multiple_sclerosis	1038	79	0	37
Crohn_disease	1607	53	12	48
Graves_disease	311	39	30	12
Ankylosing_spondylitis	451	15	3	10
Vitiligo	157	15	5	13
Sjogren_syndrome	74	10	6	8
Hashimoto_thyroiditis	130	9	7	7
Autoimmune_thyroid_disease	222	8	0	6
Behcet_disease	79	7	6	10
Myasthenia_gravis	27	6	0	4
Pemphigus_vulgaris	11	6	6	3
