dataset	source	accession	local_path	file_name	file_size_bytes	md5	data_type	sample_count_observed	patient_count_observed_if_known	has_expression	has_clinical	has_response_label	has_survival	notes
GSE176307	GEO	GSE176307 (BACI urothelial ICB)	raw/GSE176307/GSE176307_BACI_Omniseq_Sample_Name_Key_submitted_GEO_v2.csv.gz	GSE176307_BACI_Omniseq_Sample_Name_Key_submitted_GEO_v2.csv.gz	530	4b236d0b37fe1b5397a579ec8357d74f	phenotype	90	89	False	True	True	True	
GSE176307	GEO	GSE176307 (BACI urothelial ICB)	raw/GSE176307/GSE176307_BACI_log_trans_normalized_RNAseq.csv.gz	GSE176307_BACI_log_trans_normalized_RNAseq.csv.gz	6880837	9d84b62fe9e1771851335aeb5e64e37d	expression	90	89	True	False	True	True	
GSE176307	GEO	GSE176307 (BACI urothelial ICB)	raw/GSE176307/GSE176307_baci_rsem_RS_BACI_headers_tab.txt.gz	GSE176307_baci_rsem_RS_BACI_headers_tab.txt.gz	20150496	c790cae899cd2932a23e311f99d3b018	expression	90	89	True	False	True	True	
GSE176307	GEO	GSE176307 (BACI urothelial ICB)	raw/GSE176307/GSE176307_salmon_tpm_gene.matrix.tsv.gz	GSE176307_salmon_tpm_gene.matrix.tsv.gz	10131698	b21cf4a212d6aff4368548b9f81b0ecd	expression	90	89	True	False	True	True	
GSE176307	GEO	GSE176307 (BACI urothelial ICB)	raw/GSE176307/GSE176307_series_matrix.txt.gz	GSE176307_series_matrix.txt.gz	10300	a012778910f55c11046f3a330193f5a3	phenotype	90	89	False	True	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/DESCRIPTION	DESCRIPTION	891	ee06c44666202123d472e5eef268d6a5	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/LICENSE	LICENSE	142111	acf1723423def0f950698d4bdaee1682	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/LICENSE.pdf	LICENSE.pdf	142111	acf1723423def0f950698d4bdaee1682	doc	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/NAMESPACE	NAMESPACE	789	27520590d8a6b68cd2df63873c4738ab	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/R/IMvigor210CoreBiologies.R	IMvigor210CoreBiologies.R	163	8b1d7247ba0137ef9752f23168d284be	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/R/customFunctions.R	customFunctions.R	19939	c3ab6158eb45fbfdf7d978a7b97a7a93	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/R/data.R	data.R	9470	d577731613ee03e0e342fd6d4907c5d4	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/data/cds.RData	cds.RData	51233046	7ba31d19abccbdc33821e24972f5463a	expression+phenotype (R bundle)	348	347	True	True	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/data/color_palettes.RData	color_palettes.RData	558	d1c92c285769d61671a0471ef2fc7153	expression+phenotype (R bundle)	348	347	True	True	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/data/dat19.RData	dat19.RData	4111465	e64e912f2d81f904323687e7df7434b8	expression+phenotype (R bundle)	348	347	True	True	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/data/dat25.RData	dat25.RData	2133497	0440b67adbd98f44db0cd5119c422942	expression+phenotype (R bundle)	348	347	True	True	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/data/dat57.RData	dat57.RData	8992891	cec0f7b474dca071321c8c1ac7bb03e6	expression+phenotype (R bundle)	348	347	True	True	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/data/datalist	datalist	65	e843901bf285ba61584953db5145392d	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/data/fmone.RData	fmone.RData	78883	85363f86b746f04f118da2be11bc4c13	expression+phenotype (R bundle)	348	347	True	True	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/data/human_gene_signatures.RData	human_gene_signatures.RData	2276	038ea199ed0223a7acf2956f08998fdd	expression+phenotype (R bundle)	348	347	True	True	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/analysis/Figure1.Rmd	Figure1.Rmd	56459	a605a3da079f60dfcedbf3b40d693e07	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/analysis/Figure2.Rmd	Figure2.Rmd	33122	785caa27916ea8e39d050865f2c62f9b	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/analysis/Figure3.Rmd	Figure3.Rmd	33196	855a6f25fdebf9c8358b15b2a85b74db	other	348	347	False	False	True	True	
IMvigor210	research-pub.gene.com (Mariathasan 2018)	NCT02108652/NCT02951767 (R package, EGAS00001002556)	raw/IMvigor210/IMvigor210CoreBiologies/inst/analysis/Figure4.Rmd	Figure4.Rmd	3330	dd49e26d5c73162715c5a8f3cc8f1f96	other	348	347	False	False	True	True	
