ligand_receptor,cluster_pair,mean,pval
"('APOE', 'TYROBP')","('Myeloid cell', 'Myeloid cell')",2.5348242431879044,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'Malignant cell')",2.0398878359650325,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'Myeloid cell')",1.9412223756313325,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'Malignant cell')",1.8492842724850873,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Myeloid cell')",1.7999488085508346,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Myeloid cell')",1.77976912856102,0.0
"('APOE', 'TYROBP')","('Malignant cell', 'Myeloid cell')",1.701262674129653,0.0
"('HLA-DRB1', 'CTSL')","('Myeloid cell', 'Myeloid cell')",1.664304980635643,0.0
"('HLA-DRB1', 'LGMN')","('Myeloid cell', 'Myeloid cell')",1.6441253006458283,0.0
"('APOE', 'LDLR')","('Myeloid cell', 'Malignant cell')",1.609827411864797,0.0
"('APOE', 'LDLR')","('Myeloid cell', 'Myeloid cell')",1.6041610166430473,0.0
"('IFNG', 'CD74')","('Malignant cell', 'Myeloid cell')",1.5771523446769615,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Malignant cell')",1.5684467137285376,0.0
"('S100A9', 'CD68')","('Myeloid cell', 'Myeloid cell')",1.4923764020204544,0.0
"('SPP1', 'PLAU')","('Myeloid cell', 'Myeloid cell')",1.4484344854950906,0.0
"('HLA-DRB1', 'LGMN')","('Myeloid cell', 'Malignant cell')",1.4328028858133461,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Malignant cell')",1.408341503433749,0.0
"('SPP1', 'PLAU')","('Myeloid cell', 'Malignant cell')",1.3360978557373855,0.0
"('HLA-DRB1', 'CTSL')","('Malignant cell', 'Myeloid cell')",1.3209669743725263,0.0
"('HLA-DRA', 'CTSL')","('Malignant cell', 'Myeloid cell')",1.3205163213109319,0.0
"('MDK', 'VEGFA')","('Malignant cell', 'Myeloid cell')",1.3182232720901106,0.0
"('HLA-DRB1', 'CTSL')","('Myeloid cell', 'Malignant cell')",1.2726976755185575,0.0
"('VEGFA', 'PDGFRA')","('Myeloid cell', 'Malignant cell')",1.256011224395181,0.0
"('SPP1', 'ITGA6')","('Myeloid cell', 'Malignant cell')",1.2090565018221728,0.0
"('SPP1', 'ITGA6')","('Myeloid cell', 'Myeloid cell')",1.1441988542675974,0.0
"('S100A9', 'CD68')","('Myeloid cell', 'Malignant cell')",1.1003680519496042,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'Myeloid cell')",1.0854944783216083,0.0
"('CLU', 'TYROBP')","('Myeloid cell', 'Myeloid cell')",1.0770989954471588,0.0
"('S100A9', 'CD68')","('Malignant cell', 'Myeloid cell')",1.0767518119457566,0.0
"('VEGFA', 'PDGFRB')","('Myeloid cell', 'Myeloid cell')",0.9801663547754288,0.0
