cluster_1,,B cell,B cell,B cell,B cell,B cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell,T cell
cluster_2,,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell
VEGFA,FLT1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0.97,0.834,0.0,0.626,,1.0,1.0,0.988,0.998,,,,,,
PLAUR,PLAU,1.0,0.996,0.492,0.304,,1.0,1.0,0.112,0.264,,1.0,0.998,0.0,0.262,,0.186,0.002,0.0,0.006,,,,,,
OSM,LIFR,,,,,,,,,,,,,,,,,,,,,,,,,
VEGFA,KDR,1.0,1.0,1.0,,,1.0,1.0,1.0,,,0.288,0.044,0.0,,,0.998,0.998,0.994,,,,,,,
KDR,VEGFA,1.0,1.0,0.288,0.998,,1.0,1.0,0.044,0.998,,1.0,1.0,0.0,0.994,,,,,,,,,,,
HLA-G,CD160,,,,,,,,,,,,,,,,,,,,,,,,,
EDN1,EDNRB,,0.968,0.016,,,,,,,,,,,,,,,,,,,,,,
LAMA4,ITGA6,1.0,0.986,0.916,0.166,,0.0,0.0,0.0,0.002,,1.0,0.996,1.0,0.082,,0.114,0.056,0.042,0.018,,0.106,0.072,0.064,0.02,
VWF,GP9,,,,,,,,,,,,,,,,,,,,,,,,,
VEGFD,FLT4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL2,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
TG,TPO,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0.0,0.054,0.0,0.212,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
HLA-G,KLRC1,,,,,,,,,,,,,,,,,,,,,,,,,
MMP9,LRP1,0.0,0.0,1.0,0.012,0.05,0.0,0.0,1.0,0.014,0.052,0.0,0.0,1.0,0.014,0.06,0.0,0.0,0.0,0.0,0.0,,,,,
MMRN2,CD93,1.0,0.048,1.0,0.506,,0.906,0.0,0.572,0.25,,0.938,0.0,0.998,0.26,,,,,,,,,,,
TSPAN1,ITGA6,1.0,1.0,1.0,0.866,,1.0,1.0,1.0,0.868,,0.928,0.504,0.0,0.044,,0.992,0.974,0.964,0.71,,,,,,
MMRN2,CLEC14A,1.0,1.0,1.0,,,0.99,0.792,0.224,,,0.998,0.938,0.0,,,,,,,,,,,,
SAA1,CD36,0.0,0.0,0.0,0.008,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
LY6H,CD36,0.236,0.876,0.24,0.074,,0.002,0.068,0.0,0.022,,,,,,,0.0,0.0,0.0,0.002,,,,,,
CCL11,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
CCL13,ACKR1,0.01,0.0,0.212,,,0.008,0.0,0.408,,,0.016,0.0,1.0,,,0.0,0.0,0.004,,,,,,,
CCL14,ACKR1,0.232,0.164,0.8,,,0.632,0.476,1.0,,,0.008,0.0,0.552,,,0.424,0.406,0.682,,,,,,,
CCL17,ACKR1,0.004,0.0,0.114,,,0.0,0.0,0.012,,,,,,,,0.0,0.0,0.0,,,,,,,
CCL2,ACKR1,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.106,0.002,1.0,,,0.0,0.0,0.0,,,,,,,
CCL5,ACKR1,0.0,0.0,0.0,,,0.002,0.0,0.002,,,0.042,0.0,1.0,,,0.0,0.0,0.0,,,,,,,
CXCL8,ACKR1,,,,,,,,,,,0.014,0.0,1.0,,,0.012,0.012,0.032,,,,,,,
PPBP,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL1,ACKR1,,,,,,,,,,,,,,,,0.01,0.008,0.022,,,,,,,
CXCL2,ACKR1,,,,,,0.042,0.006,0.81,,,0.01,0.0,0.948,,,0.248,0.224,0.476,,,,,,,
CXCL13,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL5,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
DEFB1,CCR6,,,,,,,,,,,0.02,,0.342,0.068,,0.02,,0.048,0.01,,,,,,
CCL23,FPR2,,,,,,,,,,,,,,,,,,,,,,,,,
DCN,KDR,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.0,1.0,1.0,,,0.0,0.0,0.0,,,0.002,0.002,0.002,,
GREM1,KDR,0.02,0.0,0.0,,,0.006,0.0,0.0,,,,,,,,0.062,0.062,0.03,,,0.002,0.002,0.002,,
APOE,LDLR,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.99,,0.022,0.0,0.0,0.118,,0.02,0.014,0.012,0.016,,1.0,1.0,1.0,1.0,
MDK,LRP1,0.762,0.0,1.0,0.222,0.378,0.0,0.0,0.806,0.006,0.044,0.0,0.0,1.0,0.014,0.052,0.032,0.0,0.514,0.01,0.068,,,,,
DLK1,NOTCH3,,,,,,,,,,,,,,,,,,,,,,,,,
DLL4,NOTCH3,,,,,,0.962,0.002,0.836,0.586,0.07,0.952,0.002,0.954,0.572,0.064,0.616,0.002,0.154,0.426,0.048,,,,,
DLL1,NOTCH4,,,,,,,,,,,0.962,0.998,0.0,0.74,,,,,,,,,,,
JAG1,NOTCH4,1.0,1.0,0.998,0.988,,0.724,0.756,0.05,0.586,,0.97,0.998,0.004,0.74,,,,,,,0.092,0.096,0.064,0.13,
DLK1,NOTCH4,,,,,,,,,,,,,,,,,,,,,,,,,
TNFSF14,TNFRSF6B,,,,,,,,,,,,,,,,0.044,0.044,0.012,0.108,,,,,,
SCT,RAMP2,0.308,0.306,0.01,0.814,,0.018,0.004,0.0,0.588,,,,,,,,,,,,,,,,
SCT,RAMP3,0.02,0.0,0.066,0.194,,0.0,0.0,0.0,0.08,,,,,,,,,,,,,,,,
SCT,TSHR,1.0,1.0,0.0,0.994,,1.0,1.0,0.0,0.984,,,,,,,,,,,,,,,,
COMP,CD36,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,,0.008,0.01,0.008,0.006,,0.164,0.204,0.188,0.136,
