ligand_receptor,cluster_pair,mean,pval
"('CLU', 'TYROBP')","('Malignant cell', 'Myeloid cell')",2.8480534427106377,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'Myeloid cell')",2.6767741441726685,0.0
"('TG', 'TPO')","('Malignant cell', 'B cell')",2.6663859044312384,0.0
"('TG', 'TPO')","('Malignant cell', 'Malignant cell')",2.5979136423809086,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Myeloid cell')",2.488344406380373,0.0
"('APOE', 'TYROBP')","('Malignant cell', 'Myeloid cell')",2.4746959869033853,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'Fibroblast')",2.392548811657254,0.0
"('APOE', 'TYROBP')","('Fibroblast', 'Myeloid cell')",2.37923134810139,0.0
"('CLU', 'TYROBP')","('Fibroblast', 'Myeloid cell')",2.3175398644472622,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Myeloid cell')",2.2380190666984108,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'B cell')",2.207799629792893,0.0
"('APOE', 'LRP1')","('Malignant cell', 'Fibroblast')",2.190470654387971,0.0
"('HLA-DRB1', 'CTSL')","('Myeloid cell', 'Myeloid cell')",2.18754780292511,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'Myeloid cell')",2.1861511872095223,0.0
"('SPARC', 'MMP14')","('Fibroblast', 'Myeloid cell')",2.1836794344624297,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'Fibroblast')",2.178246110178057,0.0
"('SPARC', 'MMP14')","('Fibroblast', 'Fibroblast')",2.1495655201878283,0.0
"('APOE', 'LRP1')","('Fibroblast', 'Fibroblast')",2.0950060155859753,0.0
"('SPARC', 'MMP14')","('Fibroblast', 'B cell')",2.092450824940014,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'B cell')",2.082125838998192,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Malignant cell')",2.044340962424849,0.0
"('SPARC', 'MMP14')","('Fibroblast', 'Malignant cell')",2.039414316114458,0.0
"('SPARC', 'MMP14')","('T cell', 'Myeloid cell')",2.0374189179484583,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'B cell')",2.0365203312549243,0.0
"('IFNG', 'CD74')","('Myeloid cell', 'Myeloid cell')",2.0262243695118847,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'Malignant cell')",2.0119145763407853,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'Fibroblast')",2.006966811640088,0.0
"('SPARC', 'MMP14')","('T cell', 'Fibroblast')",2.003305003673857,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Malignant cell')",1.9724267671711981,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Fibroblast')",1.9691060598319896,0.0
