forest_panel	label	kind	n	events	HR	ci_lo	ci_hi	p	I2	Q_p
DM2_vs_notDM_PFI_TCGA_drivers	TCGA_BRAF_like	cohort	268.0	17.0	4.6746772960759415	1.4087391361792831	15.512174867034293	0.011737530139366131		
DM2_vs_notDM_PFI_TCGA_drivers	TCGA_RAS_like	cohort	90.0	5.0	0.16771427297001326	0.012579193928328508	2.2360794752130597	0.17668071860494955		
DM2_vs_notDM_PFI_TCGA_drivers	TCGA_NBNR	cohort	1.0	0.0						
DM2_vs_notDM_PFI_TCGA_drivers	TCGA_BRAF_cPTC_anchor	cohort	254.0	17.0	4.5377368867059396	1.3707967812436352	15.021231691462525	0.013272577541581586		
DM2_vs_notDM_PFI_TCGA_drivers	TCGA_full_primary_S3	cohort	359.0	22.0	1.5423478040997687	0.5271228013175312	4.5128701374054225	0.4289307382679052		
DM2_vs_notDM_PFI_TCGA_drivers	Pooled (FE)	pooled			2.5975857038751817	0.8747073494474111	7.713953121851974	0.08562459810151024	80.84528903109927	0.02232023468023736
DM2_vs_notDM_PFI_TCGA_drivers	Pooled (DL)	pooled			1.0881573090523475	0.04278849298226928	27.673008482320423	0.9591882492431514	80.84528903109927	0.02232023468023736
DM2_vs_notDM_PFI_TCGA_drivers	Pooled (REML)	pooled			1.0881573090523475	0.04278849298226928	27.673008482320423	0.9591882492431514	80.84528903109927	0.02232023468023736
DM2_vs_notDM_OS_TCGA_drivers	TCGA_BRAF_like	cohort	268.0	8.0	5.686656131894844	1.2069765520467504	26.792614908367057	0.027960658560343916		
DM2_vs_notDM_OS_TCGA_drivers	TCGA_RAS_like	cohort	90.0	1.0						
DM2_vs_notDM_OS_TCGA_drivers	TCGA_NBNR	cohort	1.0	0.0						
DM2_vs_notDM_OS_TCGA_drivers	TCGA_BRAF_cPTC_anchor	cohort	254.0	8.0	5.612447977534978	1.192168839105987	26.42207317225146	0.029084289949241338		
DM2_vs_notDM_OS_TCGA_drivers	TCGA_full_primary_S3	cohort	359.0	9.0	1.9842047020371358	0.5409429985580138	7.278157421542162	0.3014402228116043		
DM2_vs_notDM_OS_TCGA_drivers	Pooled (FE)	pooled								
DM2_vs_notDM_OS_TCGA_drivers	Pooled (DL)	pooled								
DM2_vs_notDM_OS_TCGA_drivers	Pooled (REML)	pooled								
DM1xTERT_OS_pooled	TCGA_full_primary_S3	cohort	513.0	16.0	40.175920250386	8.270904518928402	195.15454014387566	4.651556450990469e-06		
DM1xTERT_OS_pooled	Landa_GSE76039_PDTC_ATC	cohort	35.0	29.0	12.778079696323875	4.170886776263603	39.14738747041094	8.194798600770235e-06		
DM1xTERT_OS_pooled	Pooled (FE)	pooled			18.736791867605195	7.514743350537503	46.717146962157464	3.2407987404781124e-10	25.57850202813684	0.24638291233140208
DM1xTERT_OS_pooled	Pooled (DL)	pooled			19.669926418444522	6.627425785795649	58.37953042586537	7.989567274435672e-08	25.57850202813684	0.24638291233140208
DM1xTERT_OS_pooled	Pooled (REML)	pooled			19.15288065713047	7.156064683897759	51.261811298563664	4.153580812626956e-09	25.57850202813684	0.24638291233140208
DM1xTERT_OS_ADJ_pooled	TCGA_full_primary_S3	cohort	459.0	13.0	39.22062604699082	6.7448755471135815	228.06314168037994	4.405626341085521e-05		
DM1xTERT_OS_ADJ_pooled	Landa_GSE76039_PDTC_ATC	cohort	35.0	29.0	3.9606558402681413	0.9251091810982507	16.956695496662817	0.06358898806277656		
DM1xTERT_OS_ADJ_pooled	Pooled (FE)	pooled			10.03824900880478	3.271362179112477	30.802594651903732	5.532810722841397e-05	74.18100989325683	0.0490652846268852
DM1xTERT_OS_ADJ_pooled	Pooled (DL)	pooled			11.786243014784812	1.2494031916587776	111.18550467214011	0.03120393485685935	74.18100989325683	0.0490652846268852
DM1xTERT_OS_ADJ_pooled	Pooled (REML)	pooled			11.786243014784812	1.2494031916587776	111.18550467214011	0.03120393485685935	74.18100989325683	0.0490652846268852
DM1_vs_DM2_PFI_TCGA_drivers	TCGA_BRAF_like	cohort	104.0	8.0	0.25327456459068043	0.060067311532971956	1.0679353450568008	0.06142247023235665		
DM1_vs_DM2_PFI_TCGA_drivers	TCGA_RAS_like	cohort	56.0	1.0						
DM1_vs_DM2_PFI_TCGA_drivers	TCGA_NBNR	cohort	3.0	0.0						
DM1_vs_DM2_PFI_TCGA_drivers	TCGA_BRAF_cPTC_anchor	cohort	104.0	8.0	0.25327456459068043	0.060067311532971956	1.0679353450568008	0.06142247023235665		
DM1_vs_DM2_PFI_TCGA_drivers	TCGA_full_primary_S3	cohort	163.0	9.0	0.6692664759720357	0.1774737781372583	2.523852371664775	0.5532091693728827		
DM1_vs_DM2_PFI_TCGA_drivers	Pooled (FE)	pooled								
DM1_vs_DM2_PFI_TCGA_drivers	Pooled (DL)	pooled								
DM1_vs_DM2_PFI_TCGA_drivers	Pooled (REML)	pooled								
