contrast	endpoint	scope	cohorts_in_meta	method	k	pooled_logHR	pooled_SE	pooled_HR	ci_lo	ci_hi	p	Q	Q_df	Q_p	I2	tau2	note
DM2_vs_notDM	PFI	TCGA driver subcohorts (BRAF + RAS + NBNR)	TCGA_BRAF_like,TCGA_RAS_like	FE	2	0.9545824382015722	0.5553307880326315	2.5975857038751817	0.8747073494474111	7.713953121851974	0.08562459810151024	5.220647816735962	1.0	0.02232023468023736	80.84528903109927	0.0	
DM2_vs_notDM	PFI	TCGA driver subcohorts (BRAF + RAS + NBNR)	TCGA_BRAF_like,TCGA_RAS_like	DL	2	0.08448572350832574	1.6510060161251539	1.0881573090523475	0.04278849298226928	27.673008482320423	0.9591882492431514	5.220647816735962	1.0	0.02232023468023736	80.84528903109927	4.476112094805295	
DM2_vs_notDM	PFI	TCGA driver subcohorts (BRAF + RAS + NBNR)	TCGA_BRAF_like,TCGA_RAS_like	REML	2	0.08448572350832574	1.6510060161251539	1.0881573090523475	0.04278849298226928	27.673008482320423	0.9591882492431514	5.220647816735962	1.0	0.02232023468023736	80.84528903109927	4.476112094805295	
DM2_vs_notDM	OS	TCGA driver subcohorts (BRAF + RAS + NBNR)	TCGA_BRAF_like	FE	1												meta needs k>=2
DM2_vs_notDM	OS	TCGA driver subcohorts (BRAF + RAS + NBNR)	TCGA_BRAF_like	DL	1												meta needs k>=2
DM2_vs_notDM	OS	TCGA driver subcohorts (BRAF + RAS + NBNR)	TCGA_BRAF_like	REML	1												meta needs k>=2
DM2_vs_notDM	DSS	TCGA driver subcohorts (BRAF + RAS + NBNR)	TCGA_BRAF_like	FE	1												meta needs k>=2
DM2_vs_notDM	DSS	TCGA driver subcohorts (BRAF + RAS + NBNR)	TCGA_BRAF_like	DL	1												meta needs k>=2
DM2_vs_notDM	DSS	TCGA driver subcohorts (BRAF + RAS + NBNR)	TCGA_BRAF_like	REML	1												meta needs k>=2
DM1_vs_DM2	PFI	TCGA driver subcohorts (BRAF + RAS + NBNR)	TCGA_BRAF_like	FE	1												meta needs k>=2
DM1_vs_DM2	PFI	TCGA driver subcohorts (BRAF + RAS + NBNR)	TCGA_BRAF_like	DL	1												meta needs k>=2
DM1_vs_DM2	PFI	TCGA driver subcohorts (BRAF + RAS + NBNR)	TCGA_BRAF_like	REML	1												meta needs k>=2
DM1_vs_DM2	OS	TCGA driver subcohorts (BRAF + RAS + NBNR)	TCGA_BRAF_like	FE	1												meta needs k>=2
DM1_vs_DM2	OS	TCGA driver subcohorts (BRAF + RAS + NBNR)	TCGA_BRAF_like	DL	1												meta needs k>=2
DM1_vs_DM2	OS	TCGA driver subcohorts (BRAF + RAS + NBNR)	TCGA_BRAF_like	REML	1												meta needs k>=2
DM1_vs_DM2	DSS	TCGA driver subcohorts (BRAF + RAS + NBNR)	TCGA_BRAF_like	FE	1												meta needs k>=2
DM1_vs_DM2	DSS	TCGA driver subcohorts (BRAF + RAS + NBNR)	TCGA_BRAF_like	DL	1												meta needs k>=2
DM1_vs_DM2	DSS	TCGA driver subcohorts (BRAF + RAS + NBNR)	TCGA_BRAF_like	REML	1												meta needs k>=2
DM1xTERT_comutant_vs_others_UNADJ	OS	TCGA_full_primary + Landa_GSE76039 (independent cohorts, OS unadj)	TCGA_full_primary_S3,Landa_GSE76039_PDTC_ATC	FE	2	2.9304890704586772	0.46613377523571553	18.736791867605195	7.514743350537503	46.717146962157464	3.2407987404781124e-10	1.3436977583790024	1.0	0.24638291233140208	25.57850202813684	0.0	
DM1xTERT_comutant_vs_others_UNADJ	OS	TCGA_full_primary + Landa_GSE76039 (independent cohorts, OS unadj)	TCGA_full_primary_S3,Landa_GSE76039_PDTC_ATC	DL	2	2.9790908915929806	0.5550379746903356	19.669926418444522	6.627425785795649	58.37953042586537	7.989567274435672e-08	1.3436977583790024	1.0	0.24638291233140208	25.57850202813684	0.16782748224745597	
DM1xTERT_comutant_vs_others_UNADJ	OS	TCGA_full_primary + Landa_GSE76039 (independent cohorts, OS unadj)	TCGA_full_primary_S3,Landa_GSE76039_PDTC_ATC	REML	2	2.9524531302736206	0.502292308956267	19.15288065713047	7.156064683897759	51.261811298563664	4.153580812626956e-09	1.3436977583790024	1.0	0.24638291233140208	25.57850202813684	0.06382192025093078	
DM1xTERT_comutant_vs_others_ADJ	OS	TCGA_full_primary(adj driver+age+stage+sex) + Landa(adj is_ATC+age)	TCGA_full_primary_S3,Landa_GSE76039_PDTC_ATC	FE	2	2.3064026975404026	0.5720388932836221	10.03824900880478	3.271362179112477	30.802594651903732	5.532810722841397e-05	3.8731181810973645	1.0	0.0490652846268852	74.18100989325683	0.0	
DM1xTERT_comutant_vs_others_ADJ	OS	TCGA_full_primary(adj driver+age+stage+sex) + Landa(adj is_ATC+age)	TCGA_full_primary_S3,Landa_GSE76039_PDTC_ATC	DL	2	2.4669330051395884	1.1450341910777098	11.786243014784812	1.2494031916587776	111.18550467214011	0.03120393485685935	3.8731181810973645	1.0	0.0490652846268852	74.18100989325683	1.9498109225563534	
DM1xTERT_comutant_vs_others_ADJ	OS	TCGA_full_primary(adj driver+age+stage+sex) + Landa(adj is_ATC+age)	TCGA_full_primary_S3,Landa_GSE76039_PDTC_ATC	REML	2	2.4669330051395884	1.1450341910777098	11.786243014784812	1.2494031916587776	111.18550467214011	0.03120393485685935	3.8731181810973645	1.0	0.0490652846268852	74.18100989325683	1.9498109225563534	
