score,subset,test,n_samples,rho,p,note
RAI_8_score,all_spots,sample_mean_resid_spearman,16,0.1697749375254331,0.5296092753478194,score residualized vs log_counts+log_ngenes within sample
DM1_like_score,all_spots,sample_mean_resid_spearman,16,-0.1697749375254331,0.5296092753478194,score residualized vs log_counts+log_ngenes within sample
TDS_like_score,all_spots,sample_mean_resid_spearman,16,0.24253562503633297,0.3654303385914638,score residualized vs log_counts+log_ngenes within sample
CAF_ECM_score,all_spots,sample_mean_resid_spearman,16,-0.10914103126634986,0.6874215969249201,score residualized vs log_counts+log_ngenes within sample
EMT_score,all_spots,sample_mean_resid_spearman,16,-0.27891596879178293,0.2955112361589246,score residualized vs log_counts+log_ngenes within sample
Hypoxia_score,all_spots,sample_mean_resid_spearman,16,-0.08488746876271655,0.7546067363131005,score residualized vs log_counts+log_ngenes within sample
Proliferation_score,all_spots,sample_mean_resid_spearman,16,-0.024253562503633298,0.9289571900858598,score residualized vs log_counts+log_ngenes within sample
RAI_8_score,epithelial_top50,sample_mean_resid_spearman,16,-0.3516766563026828,0.1816330003074082,score residualized vs log_counts+log_ngenes within sample
DM1_like_score,epithelial_top50,sample_mean_resid_spearman,16,0.3516766563026828,0.1816330003074082,score residualized vs log_counts+log_ngenes within sample
TDS_like_score,epithelial_top50,sample_mean_resid_spearman,16,-0.32742309379904955,0.21574193436157932,score residualized vs log_counts+log_ngenes within sample
CAF_ECM_score,epithelial_top50,sample_mean_resid_spearman,16,-0.5214515938281159,0.03831232396336504,score residualized vs log_counts+log_ngenes within sample
EMT_score,epithelial_top50,sample_mean_resid_spearman,16,-0.3516766563026828,0.1816330003074082,score residualized vs log_counts+log_ngenes within sample
Hypoxia_score,epithelial_top50,sample_mean_resid_spearman,16,-0.048507125007266595,0.8584142391733477,score residualized vs log_counts+log_ngenes within sample
Proliferation_score,epithelial_top50,sample_mean_resid_spearman,16,0.5820855000871992,0.017998163732536827,score residualized vs log_counts+log_ngenes within sample
