pair,scope,n,spearman_rho,spearman_p,pearson_r,pearson_p
DM1_like ~ TDS_like,all_spots,55873,-0.8884746495436571,0.0,-0.9192348404675321,0.0
DM1_like ~ total_counts,all_spots,55873,-0.4481168045486511,0.0,-0.398917632470461,0.0
RAI_8 ~ total_counts,all_spots,55873,0.4481168045486511,0.0,0.398917632470461,0.0
DM1_like ~ CAF_ECM_score,all_spots,55873,0.24479940798736152,0.0,0.29345982362411765,0.0
DM1_like ~ EMT_score,all_spots,55873,-0.08962065925817778,5.458982338850629e-100,-0.03225065317229519,2.4393732504015312e-14
DM1_like ~ Hypoxia_score,all_spots,55873,-0.25782672980270793,0.0,-0.18661152652254182,0.0
DM1_like ~ Proliferation_score,all_spots,55873,-0.18221378670776453,0.0,-0.09105715016569679,3.5933554249797133e-103
DM1_like ~ TDS_like,sample_mean,16,-0.8735294117647058,9.869651666147373e-06,-0.986519378697849,2.0936139239249086e-12
DM1_like ~ CAF_ECM_score,sample_mean,16,0.09999999999999999,0.7125163701282782,0.20490186843757136,0.4465047960315353
DM1_like ~ EMT_score,sample_mean,16,-0.055882352941176466,0.8371372217954723,-0.016887054896983257,0.950504965844085
DM1_like ~ Hypoxia_score,sample_mean,16,0.7058823529411764,0.0022459006010513297,0.53448872114369,0.0329285128156105
DM1_like ~ Proliferation_score,sample_mean,16,0.0029411764705882353,0.9913748045563624,0.16768173169347017,0.5347711318024903
