paper_id	pmid	doi	title	journal	year	volume	pages	authors	n_case	n_control	cohort_label	full_text_path	n_supplements	supp_files	url_doi	url_pubmed
Shin_2019	31091281	10.1371/journal.pone.0216941	HLA alleles, especially amino-acid signatures of HLA-DPB1, might contribute to the molecular pathogenesis of early-onset autoimmune thyroid disease	PLoS ONE	2019	14	e0216941	Shin DH, Baek IC, Kim HJ, Choi EJ, Ahn M, Jung MH, Suh BK, Cho WK, Kim TG	71	142	Korean pediatric AITD (Graves' + Hashimoto)	/home/seungho/personal/THCA_data_analysis/project/results/hla_deepdive_2026_05_08/track10_korean_lit/source_pdfs/Shin_2019.pdf	0		https://doi.org/10.1371/journal.pone.0216941	https://pubmed.ncbi.nlm.nih.gov/31091281/
Cho_2011	21952423	10.1159/000331134	Association of HLA alleles with autoimmune thyroid disease in Korean children	Hormone Research in Paediatrics	2011	76	328-334	Cho WK, Jung MH, Choi EJ, Choi HB, Kim TG, Suh BK			Korean pediatric AITD		0		https://doi.org/10.1159/000331134	https://pubmed.ncbi.nlm.nih.gov/21952423/
Park_2005	15993720	10.1016/j.humimm.2005.03.001	Association of HLA-DR and -DQ genes with Graves disease in Koreans	Human Immunology	2005	66	741-747	Park MH, Park YJ, Song EY, Park H, Kim TY, Park DJ, Park KS, Cho BY	88	104	Korean adult Graves' disease		0		https://doi.org/10.1016/j.humimm.2005.03.001	https://pubmed.ncbi.nlm.nih.gov/15993720/
Jang_2011	21062236	10.3109/08820139.2010.525571	Identification of HLA-DRB1 alleles associated with Graves' disease in Koreans by sequence-based typing	Immunological Investigations	2011	40	172-182	Jang HW, Shin HW, Cho HJ, Kim HK, Lee JI, Kim SW, Kim JW, Chung JH			Korean adult Graves' disease (DRB1 SBT)		0		https://doi.org/10.3109/08820139.2010.525571	https://pubmed.ncbi.nlm.nih.gov/21062236/
Baek_2021		10.1111/tan.14134	Distributions of HLA-A, -B, and -DRB1 alleles typed by amplicon-based next-generation sequencing in Korean preschool children	HLA	2021	97	six-digit deep typing reference cohort	Baek IC, Choi EJ, Shin DH, Kim HJ, Choi H, Kim TG			Korean class-II NGS reference population (no AITD case-control; population baseline)		0		https://doi.org/10.1111/tan.14134	
