moa	n	mean_rho	min_fdr
GABA benzodiazepine site receptor agonist	1	-0.8660254037844386	0.013040179150574904
bone resorption inhibitor, estrogen-related receptor inverse agonist	1	0.7505553499465135	0.08948173294434693
glucosidase inhibitor	1	-0.5773502691896257	0.18116433586865752
lipoxygenase inhibitor	1	-0.5773502691896257	0.18116433586865752
tumor necrosis factor production inhibitor	1	0.5773502691896257	0.18116433586865752
topoisomerase inhibitor	2	0.6018102698617748	0.18116433586865752
HMGCR inhibitor	3	0.2305210862476936	0.18116433586865752
benzodiazepine receptor agonist	3	-0.38490017945975047	0.18116433586865752
serine protease inhibitor	2	-0.2953410738612667	0.23317016437183363
anticancer agent	1	-0.3464101615137755	0.5686079874378567
benzodiazepine receptor antagonist	1	0.17320508075688776	0.8776543268995255
cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist	1	0.1294997541905147	0.8776543268995255
cyclooxygenase inhibitor	1	-0.11547005383792516	0.9395523516513129
polar auxin transport inhibitor	1	0.11547005383792516	0.9395523516513129
GABA receptor modulator	1	-0.05773502691896258	0.9485881245954586
angiogenesis inhibitor, tumor necrosis factor production inhibitor	1	0.0	1.0
cytochrome P450 inhibitor, SIRT activator	1	0.0	1.0
