pathway_raw_proper	NES_proper	FDR_proper	pathway_norm	pathway_raw_proxy	NES_proxy	FDR_proxy	proper_detected_fdr_lt_0_05	proxy_detected_fdr_lt_0_05	sign_agree	detected_both_fdr_lt_0_05
Adipogenesis	1.160250611313177	0.8360946745562131	ADIPOGENESIS				False	False	False	False
Allograft Rejection	-1.561936258597203	0.0	ALLOGRAFT_REJECTION				True	False	False	False
Androgen Response	-0.7952431843234321	0.9100365609152022	ANDROGEN_RESPONSE				False	False	False	False
Angiogenesis	-1.3729839146641638	0.0243707984432126	ANGIOGENESIS				True	False	False	False
Apical Junction	-1.4476936496696196	0.0015825193794293	APICAL_JUNCTION				True	False	False	False
Apical Surface	-1.032259478287901	0.6295456116734651	APICAL_SURFACE				False	False	False	False
Apoptosis	-1.447613546188989	0.0014506427644769	APOPTOSIS	Hallmark_Apoptosis	-1.391453115015924	6.088343391582093e-25	True	True	True	True
Bile Acid Metabolism	1.1344030422968092	0.6370808678500987	BILE_ACID_METABOLISM				False	False	False	False
Cholesterol Homeostasis	-1.2001696071810928	0.3700561248204908	CHOLESTEROL_HOMEOSTASIS				False	False	False	False
Coagulation	-1.4760611661044467	0.0002763129075194	COAGULATION				True	False	False	False
Complement	-1.4809417528864832	0.0003868380705271	COMPLEMENT				True	False	False	False
DNA Repair	-0.6233056935027834	0.9947163580610922	DNA_REPAIR				False	False	False	False
E2F Targets	-1.0319987255976988	0.6091410150568071	E2F_TARGETS	Hallmark_E2F_Targets	-0.6103891824761649	0.0001018771120499	False	True	True	False
			EMT	Hallmark_EMT	-1.1552328265011345	1.1571340819202089e-17	False	True	False	False
Epithelial Mesenchymal Transition	-1.4782462758880983	0.0003223650587726	EPITHELIAL_MESENCHYMAL_TRANSITION				True	False	False	False
Estrogen Response Early	-1.0879824748379427	0.6069573421804252	ESTROGEN_RESPONSE_EARLY				False	False	False	False
Estrogen Response Late	-1.1902217598324203	0.3831845998610947	ESTROGEN_RESPONSE_LATE				False	False	False	False
Fatty Acid Metabolism	1.06277918473101	0.7035502958579882	FATTY_ACID_METABOLISM				False	False	False	False
			G2M_CHECKPOINT	Hallmark_G2M_Checkpoint	-0.4176008837084397	0.0054326797067902	False	True	False	False
G2-M Checkpoint	-1.1090916231159351	0.5615745853391801	G2_M_CHECKPOINT				False	False	False	False
Glycolysis	-0.986707564408184	0.6595002984199823	GLYCOLYSIS				False	False	False	False
Hedgehog Signaling	-1.0846537993147691	0.5919831348036325	HEDGEHOG_SIGNALING				False	False	False	False
heme Metabolism	-0.8709798919567633	0.8377730602403324	HEME_METABOLISM				False	False	False	False
Hypoxia	-1.121932957968694	0.5433232804856817	HYPOXIA	Hallmark_Hypoxia	-0.375761774515938	0.0073517866412448	False	True	True	False
IL-2/STAT5 Signaling	-1.4246447314196076	0.004240340388471	IL_2_STAT5_SIGNALING				True	False	False	False
IL-6/JAK/STAT3 Signaling	-1.4236936489618606	0.0040756153859114	IL_6_JAK_STAT3_SIGNALING				True	False	False	False
Inflammatory Response	-1.4707559832178307	0.0004835475881589	INFLAMMATORY_RESPONSE	Hallmark_Inflammatory_Response	-1.24452705632725	7.2758251023992055e-22	True	True	True	True
Interferon Alpha Response	-1.4885984246417767	0.0002417737940794	INTERFERON_ALPHA_RESPONSE				True	False	False	False
			INTERFERON_GAMMA	Hallmark_Interferon_Gamma	-1.0978134686562384	1.696774641358443e-16	False	True	False	False
Interferon Gamma Response	-1.556559696814878	0.0	INTERFERON_GAMMA_RESPONSE				True	False	False	False
KRAS Signaling Dn	-1.0005535927844182	0.6686683228773935	KRAS_SIGNALING_DN				False	False	False	False
KRAS Signaling Up	-1.4537977536814553	0.0013969152546815	KRAS_SIGNALING_UP				True	False	False	False
Mitotic Spindle	-1.122203081782924	0.569425639816016	MITOTIC_SPINDLE				False	False	False	False
			MTORC1	Hallmark_MTORC1	0.2854973774284201	0.0434689972578539	False	True	False	False
mTORC1 Signaling	-0.9172684765518806	0.7937575879508544	MTORC1_SIGNALING				False	False	False	False
Myc Targets V1	1.0271576153859774	0.6795266272189349	MYC_TARGETS_V1				False	False	False	False
Myc Targets V2	0.834593340777049	0.9505917159763314	MYC_TARGETS_V2				False	False	False	False
Myogenesis	-1.0445254236653971	0.6404319167616725	MYOGENESIS				False	False	False	False
Notch Signaling	-1.2036037823474617	0.3798870739473994	NOTCH_SIGNALING				False	False	False	False
Oxidative Phosphorylation	1.9038843600466235	0.0	OXIDATIVE_PHOSPHORYLATION	Hallmark_Oxidative_Phosphorylation	0.8493062498328736	1.3782611106762381e-07	True	True	True	True
p53 Pathway	-1.4484100843498178	0.0017407713173723	P53_PATHWAY				True	False	False	False
Pancreas Beta Cells	-1.051500229356817	0.6444945430792818	PANCREAS_BETA_CELLS				False	False	False	False
PI3K/AKT/mTOR  Signaling	-1.0391285964687795	0.6331364884673057	PI3K_AKT_MTOR_SIGNALING				False	False	False	False
Pperoxisome	0.8955836821498213	1.0	PPEROXISOME				False	False	False	False
Protein Secretion	-0.7803424208860006	0.9058210178389444	PROTEIN_SECRETION				False	False	False	False
Reactive Oxygen Species Pathway	0.7447402965279832	0.9576594345825116	REACTIVE_OXYGEN_SPECIES_PATHWAY				False	False	False	False
Spermatogenesis	-0.6981732775382954	0.9776606911192358	SPERMATOGENESIS				False	False	False	False
			TGF_BETA	Hallmark_TGF_beta	-1.2001256655386088	3.999956840759384e-17	False	True	False	False
TGF-beta Signaling	-0.8891807498596729	0.8276953144744158	TGF_BETA_SIGNALING				False	False	False	False
TNF-alpha Signaling via NF-kB	-1.543118727497046	0.0	TNF_ALPHA_SIGNALING_VIA_NF_KB				True	False	False	False
Unfolded Protein Response	0.8734357290980105	0.9683854606931528	UNFOLDED_PROTEIN_RESPONSE				False	False	False	False
UV Response Dn	-1.0572155756101989	0.652711876400519	UV_RESPONSE_DN				False	False	False	False
UV Response Up	-1.1799337152689928	0.3946766314299725	UV_RESPONSE_UP				False	False	False	False
Wnt-beta Catenin Signaling	-0.8363732203674177	0.8718232325969087	WNT_BETA_CATENIN_SIGNALING				False	False	False	False
Xenobiotic Metabolism	-0.9969063616397308	0.6557811947163581	XENOBIOTIC_METABOLISM				False	False	False	False
