sample	prob_dm2	prob_dm1	dm_like	mutation_label	v14_prediction	name
8305C_THYROID	1.361335605572683e-51	1.0	DM1_like	BRAF	BRAF_like	8305C
8505C_THYROID	6.200952244819404e-68	1.0	DM1_like	BRAF	BRAF_like	8505C
BCPAP_THYROID	7.102937625452177e-57	1.0	DM1_like	BRAF	BRAF_like	B-CPAP
BHT101_THYROID	1.850197471626636e-49	1.0	DM1_like	BRAF	RAS_like	BHT-101
CAL62_THYROID	2.5389727650231674e-58	1.0	DM1_like	RAS	RAS_like	CAL-62
FTC133_THYROID	5.3185971761931745e-52	1.0	DM1_like	other	RAS_like	FTC-133
FTC238_THYROID	2.127237892956703e-38	1.0	DM1_like	other	BRAF_like	FTC-238
MB1_THYROID	2.254041514314537e-61	1.0	DM1_like	other	BRAF_like	?
ML1_THYROID	8.330742753292614e-09	0.9999999916692572	DM1_like	other	RAS_like	ML-1
S117_SOFT_TISSUE	6.812576063213981e-45	1.0	DM1_like	other	BRAF_like	?
SW579_THYROID	2.3172764577080953e-41	1.0	DM1_like	other	RAS_like	SW579
TT2609C02_THYROID	1.5298838634210504e-57	1.0	DM1_like	RAS	BRAF_like	TT2609-C02
TT_THYROID	0.0004904706613021654	0.9995095293386979	DM1_like	other	RAS_like	TT
