compound	column_name	broad_id	dose_uM	moa	phase	dm1_n	dm2_n	dm1_mean_lfc	dm2_mean_lfc	delta_lfc	pvalue	fdr
Y-27632	BRD-K44084986-300-08-4::2.5::HTS	BRD-K44084986-300-08-4	2.5	rho associated kinase inhibitor	Preclinical	5	5	-1.6256563234108001	0.47840903810079993	-2.1040653615116	0.007936507936507936	0.7551365723954555
4-acetyl-1,1-dimethylpiperazinium	BRD-K97019106-005-02-9::2.5::HTS	BRD-K97019106-005-02-9	2.5	acetylcholine receptor agonist	Preclinical	5	5	-0.09132583750539999	0.40131442391859995	-0.49264026142399997	0.007936507936507936	0.7551365723954555
sulfamethizole	BRD-K31682896-001-24-0::2.5::HTS	BRD-K31682896-001-24-0	2.5	bacterial antifolate	Launched	5	5	0.12790318457598	0.484663803738	-0.35676061916202	0.007936507936507936	0.7551365723954555
IKK-2-inhibitor-V	BRD-K74305673-001-06-2::2.5::HTS	BRD-K74305673-001-06-2	2.5	IKK inhibitor, NFkB pathway inhibitor	Phase 1	5	5	-2.285997566544	-0.35543767795	-1.9305598885940003	0.007936507936507936	0.7551365723954555
ceftiofur	BRD-K82960980-003-02-7::2.36::HTS	BRD-K82960980-003-02-7	2.36	bacterial cell wall synthesis inhibitor	Launched	5	5	0.0727978975641	0.5017181592958	-0.4289202617317	0.007936507936507936	0.7551365723954555
crizotinib-(S)	BRD-K40308497-001-02-0::2.5::HTS	BRD-K40308497-001-02-0	2.5	MTH1 inhibitor	Preclinical	5	5	0.043969194012519995	0.36488093638179997	-0.32091174236928	0.007936507936507936	0.7551365723954555
4-iodo-L-phenylalanine	BRD-K66664625-001-01-2::2.5::HTS	BRD-K66664625-001-01-2	2.5		Preclinical	5	5	0.04995819379464	0.44489384911499996	-0.39493565532035996	0.007936507936507936	0.7551365723954555
telmesteine	BRD-A05523972-001-01-5::2.5::HTS	BRD-A05523972-001-01-5	2.5	mucolytic agent	Launched	5	5	-0.050770424112379996	0.485032884542	-0.53580330865438	0.007936507936507936	0.7551365723954555
metipranolol	BRD-A99388803-001-01-5::2.5::HTS	BRD-A99388803-001-01-5	2.5	adrenergic receptor antagonist	Withdrawn	5	5	-0.10543787425951998	0.400939558615	-0.50637743287452	0.007936507936507936	0.7551365723954555
YM-58483	BRD-K42563464-001-01-9::2.5::HTS	BRD-K42563464-001-01-9	2.5	calcium channel blocker	Preclinical	5	5	-0.26374136755099997	0.41184473372058006	-0.67558610127158	0.007936507936507936	0.7551365723954555
brefeldin-a	BRD-K77841042-001-14-1::2.5::HTS	BRD-K77841042-001-14-1	2.5	protein synthesis inhibitor	Preclinical	5	5	-5.248423130336	-2.4044744382102	-2.8439486921257995	0.007936507936507936	0.7551365723954555
BAY-85-8050	BRD-A11731518-001-01-7::2.5::HTS	BRD-A11731518-001-01-7	2.5		Phase 1	5	5	0.04343155608482	0.49500523793060003	-0.45157368184578	0.007936507936507936	0.7551365723954555
OLDA	BRD-K95523387-001-09-6::2.5::HTS	BRD-K95523387-001-09-6	2.5	TRPV agonist	Preclinical	5	5	-0.23349265842787997	0.9085706567141999	-1.1420633151420798	0.007936507936507936	0.7551365723954555
tizanidine	BRD-K06335600-003-20-7::2.5::HTS	BRD-K06335600-003-20-7	2.5	adrenergic receptor agonist	Launched	5	5	-0.1037471779585	0.4177051890174	-0.5214523669759	0.007936507936507936	0.7551365723954555
docetaxel	BRD-K30577245-001-04-3::2.5::HTS	BRD-K30577245-001-04-3	2.5	tubulin polymerization inhibitor	Launched	5	5	-3.609222944828	-1.5984495617486	-2.0107733830794	0.007936507936507936	0.7551365723954555
piribedil	BRD-K47936004-003-11-4::2.5::HTS	BRD-K47936004-003-11-4	2.5	dopamine receptor agonist	Launched	5	5	-0.13850832030948	0.3679212340318	-0.50642955434128	0.007936507936507936	0.7551365723954555
BU226	BRD-K56115039-003-02-1::2.5::HTS	BRD-K56115039-003-02-1	2.5	imidazoline receptor ligand	Preclinical	5	5	0.2463249567982	0.9578488548299999	-0.7115238980317999	0.007936507936507936	0.7551365723954555
doconexent-ethyl-ester	BRD-K61937613-001-01-1::2.5::HTS	BRD-K61937613-001-01-1	2.5	omega 3 fatty acid stimulant	Launched	5	5	-0.5607385576302	-0.13007079023520002	-0.43066776739499996	0.007936507936507936	0.7551365723954555
nefopam	BRD-A78877355-001-03-0::2.5::HTS	BRD-A78877355-001-03-0	2.5	cyclooxygenase inhibitor	Launched	5	5	-0.22513148029019997	0.08583056052033199	-0.31096204081053197	0.007936507936507936	0.7551365723954555
diosmetin	BRD-K26862302-001-05-2::2.5::HTS	BRD-K26862302-001-05-2	2.5	aryl hydrocarbon receptor agonist	Launched	5	5	0.0778610834069	0.6366475972022	-0.5587865137953	0.007936507936507936	0.7551365723954555
CID-5458317	BRD-A08840375-001-01-3::2.5::HTS	BRD-A08840375-001-01-3	2.5	MAP kinase phosphatase inhibitor	Preclinical	5	5	-3.125023614542	-0.67936924307154	-2.44565437147046	0.007936507936507936	0.7551365723954555
dimethisoquin	BRD-K73391359-003-10-2::2.5::HTS	BRD-K73391359-003-10-2	2.5	local anesthetic	Launched	5	5	-0.060450080017459995	0.46459120841479995	-0.52504128843226	0.007936507936507936	0.7551365723954555
nicergoline	BRD-K76810206-001-07-3::2.5::HTS	BRD-K76810206-001-07-3	2.5	adrenergic receptor antagonist	Launched	5	5	-0.11978098266190003	0.5294674756882	-0.6492484583501	0.007936507936507936	0.7551365723954555
thonzylamine	BRD-K88405679-003-03-1::2.5::HTS	BRD-K88405679-003-03-1	2.5	antihistamine	Launched	5	5	0.09551368966814	0.6553550267583999	-0.5598413370902598	0.007936507936507936	0.7551365723954555
Y-26763	BRD-K45117373-001-02-9::2.5::HTS	BRD-K45117373-001-02-9	2.5	potassium channel activator	Phase 1	5	5	-0.044000257010100005	0.5874642253582001	-0.6314644823683001	0.007936507936507936	0.7551365723954555
CR8-(R)	BRD-K40331046-305-01-5::2.5::HTS	BRD-K40331046-305-01-5	2.5	CDK inhibitor	Preclinical	5	5	-6.058285638508	-3.788583225202	-2.2697024133059998	0.007936507936507936	0.7551365723954555
SRPIN340	BRD-K62621335-001-01-7::2.5::HTS	BRD-K62621335-001-01-7	2.5	serine arginine protein kinase inhibitor	Preclinical	5	5	-0.050543363697958	0.34476035888536	-0.395303722583318	0.007936507936507936	0.7551365723954555
fenbendazole	BRD-K51318897-001-15-3::2.5::HTS	BRD-K51318897-001-15-3	2.5	tubulin polymerization inhibitor	Launched	5	5	-3.3129944053479994	-1.265387495085	-2.0476069102629992	0.007936507936507936	0.7551365723954555
esmolol	BRD-A07395371-003-10-0::2.5::HTS	BRD-A07395371-003-10-0	2.5	adrenergic receptor antagonist	Launched	5	5	0.07189274900056	0.4536227253972	-0.38172997639663997	0.007936507936507936	0.7551365723954555
ambrisentan	BRD-K41185545-001-02-3::2.5::HTS	BRD-K41185545-001-02-3	2.5	endothelin receptor antagonist	Launched	5	5	-0.15797439357646	0.5088330837648	-0.66680747734126	0.007936507936507936	0.7551365723954555
praziquantel	BRD-A21858158-001-23-5::2.5::HTS	BRD-A21858158-001-23-5	2.5	anthelmintic agent	Launched	5	5	0.0355947085059	0.4563756853069999	-0.4207809768010999	0.007936507936507936	0.7551365723954555
hydroxyprogesterone	BRD-A39791822-001-05-1::2.5::HTS	BRD-A39791822-001-05-1	2.5	progesterone receptor agonist	Launched	5	5	0.26102968610520005	0.9653645266632	-0.704334840558	0.007936507936507936	0.7551365723954555
zibotentan	BRD-K31553034-001-03-0::2.5::HTS	BRD-K31553034-001-03-0	2.5	endothelin receptor antagonist	Phase 3	5	5	-0.17402855662274	0.42465309727190004	-0.59868165389464	0.007936507936507936	0.7551365723954555
S-Nitrosoglutathione	BRD-K94780074-001-06-7::2.5::HTS	BRD-K94780074-001-06-7	2.5	nitric oxide stimulant	Phase 1	5	5	-0.21759765939826198	0.32925436635301997	-0.5468520257512819	0.007936507936507936	0.7551365723954555
triciribine	BRD-K80431395-001-07-3::2.49::HTS	BRD-K80431395-001-07-3	2.49	AKT inhibitor	Phase 1/Phase 2	5	5	-0.5731359082704	0.7819347594238	-1.3550706676942	0.007936507936507936	0.7551365723954555
