compound	n_points	spearman_rho	pvalue	mean_logfold_change	moa	fdr
kaempferol	11	0.7505553499465135	0.007781020256030167	-0.058214351237558186	bone resorption inhibitor, estrogen-related receptor inverse agonist	0.08948173294434693
irinotecan	11	0.6350852961085884	0.03577300764163147	-2.221348830366363	topoisomerase inhibitor	0.18116433586865752
thalidomide	11	0.5773502691896257	0.06290250798993907	0.17685725942423455	tumor necrosis factor production inhibitor	0.18116433586865752
topotecan	10	0.5685352436149611	0.08636118606618035	-2.3374573033678	topoisomerase inhibitor	0.2207008088357942
simvastatin	22	0.4028881241482679	0.06301368204127218	-1.164708777248977	HMGCR inhibitor	0.18116433586865752
atorvastatin	11	0.23094010767585033	0.4944656512873438	-0.7870894545678545	HMGCR inhibitor	0.8748238445853006
flumazenil	11	0.17320508075688776	0.6105421404518439	0.01810651516256727	benzodiazepine receptor antagonist	0.8776543268995255
ezetimibe	22	0.1294997541905147	0.5657109574574813	0.013758765294518173	cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist	0.8776543268995255
quercetin	11	0.11547005383792516	0.7353018404227666	0.16590808817049998	polar auxin transport inhibitor	0.9395523516513129
rosuvastatin	11	0.05773502691896258	0.8661022007175927	-0.29919288409226363	HMGCR inhibitor	0.9485881245954586
pomalidomide	11	0.0	1.0	-0.38251468102041825	angiogenesis inhibitor, tumor necrosis factor production inhibitor	1.0
resveratrol	10	0.0	1.0	-0.0424857265817	cytochrome P450 inhibitor, SIRT activator	1.0
etomidate	11	-0.05773502691896258	0.8661022007175927	-0.18770858876254543	GABA receptor modulator	0.9485881245954586
gabexate	10	-0.07106690545187014	0.8453239136912953	-0.28765778586594	serine protease inhibitor	0.9485881245954586
indomethacin	11	-0.11547005383792516	0.7353018404227666	-0.20628778048970908	cyclooxygenase inhibitor	0.9395523516513129
zolpidem	11	-0.17320508075688776	0.6105421404518439	0.14043597139000003	benzodiazepine receptor agonist	0.8776543268995255
lenalidomide	11	-0.3464101615137755	0.2966650369240991	-0.07034232191125454	anticancer agent	0.5686079874378567
diazepam	11	-0.40414518843273806	0.21766200933541363	0.35008716663527273	benzodiazepine receptor agonist	0.4551114740649558
nafamostat	11	-0.5196152422706632	0.10137833233557984	0.24388469084090908	serine protease inhibitor	0.23317016437183363
baicalein	11	-0.5773502691896257	0.06290250798993907	-0.13153022528344546	lipoxygenase inhibitor	0.18116433586865752
propofol	11	-0.5773502691896257	0.06290250798993907	-0.09807778268598182	benzodiazepine receptor agonist	0.18116433586865752
luteolin	11	-0.5773502691896257	0.06290250798993907	0.4205360302418818	glucosidase inhibitor	0.18116433586865752
clonazepam	11	-0.8660254037844386	0.0005669643108945611	-0.3451834201825909	GABA benzodiazepine site receptor agonist	0.013040179150574904
