dominant_dm	cell_type	n	fraction_within_dm
DM1	B_cell	18536	0.4027201425250396
DM1	Macrophage	7900	0.1716383861646425
DM1	NK_cell	7911	0.17187737632259326
DM1	T_cell	11680	0.2537640949877246
DM2	B_cell	434	0.1387468030690537
DM2	Macrophage	1946	0.6221227621483376
DM2	NK_cell	316	0.1010230179028133
DM2	T_cell	432	0.13810741687979539
