method	family	model	features	note	n	n_pos	auroc	auprc
quantum_kernel_no_anchor_gamma1.0	quantum_kernel	1.0	GP_quantum,VQC,W7A_QK_only,W7A_full,mean_pLDDT_peptide,min_pLDDT_peptide,mean_pLDDT_HLA,anchor_pLDDT,interface_contacts_8A,interface_contacts_10A,n_buried_residues_8A,mean_min_pep_to_hla_CA_dist,max_min_pep_to_hla_CA_dist,radius_of_gyration_peptide,end_to_end_CA_dist,peptide_helicity_proxy,tcr_motif_score	angle-encoded fidelity kernel; internal repeated CV	89	21	0.7850140056022409	0.6032638533768024
quantum_kernel_compact_gamma0.5	quantum_kernel	0.5	Structure_LR,W7A_QK_only,GP_quantum,min_pLDDT_peptide,tcr_motif_score	angle-encoded fidelity kernel; internal repeated CV	89	21	0.7065826330532212	0.4572610236278068
Structure_LR	fixed		Structure_LR	locked existing score	89	21	0.6785714285714285	0.43469892603623533
lr_compact_reference_replacement	cv	lr	Structure_LR,W7A_QK_only,GP_quantum,min_pLDDT_peptide,tcr_motif_score	small v0 candidate	89	21	0.6603641456582633	0.4123295301516083
MHCflurry	fixed		MHCflurry	locked existing score	89	21	0.6568627450980392	0.4884773732064069
rf_compact_reference_replacement	cv	rf	Structure_LR,W7A_QK_only,GP_quantum,min_pLDDT_peptide,tcr_motif_score	small v0 candidate	89	21	0.65406162464986	0.4456947890923358
quantum_kernel_compact_gamma0.25	quantum_kernel	0.25	Structure_LR,W7A_QK_only,GP_quantum,min_pLDDT_peptide,tcr_motif_score	angle-encoded fidelity kernel; internal repeated CV	89	21	0.6379551820728291	0.3738642279140616
Wave8_TCR_SelfSim_full	fixed		Wave8_TCR_SelfSim_full	locked existing score	89	21	0.6320028011204482	0.4027740564641288
Wave8_TCR_SelfSim_no_exact	fixed		Wave8_TCR_SelfSim_no_exact	locked existing score	89	21	0.6285014005602241	0.47229847906089184
Wave8_TCR_motif_only	fixed		Wave8_TCR_motif_only	locked existing score	89	21	0.625	0.46207161028864036
Stack_mean_E1	fixed		Stack_mean_E1	locked existing score	89	21	0.6099439775910364	0.40875709890484074
BigMHC_IM	fixed		BigMHC_IM	locked existing score	89	21	0.59593837535014	0.2880952993188715
