perm	auroc	auprc
observed	0.7850140056022409	0.6032638533768024
0	0.5063025210084033	0.24166882915444812
1	0.31932773109243695	0.17698140961089398
2	0.33123249299719887	0.18353352557543856
3	0.6155462184873949	0.40981154907450945
4	0.4271708683473389	0.25693423986142166
5	0.6120448179271709	0.3722141805752836
6	0.4474789915966386	0.21758864273533515
7	0.4418767507002801	0.2867698208635089
8	0.5595238095238095	0.2867743018434462
9	0.5154061624649859	0.2798288314122347
10	0.623249299719888	0.3526222969419447
11	0.3935574229691877	0.19409958586742299
12	0.5896358543417367	0.32179013333588324
13	0.5266106442577031	0.29175494009315295
14	0.44397759103641454	0.2390286292750013
15	0.3403361344537815	0.18112310418370592
16	0.48599439775910364	0.23756339266748577
17	0.7591036414565827	0.5600572482353106
18	0.4138655462184874	0.19984830237735468
19	0.28781512605042014	0.17628406210856828
20	0.4642857142857143	0.22334764691494446
21	0.4950980392156863	0.2381665996047979
22	0.5672268907563025	0.2862529795542781
23	0.43277310924369744	0.2073998725787905
24	0.5294117647058824	0.3198734776348937
25	0.5476190476190476	0.2982981208501575
26	0.5280112044817926	0.25246714768827017
27	0.6169467787114846	0.3115554640942172
28	0.3725490196078431	0.20479485916852397
29	0.450280112044818	0.22808417316460539
30	0.5042016806722689	0.3103612699601037
31	0.4551820728291317	0.2623990820735327
32	0.5980392156862745	0.3339672974483907
33	0.7023809523809523	0.38312361381674437
34	0.5273109243697479	0.26463445171972144
35	0.5518207282913166	0.28578355057873966
36	0.4635854341736695	0.22134063753452798
37	0.41876750700280113	0.30257463547031266
38	0.5210084033613446	0.23830508941909193
39	0.5175070028011204	0.30645387762994536
40	0.46568627450980393	0.224997010138557
41	0.7843137254901962	0.5407335670389185
42	0.4005602240896359	0.2064386738161601
43	0.39355742296918766	0.19753832947028094
44	0.45378151260504196	0.2145784564068951
45	0.3165266106442577	0.17573795952427224
46	0.6386554621848739	0.41618493096047576
47	0.4929971988795518	0.342943946677627
48	0.4894957983193277	0.2408199240084942
49	0.4187675070028011	0.2057910229142102
50	0.5350140056022409	0.23922441453163265
51	0.6897759103641457	0.5155499423912143
52	0.42857142857142855	0.2228782183922523
53	0.5357142857142857	0.28592349485500035
54	0.5490196078431373	0.3627906967572932
55	0.280812324929972	0.16969199215003772
56	0.4257703081232493	0.21840996974046742
57	0.6029411764705882	0.3690342353008304
58	0.3480392156862745	0.24054549184940394
59	0.30392156862745096	0.17514974552648804
60	0.4586834733893557	0.2437731365089503
61	0.48109243697478987	0.30076136302119283
62	0.476890756302521	0.2821230120914948
63	0.5609243697478992	0.29111265449088897
64	0.45868347338935567	0.2518632101169523
65	0.46428571428571425	0.22960799386102299
66	0.48879551820728284	0.2533980410303309
67	0.5658263305322129	0.30548525486943223
68	0.5462184873949579	0.2932220793513005
69	0.5889355742296918	0.3947493397966372
70	0.5707282913165266	0.2910004016773013
71	0.51890756302521	0.24894065064845833
72	0.4740896358543417	0.25616912232838207
73	0.6743697478991597	0.3498287862968876
74	0.5665266106442577	0.31455025052188795
75	0.4054621848739496	0.20903111262843815
76	0.3893557422969188	0.22297969612904694
77	0.6071428571428572	0.29292816282908635
78	0.5084033613445378	0.30632232342417126
79	0.4579831932773109	0.2224012314506042
80	0.6435574229691877	0.4018249258653613
81	0.5630252100840336	0.26620414272927795
82	0.4859943977591036	0.30500425883307597
83	0.5420168067226891	0.31194064323435833
84	0.6687675070028011	0.4344857152956604
85	0.49369747899159666	0.22834463782205722
86	0.4474789915966387	0.2651073853126834
87	0.526610644257703	0.30785125833295895
88	0.5455182072829132	0.31920251168854724
89	0.44047619047619047	0.22308270127168228
90	0.4453781512605042	0.302393285857723
91	0.5154061624649859	0.3144001767877987
92	0.3445378151260504	0.20617652205005083
93	0.43137254901960786	0.22167532236433574
94	0.3928571428571429	0.21859368797079726
95	0.4285714285714286	0.223984248907876
96	0.5833333333333333	0.2983814575665584
97	0.4257703081232493	0.2124068300730091
98	0.5	0.288510196348956
99	0.34243697478991597	0.20058998141427287
