spec	n	HR_DM1_use	p_DM1_use	HR_HLA1_score	p_HLA1_score	HR_Purity_proxy	p_Purity_proxy
DM1 only	482	2.9713593118464514	0.002593298137126359				
DM1 + HLA-I	482	2.9411543117682104	0.0033058558813580247	1.040841871240477	0.8586622740744365		
DM1 + Purity proxy	482	3.0708915792612297	0.001666345580281378			1.175578348888779	0.23769635871887643
DM1 + HLA-I + Purity proxy	482	2.8554666003989624	0.004420040368065133	1.4341223942537649	0.22163999949615074	1.3527643390090793	0.09143143689038427
