gene	module	spearman_rho	spearman_p	n
CALR	HLA-I	-0.7144225011343538	1.8637836009693638e-83	527
PDIA3	HLA-I	-0.6390584650287828	7.818890237951806e-62	527
CANX	HLA-I	-0.5227152711478031	2.739913641968195e-38	527
TAPBP	HLA-I	0.09350858262264325	0.03185422399687959	527
HLA-DMB	HLA-II	0.15354227022035513	0.00040405980948879833	527
ERAP2	HLA-I	0.21590773110993347	5.619644693240028e-07	527
TAP2	HLA-I	0.23589203806351178	4.255356505966747e-08	527
IRF1	HLA-I	0.2369855223836399	3.669497665240635e-08	527
HLA-E	HLA-I	0.2412213675356899	2.0531943551589946e-08	527
ERAP1	HLA-I	0.2872741107883245	1.8007151511069336e-11	527
HLA-F	HLA-I	0.3361384399297028	2.1890083691353137e-15	527
HLA-DMA	HLA-II	0.33642557642443316	2.0656903794862194e-15	527
NLRC5	HLA-I	0.33804331805939125	1.4883158099342513e-15	527
HLA-DQA1	HLA-II	0.3413452156129962	7.577127687769509e-16	527
HLA-DOB	HLA-II	0.3484746722459455	1.7155836236248357e-16	527
HLA-DPB1	HLA-II	0.35583302275958173	3.557309891048024e-17	527
HLA-DQB1	HLA-II	0.3676579374186467	2.6007446528207663e-18	527
HLA-DOA	HLA-II	0.3802737276995492	1.4130525027662862e-19	527
CD74	HLA-II	0.3812398735974435	1.12457045157066e-19	527
PSMB9	HLA-I	0.38311338541881024	7.206636513578188e-20	527
HLA-DRB1	HLA-II	0.38313144096184204	7.175697116136853e-20	527
HLA-DPA1	HLA-II	0.38959000526962567	1.5135246428124566e-20	527
CIITA	HLA-II	0.39685923064335565	2.5187699986673e-21	527
HLA-A	HLA-I	0.4038277531563816	4.32803247455967e-22	527
HLA-DRA	HLA-II	0.410064612699171	8.634245673090151e-23	527
B2M	HLA-I	0.41755079126914485	1.191944590094951e-23	527
HLA-G	HLA-I	0.4282592561743429	6.426530899720265e-25	527
HLA-C	HLA-I	0.4331642095842373	1.6282571318518495e-25	527
TAP1	HLA-I	0.43385673021105103	1.3389097070157581e-25	527
HLA-B	HLA-I	0.4841681844611151	2.521781690937358e-32	527
PSMB8	HLA-I	0.5091357552381731	4.227115721509452e-36	527
