module	n_raw	rho_raw	p_raw	rho_partial_purityproxy	p_partial_purityproxy	n_partial	rho_partial_immune+stromal	p_partial_immune+stromal	n_partial2
HLA-I	527	0.31752728829015525	8.262253444036571e-14	0.30073574309437623	1.7722420616672605e-12	527	0.26634367350101185	5.219544752948666e-10	527
HLA-II	527	0.39257492865474924	7.286718488718135e-21	0.4108817008322435	6.972879504572823e-23	527	0.39048233960359857	1.2173792727597245e-20	527
