sample	CYP1B1_expr	TACSTD2_expr	TMPRSS4_expr	PLEKHA6_expr	LDLR_expr	GABRB2_expr	B3GNT3_expr	PTPRE_expr	CYP1B1_z	TACSTD2_z	TMPRSS4_z	PLEKHA6_z	LDLR_z	GABRB2_z	B3GNT3_z	PTPRE_z	name	v14_prediction	mutation_label
8305C_THYROID	0.2486	0.1826	0.0085	0.0161	22.6573	0.0021	0.0219	2.3816	-0.7537194796795735	-0.5079356228259141	-1.0030405105152997	-0.6835286751495365	-0.34011072597711306	-0.3520684396845259	-0.4395556173548957	-0.45353699985997825	8305C	BRAF_like	BRAF
8505C_THYROID	0.1855	7.7517	0.0285	2.7651	29.6804	0.0	1.1764	1.398	-0.7558499741132345	0.3625276976399202	-0.17117278249623136	-0.13497982539377287	0.3012187517003908	-0.5003935693664326	-0.15275514596416734	-0.7107994313691662	8505C	BRAF_like	BRAF
BCPAP_THYROID	15.7946	25.6613	0.0298	0.664	18.0106	0.0013	1.8739	2.4605	-0.22882777657825426	2.4221714973274535	-0.11710138017499194	-0.5542435533755244	-0.7644341278828323	-0.408573250991919	0.020517551129841355	-0.4329005563401786	B-CPAP	BRAF_like	BRAF
BHT101_THYROID	34.2638	21.4405	0.0355	5.7786	33.7414	0.0033	14.2694	3.7864	0.39476220431193526	1.9367701176360508	0.11998092231044243	0.46634864268152504	0.672057698724973	-0.2673112227234363	3.0998031666549806	-0.08610891549224019	BHT-101	RAS_like	BRAF
CAL62_THYROID	0.0988	0.121	0.0113	10.1227	52.3288	0.0041	0.0834	3.78	-0.7587772937233518	-0.5150197597167855	-0.8865790285926303	1.3331915158077574	2.36940609663798	-0.21080641141604328	-0.42427780965413364	-0.08778284753947367	CAL-62	RAS_like	RAS
FTC133_THYROID	35.533	0.435	0.035	0.1177	16.2376	0.0026	0.027	11.0065	0.4376151921915309	-0.4789090619289017	0.09918422910996598	-0.6632549162789706	-0.9263394352146679	-0.3167529326174053	-0.43828867720410075	1.8023218304812123	FTC-133	RAS_like	other
FTC238_THYROID	38.6765	0.2411	0.0238	1.1284	26.4197	0.0027	0.1696	4.6839	0.5437516304199494	-0.5012079928240312	-0.3666616985807124	-0.46157491538841033	0.0034609199931622376	-0.30968983120398114	-0.40286403690932565	0.14863389894401058	FTC-238	BRAF_like	other
MB1_THYROID	53.2532	1.0838	0.005	0.0561	15.4377	0.0	0.0258	1.9688	1.0359161028628288	-0.4042956201302422	-1.1486173629186367	-0.6755468803186051	-0.9993840236719355	-0.5003935693664326	-0.43858678076899366	-0.5615056169065347	?	BRAF_like	other
ML1_THYROID	100.1242	0.2944	0.0347	0.5824	10.5662	0.0109	0.0446	10.4417	2.6184581725953606	-0.4950783743778714	0.08670621318967989	-0.5705264148306245	-1.444235520946068	0.26948448469679764	-0.4339164915856713	1.654597327312862	ML-1	RAS_like	other
S117_SOFT_TISSUE	3.9348	1.3728	0.098	7.4232	30.7236	0.0	0.1016	1.1241	-0.6292594387705241	-0.37105997789871853	2.7195675723700314	0.7945201371552714	0.39648080280505593	-0.5003935693664326	-0.4197565722532577	-0.7824384919531093	?	BRAF_like	other
SW579_THYROID	1.8656	0.1466	0.0214	0.0732	25.1225	0.0522	0.0952	0.5991	-0.699123449580845	-0.5120757028270727	-0.4664858259430007	-0.6721346630283819	-0.11499568726620445	3.186545368440964	-0.4213464579326866	-0.9197532302027268	SW579	RAS_like	other
TT2609C02_THYROID	9.3805	0.648	0.0573	0.0546	24.6722	0.0	0.1472	9.7821	-0.4453920293032107	-0.4544135885887129	1.026716745851227	-0.6758461976247649	-0.1561158000081815	-0.5003935693664326	-0.40842863678732677	1.4820777056948664	TT2609-C02	BRAF_like	RAS
TT_THYROID	0.0758	0.4127	0.0352	15.9579	37.3654	0.0129	5.251	0.0904	-0.7595538606326102	-0.4814736114851749	0.10750290639015661	2.497575745744037	1.0029910511054425	0.41074651296528025	0.8594555086297364	-1.0528046727695466	TT	RAS_like	other
