sample	cell_line	target	expr_log2rpkm_plus1	zscore	v14_prediction	mutation_label
8305C_THYROID	8305C	CYP1B1	0.2486	-0.7537194796795735	BRAF_like	BRAF
8505C_THYROID	8505C	CYP1B1	0.1855	-0.7558499741132345	BRAF_like	BRAF
BCPAP_THYROID	B-CPAP	CYP1B1	15.7946	-0.22882777657825426	BRAF_like	BRAF
BHT101_THYROID	BHT-101	CYP1B1	34.2638	0.39476220431193526	RAS_like	BRAF
CAL62_THYROID	CAL-62	CYP1B1	0.0988	-0.7587772937233518	RAS_like	RAS
FTC133_THYROID	FTC-133	CYP1B1	35.533	0.4376151921915309	RAS_like	other
FTC238_THYROID	FTC-238	CYP1B1	38.6765	0.5437516304199494	BRAF_like	other
MB1_THYROID	?	CYP1B1	53.2532	1.0359161028628288	BRAF_like	other
ML1_THYROID	ML-1	CYP1B1	100.1242	2.6184581725953606	RAS_like	other
S117_SOFT_TISSUE	?	CYP1B1	3.9348	-0.6292594387705241	BRAF_like	other
SW579_THYROID	SW579	CYP1B1	1.8656	-0.699123449580845	RAS_like	other
TT2609C02_THYROID	TT2609-C02	CYP1B1	9.3805	-0.4453920293032107	BRAF_like	RAS
TT_THYROID	TT	CYP1B1	0.0758	-0.7595538606326102	RAS_like	other
8305C_THYROID	8305C	TACSTD2	0.1826	-0.5079356228259141	BRAF_like	BRAF
8505C_THYROID	8505C	TACSTD2	7.7517	0.3625276976399202	BRAF_like	BRAF
BCPAP_THYROID	B-CPAP	TACSTD2	25.6613	2.4221714973274535	BRAF_like	BRAF
BHT101_THYROID	BHT-101	TACSTD2	21.4405	1.9367701176360508	RAS_like	BRAF
CAL62_THYROID	CAL-62	TACSTD2	0.121	-0.5150197597167855	RAS_like	RAS
FTC133_THYROID	FTC-133	TACSTD2	0.435	-0.4789090619289017	RAS_like	other
FTC238_THYROID	FTC-238	TACSTD2	0.2411	-0.5012079928240312	BRAF_like	other
MB1_THYROID	?	TACSTD2	1.0838	-0.4042956201302422	BRAF_like	other
ML1_THYROID	ML-1	TACSTD2	0.2944	-0.4950783743778714	RAS_like	other
S117_SOFT_TISSUE	?	TACSTD2	1.3728	-0.37105997789871853	BRAF_like	other
SW579_THYROID	SW579	TACSTD2	0.1466	-0.5120757028270727	RAS_like	other
TT2609C02_THYROID	TT2609-C02	TACSTD2	0.648	-0.4544135885887129	BRAF_like	RAS
TT_THYROID	TT	TACSTD2	0.4127	-0.4814736114851749	RAS_like	other
8305C_THYROID	8305C	TMPRSS4	0.0085	-1.0030405105152997	BRAF_like	BRAF
8505C_THYROID	8505C	TMPRSS4	0.0285	-0.17117278249623136	BRAF_like	BRAF
BCPAP_THYROID	B-CPAP	TMPRSS4	0.0298	-0.11710138017499194	BRAF_like	BRAF
BHT101_THYROID	BHT-101	TMPRSS4	0.0355	0.11998092231044243	RAS_like	BRAF
CAL62_THYROID	CAL-62	TMPRSS4	0.0113	-0.8865790285926303	RAS_like	RAS
FTC133_THYROID	FTC-133	TMPRSS4	0.035	0.09918422910996598	RAS_like	other
FTC238_THYROID	FTC-238	TMPRSS4	0.0238	-0.3666616985807124	BRAF_like	other
MB1_THYROID	?	TMPRSS4	0.005	-1.1486173629186367	BRAF_like	other
ML1_THYROID	ML-1	TMPRSS4	0.0347	0.08670621318967989	RAS_like	other
