depmap_id	cell_line	v14_prediction	mutation_label	compound	broad_id	dose_uM	moa	phase	logfold_change
ACH-000163	SW579	RAS_like	other	zolpidem	BRD-K44876623-001-03-7	2.5	benzodiazepine receptor agonist	Launched	0.676594858956
ACH-000163	SW579	RAS_like	other	etomidate	BRD-K55055802-001-10-2	2.5	GABA receptor modulator	Launched	-0.388020611675
ACH-000163	SW579	RAS_like	other	indomethacin	BRD-K57222227-001-30-1	2.5	cyclooxygenase inhibitor	Launched	0.634529824624
ACH-000163	SW579	RAS_like	other	atorvastatin	BRD-K69726342-238-02-4	2.5	HMGCR inhibitor	Launched	0.455744284704
ACH-000163	SW579	RAS_like	other	baicalein	BRD-K72327355-001-14-7	2.5	lipoxygenase inhibitor	Preclinical	-0.635543730845
ACH-000163	SW579	RAS_like	other	propofol	BRD-K82255054-001-15-9	2.5	benzodiazepine receptor agonist	Launched	-0.351521084546
ACH-000163	SW579	RAS_like	other	rosuvastatin	BRD-K82941592-238-04-5	2.5	HMGCR inhibitor	Launched	0.0195033017525
ACH-000163	SW579	RAS_like	other	quercetin	BRD-K97399794-001-15-3	2.5	polar auxin transport inhibitor	Launched	0.423535982822
ACH-000163	SW579	RAS_like	other	flumazenil	BRD-K98769987-001-23-7	2.5	benzodiazepine receptor antagonist	Launched	0.0984027514997
ACH-000174	CAL-62	RAS_like	RAS	pomalidomide	BRD-A12994259-001-02-1	2.5	angiogenesis inhibitor, tumor necrosis factor production inhibitor	Launched	-0.656685956323
ACH-000174	CAL-62	RAS_like	RAS	lenalidomide	BRD-A17883755-001-06-1	2.5	anticancer agent	Launched	-0.185797215301
ACH-000174	CAL-62	RAS_like	RAS	thalidomide	BRD-A93255169-001-28-3	2.5	tumor necrosis factor production inhibitor	Launched	0.515905568349
ACH-000174	CAL-62	RAS_like	RAS	luteolin	BRD-K05236810-001-19-0	2.5	glucosidase inhibitor	Phase 2	-0.0520385293213
ACH-000174	CAL-62	RAS_like	RAS	nafamostat	BRD-K06674495-334-03-2	2.5	serine protease inhibitor	Launched	0.034973196553
ACH-000174	CAL-62	RAS_like	RAS	irinotecan	BRD-K08547377-394-03-5	2.5	topoisomerase inhibitor	Launched	-2.14640824568
ACH-000174	CAL-62	RAS_like	RAS	kaempferol	BRD-K12807006-001-18-5	2.5	bone resorption inhibitor, estrogen-related receptor inverse agonist	Preclinical	0.496127778639
ACH-000174	CAL-62	RAS_like	RAS	diazepam	BRD-K16508793-001-05-9	2.5	benzodiazepine receptor agonist	Launched	0.312689963737
ACH-000174	CAL-62	RAS_like	RAS	simvastatin	BRD-K22134346-001-22-3	2.5	HMGCR inhibitor	Launched	-0.166441303366
ACH-000174	CAL-62	RAS_like	RAS	simvastatin	BRD-K22134346-001-24-9	2.42	HMGCR inhibitor	Launched	0.815578444528
ACH-000174	CAL-62	RAS_like	RAS	clonazepam	BRD-K38183498-001-02-0	2.5	GABA benzodiazepine site receptor agonist	Launched	-1.06298083131
ACH-000174	CAL-62	RAS_like	RAS	ezetimibe	BRD-K42260897-001-07-6	2.48	cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist	Launched	0.11080403814
ACH-000174	CAL-62	RAS_like	RAS	ezetimibe	BRD-K42260897-001-09-2	2.5	cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist	Launched	-0.107163588951
ACH-000174	CAL-62	RAS_like	RAS	zolpidem	BRD-K44876623-001-03-7	2.5	benzodiazepine receptor agonist	Launched	-0.334878457285
ACH-000174	CAL-62	RAS_like	RAS	etomidate	BRD-K55055802-001-10-2	2.5	GABA receptor modulator	Launched	-0.433303928203
ACH-000174	CAL-62	RAS_like	RAS	indomethacin	BRD-K57222227-001-30-1	2.5	cyclooxygenase inhibitor	Launched	-0.0911857934222
ACH-000174	CAL-62	RAS_like	RAS	atorvastatin	BRD-K69726342-238-02-4	2.5	HMGCR inhibitor	Launched	0.205265314298
ACH-000174	CAL-62	RAS_like	RAS	baicalein	BRD-K72327355-001-14-7	2.5	lipoxygenase inhibitor	Preclinical	-0.284494382223
ACH-000174	CAL-62	RAS_like	RAS	propofol	BRD-K82255054-001-15-9	2.5	benzodiazepine receptor agonist	Launched	-1.03367016509
ACH-000174	CAL-62	RAS_like	RAS	rosuvastatin	BRD-K82941592-238-04-5	2.5	HMGCR inhibitor	Launched	-0.615517689991
ACH-000174	CAL-62	RAS_like	RAS	quercetin	BRD-K97399794-001-15-3	2.5	polar auxin transport inhibitor	Launched	0.279655687044
ACH-000174	CAL-62	RAS_like	RAS	flumazenil	BRD-K98769987-001-23-7	2.5	benzodiazepine receptor antagonist	Launched	0.14004993248
ACH-000174	CAL-62	RAS_like	RAS	topotecan	BRD-K55696337-003-24-4	2.50001813	topoisomerase inhibitor	Launched	-2.79309929811
ACH-000174	CAL-62	RAS_like	RAS	gabexate	BRD-K59256312-066-15-7	2.431061328	serine protease inhibitor	Launched	0.0533493625366
ACH-000174	CAL-62	RAS_like	RAS	resveratrol	BRD-K80738081-001-46-8	2.500037854	cytochrome P450 inhibitor, SIRT activator	Launched	-0.0146229358085
ACH-000191	BHT-101	RAS_like	BRAF	pomalidomide	BRD-A12994259-001-02-1	2.5	angiogenesis inhibitor, tumor necrosis factor production inhibitor	Launched	-0.416299104285
ACH-000191	BHT-101	RAS_like	BRAF	lenalidomide	BRD-A17883755-001-06-1	2.5	anticancer agent	Launched	-0.149871871951
ACH-000191	BHT-101	RAS_like	BRAF	thalidomide	BRD-A93255169-001-28-3	2.5	tumor necrosis factor production inhibitor	Launched	-0.213354762906
ACH-000191	BHT-101	RAS_like	BRAF	luteolin	BRD-K05236810-001-19-0	2.5	glucosidase inhibitor	Phase 2	0.266512580649
ACH-000191	BHT-101	RAS_like	BRAF	nafamostat	BRD-K06674495-334-03-2	2.5	serine protease inhibitor	Launched	0.138005195517
ACH-000191	BHT-101	RAS_like	BRAF	irinotecan	BRD-K08547377-394-03-5	2.5	topoisomerase inhibitor	Launched	-1.6732224405
ACH-000191	BHT-101	RAS_like	BRAF	kaempferol	BRD-K12807006-001-18-5	2.5	bone resorption inhibitor, estrogen-related receptor inverse agonist	Preclinical	0.342287982301
ACH-000191	BHT-101	RAS_like	BRAF	diazepam	BRD-K16508793-001-05-9	2.5	benzodiazepine receptor agonist	Launched	-0.416743087172
ACH-000191	BHT-101	RAS_like	BRAF	simvastatin	BRD-K22134346-001-22-3	2.5	HMGCR inhibitor	Launched	-0.83694305561
