lineage	n	median_DM1	mean_DM1	pct_above_thca_med	pct_above_pan_med
stomach adenocarcinoma	450	1.666173304529313	1.6523563707045221	1.0	0.8688888888888889
pancreatic adenocarcinoma	183	1.6551114651970629	1.6442103255730112	1.0	0.9289617486338798
rectum adenocarcinoma	171	1.6459338403820005	1.6563708591749418	1.0	0.9239766081871345
skin cutaneous melanoma	474	1.6404157471292853	1.6262858265299245	1.0	0.9177215189873418
breast invasive carcinoma	1218	1.6357488697694453	1.6223271154409642	1.0	0.8579638752052545
acute myeloid leukemia	173	1.631754677029301	1.6337956697869132	1.0	0.8265895953757225
colon adenocarcinoma	495	1.6297219961170546	1.6529881075224118	1.0	0.9191919191919192
bladder urothelial carcinoma	427	1.6050912802741992	1.5817022499958582	1.0	0.7822014051522248
sarcoma	265	1.5942343862182096	1.580635291816205	1.0	0.8226415094339623
testicular germ cell tumor	156	1.5860557594957225	1.5855341187424068	1.0	0.8461538461538461
glioblastoma multiforme	174	1.5774778825783518	1.5532678628502417	1.0	0.7126436781609196
mesothelioma	87	1.576214441583399	1.5694477739834831	1.0	0.7816091954022989
esophageal carcinoma	196	1.575517189252337	1.562394624291473	1.0	0.6377551020408163
diffuse large B-cell lymphoma	48	1.5624647192394039	1.5324305211553473	1.0	0.7083333333333334
cholangiocarcinoma	45	1.5516951232531389	1.5132304774944467	1.0	0.6222222222222222
uveal melanoma	80	1.537454049548816	1.5032759779886724	1.0	0.575
prostate adenocarcinoma	550	1.5352682839068503	1.5200596683087506	1.0	0.6018181818181818
cervical & endocervical cancer	310	1.5327607820549467	1.5237575734580686	1.0	0.5709677419354838
uterine corpus endometrioid carcinoma	567	1.5238441904777118	1.5170270047664716	1.0	0.5061728395061729
adrenocortical cancer	79	1.5223222759230381	1.4990385043328311	1.0	0.5189873417721519
uterine carcinosarcoma	57	1.5007119690113269	1.464782419486497	1.0	0.43859649122807015
head & neck squamous cell carcinoma	566	1.4947222221930399	1.485691478352358	1.0	0.4010600706713781
ovarian serous cystadenocarcinoma	309	1.4778614424663126	1.4674583977947808	1.0	0.2783171521035599
lung squamous cell carcinoma	554	1.447622587821216	1.4521137882666812	1.0	0.23104693140794225
kidney clear cell carcinoma	606	1.429984759980122	1.3973060859278632	1.0	0.056105610561056105
lung adenocarcinoma	576	1.4273774475579395	1.425379909903881	1.0	0.171875
brain lower grade glioma	534	1.4268270232158753	1.4286882453713337	1.0	0.2153558052434457
pheochromocytoma & paraganglioma	187	1.3768230067352456	1.3763631250291886	1.0	0.09090909090909091
thymoma	122	1.3544411658185687	1.3495707470066347	1.0	0.09836065573770492
liver hepatocellular carcinoma	424	1.348589618399393	1.3506895776171333	1.0	0.10377358490566038
kidney papillary cell carcinoma	323	1.322048647914049	1.2946952508116618	1.0	0.009287925696594427
kidney chromophobe	91	1.2328676276206558	1.2255242377055298	1.0	0.02197802197802198
thyroid carcinoma	572	-0.6032589497939549	-0.6289499003944465	0.5	0.0
