sample	DM1_like	TF_collapse	RAI_8	lineage
TCGA-OR-A5J1-01	1.216317310611304	-0.41312386470238893	-1.216317310611304	adrenocortical cancer
TCGA-OR-A5J2-01	1.5341782733043408	-0.8818265084407754	-1.5341782733043408	adrenocortical cancer
TCGA-OR-A5J3-01	1.3693865988305123	-1.016203654231787	-1.3693865988305123	adrenocortical cancer
TCGA-OR-A5J5-01	1.1959708860898368	-0.23507245071225025	-1.1959708860898368	adrenocortical cancer
TCGA-OR-A5J6-01	1.4966784270035622	-0.8155877544084573	-1.4966784270035622	adrenocortical cancer
TCGA-OR-A5J7-01	1.5990297768593185	-0.9673467168843762	-1.5990297768593185	adrenocortical cancer
TCGA-OR-A5J8-01	1.5056064623265648	-1.1724109629424029	-1.5056064623265648	adrenocortical cancer
TCGA-OR-A5J9-01	1.4346087680617385	-0.6193886066314178	-1.4346087680617385	adrenocortical cancer
TCGA-OR-A5JA-01	1.488976828935622	-1.1781593412843885	-1.488976828935622	adrenocortical cancer
TCGA-OR-A5JB-01	1.6376640060510477	-0.6537813766725986	-1.6376640060510477	adrenocortical cancer
TCGA-OR-A5JC-01	1.383708416401388	-0.5103299268579893	-1.383708416401388	adrenocortical cancer
TCGA-OR-A5JD-01	1.5092931464878883	-0.9865606288213656	-1.5092931464878883	adrenocortical cancer
TCGA-OR-A5JE-01	1.3696089019052542	-1.019067040658479	-1.3696089019052542	adrenocortical cancer
TCGA-OR-A5JF-01	1.4563120943656402	-0.8645109391600627	-1.4563120943656402	adrenocortical cancer
TCGA-OR-A5JG-01	1.46023087708813	-1.2043191575468741	-1.46023087708813	adrenocortical cancer
TCGA-OR-A5JI-01	1.5683464973758667	-0.893707021975942	-1.5683464973758667	adrenocortical cancer
TCGA-OR-A5JJ-01	1.4024353585530593	-1.0106464577895589	-1.4024353585530593	adrenocortical cancer
TCGA-OR-A5JK-01	1.5679137605656854	-1.007892030419921	-1.5679137605656854	adrenocortical cancer
TCGA-OR-A5JL-01	1.4158227361294369	-1.0535842686904753	-1.4158227361294369	adrenocortical cancer
TCGA-OR-A5JM-01	1.4885472206880188	-0.6290203758453079	-1.4885472206880188	adrenocortical cancer
TCGA-OR-A5JO-01	1.7202233561219495	-1.1150525808261011	-1.7202233561219495	adrenocortical cancer
TCGA-OR-A5JP-01	1.3777139321978866	-0.7823592689998363	-1.3777139321978866	adrenocortical cancer
TCGA-OR-A5JQ-01	1.6495281627392673	-1.0080977809646776	-1.6495281627392673	adrenocortical cancer
TCGA-OR-A5JR-01	1.5379753013009307	-1.0067465064975887	-1.5379753013009307	adrenocortical cancer
TCGA-OR-A5JS-01	1.5969978006851266	-0.9533411400077851	-1.5969978006851266	adrenocortical cancer
TCGA-OR-A5JT-01	1.5847670628431936	-0.9603942295176914	-1.5847670628431936	adrenocortical cancer
TCGA-OR-A5JV-01	1.4500046075551056	-1.0841899168008011	-1.4500046075551056	adrenocortical cancer
TCGA-OR-A5JW-01	1.5223222759230381	-1.1788499186460648	-1.5223222759230381	adrenocortical cancer
TCGA-OR-A5JX-01	1.4071117978521857	-0.7826828137877015	-1.4071117978521857	adrenocortical cancer
TCGA-OR-A5JY-01	1.4117661694863046	-1.4557355528547231	-1.4117661694863046	adrenocortical cancer
TCGA-OR-A5JZ-01	1.547993923730775	-0.8712616228257256	-1.547993923730775	adrenocortical cancer
TCGA-OR-A5K0-01	1.406250393600748	-1.0275951918582755	-1.406250393600748	adrenocortical cancer
TCGA-OR-A5K1-01	1.6924313008145297	-1.1510931627996712	-1.6924313008145297	adrenocortical cancer
TCGA-OR-A5K2-01	1.4709722990244913	-0.9816324002742993	-1.4709722990244913	adrenocortical cancer
TCGA-OR-A5K3-01	1.4183849056624789	-0.757976560357697	-1.4183849056624789	adrenocortical cancer
TCGA-OR-A5K4-01	1.4792332293652883	-0.7620351639337527	-1.4792332293652883	adrenocortical cancer
TCGA-OR-A5K5-01	1.4637057474252495	-0.8071084811579314	-1.4637057474252495	adrenocortical cancer
TCGA-OR-A5K6-01	1.5337854090220144	-0.8985342812571107	-1.5337854090220144	adrenocortical cancer
TCGA-OR-A5K8-01	1.5884438334086268	-0.9495301741321995	-1.5884438334086268	adrenocortical cancer
TCGA-OR-A5K9-01	1.5426563706919953	-1.050026042400447	-1.5426563706919953	adrenocortical cancer
TCGA-OR-A5KO-01	1.528547906117887	-0.9578641063812358	-1.528547906117887	adrenocortical cancer
TCGA-OR-A5KT-01	1.632950420734344	-1.0265532080298192	-1.632950420734344	adrenocortical cancer
TCGA-OR-A5KU-01	1.3905844361359518	-1.0646934682654798	-1.3905844361359518	adrenocortical cancer
TCGA-OR-A5KV-01	1.314621909963185	-0.719483490860374	-1.314621909963185	adrenocortical cancer
TCGA-OR-A5KW-01	1.4382465309501875	-1.2266588678184251	-1.4382465309501875	adrenocortical cancer
TCGA-OR-A5KX-01	1.6682282812613225	-0.9623722120641098	-1.6682282812613225	adrenocortical cancer
TCGA-OR-A5KY-01	1.5691616540733422	-1.0378290234128047	-1.5691616540733422	adrenocortical cancer
TCGA-OR-A5KZ-01	1.5612416731640615	-0.9019765826499717	-1.5612416731640615	adrenocortical cancer
TCGA-OR-A5L3-01	1.487344518499976	-0.8985371346443606	-1.487344518499976	adrenocortical cancer
TCGA-OR-A5L4-01	1.5974684474766017	-0.890857637473244	-1.5974684474766017	adrenocortical cancer
TCGA-OR-A5L5-01	1.5787929936543899	-1.0790133198599536	-1.5787929936543899	adrenocortical cancer
TCGA-OR-A5L6-01	1.5685468118792163	-0.9453112554878889	-1.5685468118792163	adrenocortical cancer
TCGA-OR-A5L8-01	1.3796132059629642	-0.6905142351764219	-1.3796132059629642	adrenocortical cancer
TCGA-OR-A5L9-01	1.6109741300696174	-0.7845732340041595	-1.6109741300696174	adrenocortical cancer
