lineage	n	rho_DM1_TF	rho_DM1_RAI	rho_TF_RAI
adrenocortical cancer	79	-0.22487828627069134	-1.0	0.22487828627069134
bladder urothelial carcinoma	427	-0.4541295574889509	-1.0	0.4541295574889509
diffuse large B-cell lymphoma	48	-0.32435953104646115	-1.0	0.32435953104646115
uterine corpus endometrioid carcinoma	567	0.15851824729294495	-1.0	-0.15851824729294495
skin cutaneous melanoma	474	-0.3742530490596122	-1.0	0.3742530490596122
head & neck squamous cell carcinoma	566	-0.4823080821392213	-1.0	0.4823080821392213
prostate adenocarcinoma	550	-0.43458820750421717	-1.0	0.43458820750421717
kidney papillary cell carcinoma	323	-0.09409321826874661	-1.0	0.09409321826874661
pancreatic adenocarcinoma	183	-0.4247217500959483	-1.0	0.4247217500959483
sarcoma	265	-0.4657436902719922	-1.0	0.4657436902719922
cervical & endocervical cancer	310	-0.6011069230017835	-1.0	0.6011069230017835
colon adenocarcinoma	495	0.39054459971268124	-1.0	-0.39054459971268124
lung squamous cell carcinoma	554	-0.6050781119738758	-1.0	0.6050781119738758
rectum adenocarcinoma	171	0.45596995224038206	-1.0	-0.45596995224038206
kidney clear cell carcinoma	606	-0.4320258684547502	-1.0	0.4320258684547502
liver hepatocellular carcinoma	424	-0.3675062381435914	-0.9999999999999999	0.3675062381435914
breast invasive carcinoma	1218	-0.210981226757559	-1.0	0.210981226757559
ovarian serous cystadenocarcinoma	309	-0.18861145118583264	-0.9999999999999999	0.18861145118583264
uterine carcinosarcoma	57	-0.7479906663209749	-1.0	0.7479906663209749
glioblastoma multiforme	174	-0.4515105783194282	-1.0	0.4515105783194282
kidney chromophobe	91	-0.3917025003981526	-1.0	0.3917025003981526
thyroid carcinoma	572	-0.4853583896046371	-1.0	0.4853583896046371
brain lower grade glioma	534	-0.18081500717429652	-1.0	0.18081500717429652
lung adenocarcinoma	576	-0.4619274483209002	-1.0	0.4619274483209002
mesothelioma	87	-0.4716045782605525	-0.9999999999999999	0.4716045782605525
pheochromocytoma & paraganglioma	187	-0.40544081861858117	-1.0	0.40544081861858117
testicular germ cell tumor	156	-0.22465900649586695	-0.9999999999999999	0.22465900649586695
uveal melanoma	80	-0.6193624003750586	-1.0	0.6193624003750586
thymoma	122	-0.5874972325119538	-1.0	0.5874972325119538
cholangiocarcinoma	45	-0.23504611330698283	-0.9999999999999999	0.23504611330698283
esophageal carcinoma	196	-0.5357537314027525	-1.0	0.5357537314027525
stomach adenocarcinoma	450	-0.2212440226042269	-1.0	0.2212440226042269
acute myeloid leukemia	173	-0.5860075742475583	-1.0	0.5860075742475583
