lineage	n	pearson_r	thyroid_anchor_corr	p	n_cox	events	HR	p_cox	concordance	allograft_r	il6_jak_stat3_r	log_HR	abbr
acute myeloid leukemia	173	0.1944204424489053	0.1844519331945803	0.0103721537591794	149.0	92.0	1.186709845304171	0.0846855419058042	0.5377574370709383	0.7734400711997813	0.6715979622770952	0.1711846420261359	Acute Myeloid Leukemia
adrenocortical cancer	79	0.361012216537078	0.4505111976630964	0.0010808977050184	79.0	28.0	1.1320787219863215	0.2470234213817969	0.4663923182441701	0.8453505355404091	0.8250730282375852	0.12405551975377464	Adrenocortical Cancer
bladder urothelial carcinoma	427	0.2573326207879682	0.3028505027406664	6.92848346890355e-08	425.0	189.0	1.0495026548978827	0.2484240541527144	0.541554452112439	0.7872769017968698	0.7921544896774548	0.04831638995413398	Bladder Urothelial
brain lower grade glioma	542	0.3111221453767724	0.2878403372431183	1.2516486115187857e-13	537.0	142.0	1.1896817240468716	0.0018294944278971	0.6295029994094427	0.7045305343193584	0.7000438225222894	0.1736858125658171	Brain Lower Grade Glioma
breast invasive carcinoma	1218	0.4637651468610136	0.4503494243527329	5.575319835393824e-66	1201.0	198.0	0.9682213519576855	0.4553274118542643	0.477708845865868	0.7956024656511873	0.7823903796251959	-0.032294548468642874	Breast Invasive
cervical & endocervical cancer	310	0.3864074442867137	0.3891029714316789	1.7674546294806186e-12	296.0	73.0	0.969549651699265	0.7838501518397559	0.5438868770477668	0.8172497515163295	0.7481109702393601	-0.0309235918931548	Cervical & Endocervical Cancer
cholangiocarcinoma	45	0.0629556952493797	-0.0014492753623188	0.6811873135539249	45.0	23.0	0.9404507224076386	0.7010045034479733	0.5026269702276708	0.6615283267457179	0.7119894598155467	-0.061396026714585945	Cholangiocarcinoma
colon adenocarcinoma	495	0.3566674023910859	0.3668932369271928	2.6993784131057663e-16	473.0	109.0	1.0122721514497437	0.8665947236994431	0.4681830134104654	0.7102245519053669	0.6393194383432075	0.01219745906905462	Colon Adca
diffuse large B-cell lymphoma	48	0.2149064932997956	0.4287885366912722	0.1424115821658332						0.7711680416847589	0.861267911419887		Diffuse Large B-Cell Lymphoma
esophageal carcinoma	196	0.3440127643638206	0.3558973296464232	7.937826264997711e-07	196.0	82.0	1.1385611983981423	0.2276947885757845	0.5440590578861026	0.8396480966459212	0.7923642709719578	0.12976535861070965	Esophageal
glioblastoma multiforme	178	0.1777888840178801	0.1858903635928398	0.0175853632025097	172.0	139.0	1.1351179753474523	0.1622683216043997	0.5135393160909564	0.7653195733702156	0.7379237705136048	0.1267365885690657	Glioblastoma Multiforme
head & neck squamous cell carcinoma	566	0.3477117513857667	0.3629474104285699	1.5768496759883538e-17	565.0	253.0	0.9206027530509148	0.1374105099535745	0.5186712352633719	0.8598377804481809	0.7699185857915024	-0.08272665710714472	Head & Neck Squamous Cell
kidney clear cell carcinoma	606	0.6946064377504598	0.621625831895755	1.88457777597944e-88	604.0	202.0	1.1635667652058617	0.014901871834783	0.5405947916116423	0.8755812738679889	0.8247298146019486	0.15149008518723006	Kidney Clear Cell
kidney papillary cell carcinoma	323	0.0492224446369946	0.0099388852922302	0.3779170850012364	320.0	51.0	1.314982634349297	0.0020564949541049	0.6609993060374739	0.6307520719958465	0.658239090194939	0.27382345972450517	Kidney Papillary Cell
